	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
10	-551.1222373271222	831.4807910904071	364.6181582180814	551.1222373271221	262.3736835638371	-1000.0	-551.1222373271221	364.6181582180814	364.6181582180814	364.6181582180814	-364.6181582180814	1000.0	0.0	364.6181582180814	737.6263164361628	-93.85447465424431	-364.6181582180814	1000.0	-999.9999999999999	-93.85447465424386	93.85447465424431	-93.85447465424437	8.39	364.6181582180814
11	-454.0814322415	508.011440805	299.924288161	454.0814322415	391.761423678	-1000.0	-454.0814322415	299.924288161	299.924288161	299.924288161	-299.924288161	1000.0	0.0	299.924288161	608.238576322	100.22713551700002	-299.924288161	1000.0	-999.9999999999999	100.22713551700008	-100.22713551700002	100.22713551700016	8.39	299.9242881609999
12	-648.6805923488984	964.0278513644633	333.33333333333326	648.6805923488984	35.97214863553677	-1000.0	-648.6805923488984	44.36214863553661	44.36214863553661	333.33333333333326	-44.36214863553661	1000.0	288.9711846977967	44.36214863553661	964.0278513644632	0.0	-333.33333333333326	1000.0	-999.9999999999999	3.410605131648481e-13	0.0	0.0	8.39	333.33333333333326
13	-565.9641223827683	798.5949114322034	333.3333333333333	565.9641223827683	201.40508856779672	-1000.0	-565.9641223827683	209.79508856779665	209.79508856779665	333.3333333333333	-209.79508856779665	1000.0	123.53824476553666	209.79508856779665	798.5949114322033	0.0	-333.3333333333333	1000.0	-999.9999999999999	-3.410605131648481e-13	0.0	0.0	8.39	333.3333333333333
14	-607.2810404477684	881.2287475622035	333.33333333333337	607.2810404477684	118.77125243779665	-1000.0	-607.2810404477684	127.16125243779669	127.16125243779669	333.33333333333337	-127.16125243779669	1000.0	206.17208089553665	127.16125243779669	881.2287475622034	0.0	-333.33333333333337	1000.0	-999.9999999999999	0.0	0.0	0.0	8.39	333.3333333333334
15	-524.7298381538983	716.1263429744636	333.33333333333337	524.7298381538983	283.87365702553655	-1000.0	-524.7298381538983	292.2636570255367	292.2636570255367	333.33333333333337	-292.2636570255367	1000.0	41.06967630779667	292.2636570255367	716.1263429744635	0.0	-333.33333333333337	1000.0	-999.9999999999999	-4.547473508864641e-13	0.0	0.0	8.39	333.3333333333334
16	-302.9364999999999	527.8451252142502	199.16099999999994	302.9364999999999	69.63787478574972	-476.3498747857496	-302.9364999999999	199.16099999999994	199.16099999999994	199.16099999999994	-199.16099999999994	476.3498747857496	0.0	199.16099999999994	406.7119999999999	-121.13312521425024	-199.16099999999994	476.34987478574953	-476.3498747857496	-121.1331252142503	121.13312521425024	-121.1331252142503	8.39	199.16099999999994
17	-311.72981667049794	418.4364222273307	205.0232111136653	311.72981667049794	196.6332111136653	-615.0696333409959	-311.72981667049794	205.0232111136653	205.0232111136653	205.0232111136653	-205.0232111136653	615.0696333409959	0.0	205.0232111136653	418.4364222273306	0.0	-205.0232111136653	615.0696333409959	-615.0696333409959	-1.1368683772161603e-13	0.0	0.0	8.39	205.0232111136653
18	-380.95125307531146	510.7316707670818	251.17083538354098	380.95125307531146	242.780835383541	-753.5125061506229	-380.95125307531146	251.17083538354098	251.17083538354098	251.17083538354098	-251.17083538354098	753.5125061506229	0.0	251.17083538354098	510.73167076708194	0.0	-251.17083538354098	753.5125061506229	-753.5125061506229	3.410605131648481e-13	0.0	0.0	8.39	251.17083538354098
19	-345.1174307733471	144.79810257782378	227.28162051556478	345.1174307733471	537.0467589688704	-1000.0	-345.1174307733471	227.28162051556478	227.28162051556478	227.28162051556478	-227.28162051556478	1000.0	0.0	227.28162051556478	462.95324103112955	318.15513845330565	-227.28162051556478	1000.0	-999.9999999999999	318.1551384533057	-318.15513845330565	318.15513845330577	8.39	227.28162051556478
20	-452.2841256123477	605.8421674831302	298.7260837415651	452.2841256123477	290.33608374156506	-896.1782512246953	-452.2841256123477	298.72608374156505	298.72608374156505	298.7260837415651	-298.72608374156505	896.1782512246953	0.0	298.72608374156505	605.8421674831302	0.0	-298.7260837415651	896.1782512246953	-896.1782512246953	0.0	0.0	0.0	8.39	298.72608374156516
21	-555.6194738299955	1000.0	367.61631588666364	555.6194738299955	102.84894765999093	-846.4715794333182	-555.6194738299955	367.61631588666364	367.61631588666364	367.61631588666364	-367.61631588666364	846.4715794333182	0.0	367.61631588666364	743.6226317733273	-256.37736822667273	-367.61631588666364	846.4715794333182	-846.4715794333182	-256.3773682266726	256.37736822667273	-256.37736822667273	8.39	367.61631588666364
22	-378.6601110529913	256.6070368433043	249.6434073686609	378.6601110529913	492.32318526267835	-1000.0	-378.6601110529913	249.6434073686609	249.6434073686609	249.6434073686609	-249.6434073686609	1000.0	0.0	249.6434073686609	507.67681473732176	251.06977789401745	-249.6434073686609	1000.0	-999.9999999999999	251.06977789401728	-251.06977789401745	251.06977789401748	8.39	249.64340736866095
23	-527.7055459008883	753.4251530029608	349.00703060059215	527.7055459008882	293.5959387988157	-1000.0	-527.7055459008882	349.00703060059215	349.00703060059215	349.00703060059215	-349.00703060059215	1000.0	0.0	349.00703060059215	706.4040612011843	-47.021091801776436	-349.00703060059215	1000.0	-999.9999999999999	-47.021091801776265	47.021091801776436	-47.02109180177649	8.39	349.0070306005921
24	-576.9711348878375	917.6437829594579	381.8507565918916	576.9711348878375	227.90848681621685	-1000.0	-576.9711348878375	381.8507565918916	381.8507565918916	381.8507565918916	-381.8507565918916	1000.0	0.0	381.8507565918916	772.0915131837831	-145.55226977567474	-381.8507565918916	1000.0	-999.9999999999999	-145.55226977567463	145.55226977567474	-145.55226977567474	8.39	381.8507565918916
25	-302.9365	74.63715439148929	199.16100000000006	302.9365	522.8458456085107	-929.5578456085107	-302.9365	199.161	199.161	199.161	-199.161	929.5578456085107	0.0	199.161	406.71199999999993	332.07484560851066	-199.16100000000006	929.5578456085107	-929.5578456085107	332.0748456085107	-332.07484560851066	332.07484560851066	8.39	199.16099999999994
26	-570.5677130593219	707.5081391779657	283.1863565296609	570.5677130593219	142.05093041101713	-1000.0	-570.5677130593219	0.0	0.0	283.18635652966094	0.0	1000.0	283.18635652966094	0.0	857.9490695889829	150.44093041101712	-283.1863565296609	1000.0	-999.9999999999999	150.4409304110173	-150.44093041101712	150.44093041101712	8.39	283.18635652966105
27	-637.5194395846779	908.3633187540336	316.6622197923389	637.5194395846779	41.62334062298328	-1000.0	-637.5194395846779	0.0	0.0	316.66221979233893	0.0	1000.0	316.66221979233893	0.0	958.3766593770167	50.01334062298328	-316.6622197923389	1000.0	-999.9999999999999	50.01334062298338	-50.01334062298328	50.01334062298308	8.39	316.6622197923388
28	-430.810551084674	288.2366532540225	213.30777554233714	430.810551084674	351.68667337298865	-1000.0	-430.810551084674	0.0	0.0	213.30777554233714	0.0	1000.0	213.30777554233714	0.0	648.3133266270113	360.07667337298864	-213.30777554233714	1000.0	-999.9999999999999	360.07667337298835	-360.07667337298864	360.0766733729888	8.39	213.30777554233714
29	-576.3347101340014	819.3360869346694	333.33333333333337	576.3347101340014	180.66391306533058	-1000.0	-576.3347101340014	189.05391306533056	189.05391306533056	333.33333333333337	-189.05391306533056	1000.0	144.27942026800278	189.05391306533056	819.3360869346694	0.0	-333.33333333333337	1000.0	-999.9999999999999	0.0	0.0	0.0	8.39	333.33333333333326
30	-535.0590263532304	736.7847193731271	333.33333333333326	535.0590263532304	263.2152806268728	-1000.0	-535.0590263532304	271.60528062687274	271.60528062687274	333.33333333333326	-271.60528062687274	1000.0	61.72805270646054	271.60528062687274	736.7847193731272	0.0	-333.33333333333326	1000.0	-999.9999999999999	0.0	0.0	0.0	8.39	333.3333333333335
31	-555.6761684676652	778.0190036019972	333.33333333333326	555.6761684676652	221.98099639800282	-1000.0	-555.6761684676652	230.37099639800277	230.37099639800277	333.3333333333333	-230.37099639800277	1000.0	102.96233693533053	230.37099639800277	778.0190036019972	0.0	-333.33333333333326	1000.0	-999.9999999999999	0.0	0.0	0.0	8.39	333.3333333333334
32	-596.9930865326653	860.6528397319972	333.33333333333337	596.9930865326653	139.3471602680028	-1000.0	-596.9930865326653	147.7371602680028	147.7371602680028	333.33333333333337	-147.7371602680028	1000.0	185.59617306533053	147.7371602680028	860.6528397319972	0.0	-333.33333333333337	1000.0	-999.9999999999999	0.0	0.0	0.0	8.39	333.33333333333337
33	-514.4829539151032	695.6325744968728	333.33333333333337	514.4829539151032	304.3674255031272	-1000.0	-514.4829539151032	312.75742550312725	312.75742550312725	333.33333333333337	-312.75742550312725	1000.0	20.57590783020613	312.75742550312725	695.6325744968728	0.0	-333.33333333333337	1000.0	-999.9999999999999	0.0	0.0	0.0	8.39	333.33333333333337
34	-320.3807876338302	597.483	199.16099999999994	320.3807876338302	0.0	-441.6005752676604	-320.3807876338302	164.2724247323394	164.2724247323394	199.16099999999994	-164.2724247323394	441.6005752676604	34.88857526766054	164.2724247323394	441.6005752676604	-155.88242473233942	-199.16099999999994	441.60057526766036	-441.6005752676604	-155.8824247323396	155.88242473233942	-155.88242473233953	8.39	199.16099999999994
35	-381.22688072787906	754.0637614557581	251.35458715191942	381.22688072787906	0.0	-511.09917430383877	-381.22688072787906	251.3545871519194	251.3545871519194	251.3545871519194	-251.3545871519194	511.09917430383877	0.0	251.3545871519194	511.09917430383877	-242.96458715191935	-251.35458715191942	511.09917430383877	-511.09917430383877	-242.96458715191955	242.96458715191935	-242.9645871519194	8.39	251.35458715191933
36	-517.3069619897601	1000.0	342.0746413265068	517.3069619897601	26.223923979520283	-718.7632066325339	-517.3069619897601	342.0746413265068	342.0746413265068	342.0746413265068	-342.0746413265068	718.7632066325339	0.0	342.0746413265068	692.5392826530136	-307.4607173469866	-342.0746413265068	718.7632066325339	-718.7632066325338	-307.4607173469866	307.4607173469866	-307.46071734698637	8.39	342.0746413265067
37	-433.2467901860965	858.1035803721929	286.034526790731	433.2467901860965	0.0	-580.459053581462	-433.2467901860965	286.034526790731	286.034526790731	286.034526790731	-286.034526790731	580.459053581462	0.0	286.034526790731	580.459053581462	-277.644526790731	-286.034526790731	580.459053581462	-580.459053581462	-277.64452679073065	277.644526790731	-277.644526790731	8.39	286.034526790731
38	-485.16265982539744	961.9353196507948	320.6451065502649	485.16265982539744	0.0	-649.6802131005298	-485.16265982539744	320.6451065502649	320.6451065502649	320.6451065502649	-320.6451065502649	649.6802131005298	0.0	320.6451065502649	649.6802131005298	-312.25510655026494	-320.6451065502649	649.6802131005298	-649.6802131005298	-312.2551065502648	312.25510655026494	-312.25510655026494	8.39	320.6451065502649
39	-538.114925773047	1000.0	355.94661718203133	538.114925773047	67.8398515460941	-788.1230859101568	-538.114925773047	355.94661718203133	355.94661718203133	355.94661718203133	-355.94661718203133	788.1230859101568	0.0	355.94661718203133	720.2832343640627	-279.71676563593724	-355.94661718203133	788.1230859101568	-788.1230859101568	-279.71676563593746	279.71676563593724	-279.71676563593735	8.39	355.94661718203133
40	-664.3607605889326	1000.0	335.63923941106725	664.3607605889326	6.917718233201867	-1000.0	-664.3607605889326	22.225436466403842	22.225436466403842	335.63923941106725	-22.225436466403842	1000.0	313.4138029446634	22.225436466403842	993.0822817667981	-6.917718233201974	-335.63923941106725	1000.0	-999.9999999999999	-6.917718233201867	6.917718233201974	-6.917718233201867	8.39	335.6392394110675
41	-477.7374680564828	716.6062020847243	238.86873402824142	477.7374680564828	0.0	-716.6062020847243	-477.7374680564828	8.389999999999986	8.389999999999986	238.86873402824142	-8.389999999999986	716.6062020847243	230.47873402824143	8.389999999999986	716.6062020847243	0.0	-238.86873402824142	716.6062020847243	-716.6062020847243	0.0	0.0	0.0	8.39	238.86873402824142
