,genes,T5T0_all2metab.log2FoldChange,T5T0_all2metab.padj,T24T0_all2metab.log2FoldChange,T24T0_all2metab.padj,U5U0_all2metab.log2FoldChange,U5U0_all2metab.padj,U24U0_all2metab.log2FoldChange,U24U0_all2metab.padj
1034,PA14_68580,0.599944222,0.058995868,0.555197585,0.089004709,0.339736089,0.427512413,0.43297359,0.375361919
1035,PA14_68740,-0.78666147,0.474029837,-0.157111146,0.940257245,-0.375831044,0.843787996,-0.919739151,0.574983516
1036,PA14_68770,0.980677583,0.001522857,0.962073533,0.002284961,0.547030182,0.154714327,0.606454087,0.186930349
1037,PA14_68780,-0.058014999,0.862314914,0.112982795,0.694536444,0.031474784,0.959055514,0.198353659,0.571587402
1038,PA14_68850,-0.00676437,0.992785881,0.257375887,0.723265761,0.255250558,0.777866536,0.184796397,0.968341285
1039,PA14_68870,0.022594284,0.939236752,0.270289726,0.080535857,0.771928676,2.57E-09,0.353011338,0.05057687
1040,PA14_68890,0.406480685,0.187817043,0.343685795,0.298602126,-0.025116561,0.978509076,-0.084553455,0.995212859
1041,PA14_68900,1.868817181,0.000306944,1.626224978,0.002585064,-0.210901429,0.87791191,-1.177180425,0.112994471
1042,PA14_68920,0.399234318,0.737634783,0.036923805,0.984073014,-0.028494722,0.990428871,0.337347701,0.952931186
1043,PA14_68955,-1.537789057,0.01714262,-1.354466044,0.04456026,-0.580448502,0.580680496,-0.169627998,0.999076502
1044,PA14_68980,-0.307165863,4.36E-12,-0.21121515,5.73E-06,-0.232264561,1.61E-06,0.053837917,0.616141411
1045,PA14_69130,-0.155390698,0.00195253,-0.083671238,0.158624568,0.218287103,1.12E-05,0.131517644,0.047258463
1046,PA14_69140,-0.160047131,0.926216884,0.438047271,0.756847861,1.103079137,0.290774816,-0.025075324,0.999076502
1047,PA14_69150,-0.086779493,0.771200523,-0.228366743,0.301856285,-0.453224081,0.01534166,0.2296591,0.47064785
1048,PA14_69170,-0.177753956,0.007020278,-0.14402556,0.040024033,-0.006082922,0.978971588,0.135055235,0.14823337
1049,PA14_69240,0.373627358,7.85E-05,0.326750106,0.000873837,-0.223466623,0.045548386,-0.009052478,0.999076502
1050,PA14_69430,0.092587852,0.886794881,0.31107197,0.495347921,-0.193190878,0.779841383,0.216396959,0.862782907
1051,PA14_69440,-0.82401074,6.56E-08,-0.306538899,0.100502453,-0.109135609,0.755359936,0.207657463,0.509499461
1052,PA14_69450,0.220269063,0.003061475,0.258846464,0.000407633,-0.265618297,0.000511419,-0.111182544,0.387703073
1053,PA14_69570,-0.327245071,4.31E-06,-0.407734558,5.92E-09,0.033575986,0.855163835,0.111988313,0.384295891
1054,PA14_69610,-2.060587689,0.012998137,-2.135293991,0.010479633,-1.943308299,0.025822021,-1.387097549,0.264613086
1055,PA14_69670,0.122993343,0.732651208,0.249995664,0.393473314,-0.222386801,0.537513227,0.185133477,0.76761921
1056,PA14_69690,0.224076647,0.901643183,-1.290152344,0.229956594,-0.150844732,0.961471132,-1.517813083,0.265085504
1057,PA14_69795,-0.145867582,0.93221867,-0.10118358,0.960310872,-1.746388032,0.039709053,-0.579720451,0.821385817
1058,PA14_69850,0.030426709,0.985102762,-0.054777382,0.97758768,-1.475695453,0.068580104,0.082881785,0.999076502
1059,PA14_69870,-0.110705922,0.132495646,-0.267916727,1.33E-05,0.183192221,0.006496832,0.140444028,0.11869288
1060,PA14_69925,0.917580486,1.33E-15,0.746610076,2.44E-10,0.201148146,0.225715671,0.048444439,0.984202384
1061,PA14_69990,0.106123914,0.891687748,0.032963477,0.975628035,1.874065085,2.26E-07,-0.411963358,0.616141411
1062,PA14_70040,0.136430923,0.635144058,0.048144079,0.916183583,-0.595539106,0.002085781,-0.077745237,0.974385256
1063,PA14_70100,-0.80746981,0.182769733,-1.145035273,0.039434421,-0.403617218,0.678576222,0.045058292,0.999076502
1064,PA14_70110,-0.43205701,6.48E-22,-0.367360629,6.85E-16,-0.232431961,2.68E-06,-0.009650237,0.999076502
1065,PA14_70140,-0.531167021,0.529799056,-0.142940351,0.923133115,0.016123859,0.992503697,0.119247138,0.999076502
1066,PA14_70160,0.18951874,0.252822523,-0.009309659,0.978993478,0.13486983,0.549693452,0.280744831,0.149409022
1067,PA14_70240,0.567003864,0.65469769,-0.577791729,0.668167329,-0.597215105,0.715020361,-0.593557042,0.840517096
1068,PA14_70260,0.16812252,0.178287746,0.186747285,0.126625496,-0.472707376,5.00E-06,-0.16665384,0.346554971
1069,PA14_70270,1.262896692,1.55E-06,1.111088554,4.33E-05,-0.253758391,0.610586566,0.137975856,0.944371322
1070,PA14_70280,0.117324709,0.87295353,-0.06037005,0.950716116,0.545000416,0.258649436,0.168904181,0.958215642
1071,PA14_70370,0.722437466,0.608277542,0.942949544,0.48216076,1.149976448,0.392556068,0.270458625,0.999076502
1072,PA14_70440,-0.182263191,0.5048216,-0.268303676,0.274662659,-0.013909521,0.984065461,0.083859084,0.968875664
1073,PA14_70470,0.17052342,0.339110448,0.141737242,0.472174473,0.08981337,0.765622139,0.080505869,0.915288329
1074,PA14_70720,0.817279467,0.174655114,0.700876539,0.273859477,0.830009479,0.196512973,-0.159202499,0.996189496
