	rxn10125	rJB00264	rxn08094	rxn02465	rxn10158	rxn05154	rxn05312	rxn05318	rxn05561	rxn10154	rJB00267	rxn00394	rxn00285	rxn05158	rxn00615	rxn05466	rxn10042	rxn01637	rxn09653	rxn00134	rxn05581	rxn00097	rxn01636	rxn10165	rxn01917	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00051_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00073_e	ATPM	rxn00182	DM_cpd00002_c
10	-186.10469193537247	744.4187677414898	186.10469193537247	186.10469193537247	1000.0	186.10469193537247	1000.0	428.42595967686225	-1000.0	-186.10469193537247	744.4187677414898	186.10469193537247	-186.10469193537247	285.27787903058675	-648.4222983843113	-372.20938387074494	744.4187677414898	186.10469193537247	-186.10469193537247	428.42595967686225	648.4222983843113	428.42595967686225	-186.10469193537247	363.1444193537245	-186.10469193537247	-186.10469193537247	-450.7508887109029	372.2093838707449	-428.42595967686225	186.10469193537247	648.4222983843113	-648.4222983843113	-450.75088871090264	450.7508887109029	-186.10469193537247	372.20938387074494	-372.2093838707449	-636.8555806462755	186.10469193537247	186.10469193537247	8.39	372.20938387074494	428.42595967686225
11	-194.65889621343374	778.6355848537349	194.65889621343374	194.65889621343374	1000.0	194.65889621343374	1000.0	471.19698106716874	-1000.0	-194.65889621343374	778.6355848537349	194.65889621343374	-194.65889621343374	413.5909432015062	-862.2774053358437	-389.31779242686747	778.6355848537349	194.65889621343374	-194.65889621343374	471.19698106716874	862.2774053358437	471.19698106716874	-194.65889621343374	448.6864621343375	-194.65889621343374	-194.65889621343374	-356.65464165222875	389.31779242686747	-471.19698106716874	194.65889621343374	862.2774053358437	-862.2774053358437	-356.6546416522288	356.65464165222875	-194.65889621343374	389.31779242686747	-389.31779242686747	-551.3135378656625	194.65889621343374	194.65889621343374	8.39	389.31779242686747	471.19698106716874
12	-128.0572942547999	512.2291770191996	128.0572942547999	128.0572942547999	609.7112758813324	128.0572942547999	1000.0	333.3333333333333	-609.7112758813324	-128.0572942547999	512.2291770191996	128.0572942547999	-128.0572942547999	0.0	-368.1035287260005	-256.1145885095998	512.2291770191996	128.0572942547999	-128.0572942547999	333.3333333333333	368.1035287260005	333.3333333333333	-128.0572942547999	368.1035287260005	-128.0572942547999	-128.0572942547999	-503.8391770191996	256.1145885095998	-333.3333333333333	128.0572942547999	368.1035287260005	-368.1035287260005	-503.8391770192	503.8391770191996	-128.0572942547999	256.1145885095998	-256.1145885095998	-631.8964712739995	128.0572942547999	128.0572942547999	8.39	256.1145885095998	333.3333333333334
13	-161.17181073166668	644.6872429266667	161.17181073166668	161.17181073166668	1000.0	161.17181073166668	911.2846609750003	303.7615536583334	-1000.0	-161.17181073166668	644.6872429266667	161.17181073166668	-161.17181073166668	0.0	-113.8156073166669	-322.34362146333336	644.6872429266667	161.17181073166668	-161.17181073166668	303.7615536583334	113.81560731666696	303.7615536583334	-161.17181073166668	113.8156073166669	-161.17181073166668	-161.17181073166668	-636.2972429266667	322.34362146333336	-303.7615536583334	161.17181073166668	113.81560731666696	-113.8156073166669	-636.2972429266667	636.2972429266667	-161.17181073166668	322.34362146333336	-322.34362146333336	-797.4690536583335	161.17181073166668	161.17181073166668	8.39	322.34362146333336	303.76155365833336
14	-25.264566561189724	101.0582662447589	25.264566561189724	25.264566561189724	-300.1649843881031	25.264566561189724	822.9234750000002	274.30782500000004	300.1649843881031	-25.264566561189724	101.0582662447589	25.264566561189724	-25.264566561189724	0.0	-704.9906421940515	-50.52913312237945	101.0582662447589	25.264566561189724	-25.264566561189724	274.30782500000004	704.9906421940515	274.30782500000004	-25.264566561189724	704.9906421940515	-25.264566561189724	-25.264566561189724	-92.6682662447589	50.52913312237945	-274.30782500000004	25.264566561189724	704.9906421940515	-704.9906421940515	-92.6682662447588	92.6682662447589	-25.264566561189724	50.52913312237945	-50.52913312237945	-117.93283280594869	25.264566561189724	25.264566561189724	8.39	50.52913312237945	274.30782500000004
15	-155.281065	621.12426	155.281065	155.281065	1000.0	155.281065	18.945982530980103	274.3078250000003	-1000.0	-155.281065	621.12426	155.281065	-155.281065	803.97749246902	-858.8856424690202	-310.56213	621.12426	155.281065	-155.281065	274.3078250000003	858.8856424690202	274.3078250000003	-155.281065	54.908150000000205	-155.281065	-155.281065	191.24323246901997	310.56213	-274.3078250000003	155.281065	858.8856424690202	-858.8856424690202	191.24323246901986	-191.24323246901997	-155.281065	310.56213	-310.56213	35.9621674690201	155.281065	155.281065	8.39	310.56213	274.30782500000004
16	-75.72749607138957	302.90998428555827	75.72749607138957	75.72749607138957	-37.00253273842021	75.72749607138957	1000.0	395.0412467261579	37.00253273842021	-75.72749607138957	302.90998428555827	75.72749607138957	-75.72749607138957	185.12374017847392	-1000.0	-151.45499214277913	302.90998428555827	75.72749607138957	-75.72749607138957	395.0412467261579	1000.0	395.0412467261579	-75.72749607138957	814.8762598215261	-75.72749607138957	-75.72749607138957	-109.39624410708436	151.45499214277913	-395.0412467261579	75.72749607138957	1000.0	-1000.0	-109.39624410708427	109.39624410708436	-75.72749607138957	151.45499214277913	-151.45499214277913	-185.1237401784739	75.72749607138957	75.72749607138957	8.39	151.45499214277913	395.041246726158
17	-22.285613338587247	89.14245335434899	22.285613338587247	22.285613338587247	-482.35155551177303	22.285613338587247	1000.0	350.50634444882274	482.35155551177303	-22.285613338587247	89.14245335434899	22.285613338587247	-22.285613338587247	51.51903334646812	-1000.0	-44.571226677174494	89.14245335434899	22.285613338587247	-22.285613338587247	350.50634444882274	1000.0	350.50634444882274	-22.285613338587247	948.4809666535318	-22.285613338587247	-22.285613338587247	-29.233420007880866	44.571226677174494	-350.50634444882274	22.285613338587247	1000.0	-1000.0	-29.23342000788091	29.233420007880866	-22.285613338587247	44.571226677174494	-44.571226677174494	-51.51903334646818	22.285613338587247	22.285613338587247	8.39	44.571226677174494	350.5063444488225
18	-123.94407617168203	495.7763046867281	123.94407617168203	123.94407617168203	686.6301117168202	123.94407617168203	335.53717031327193	274.30782500000004	-686.6301117168202	-123.94407617168203	495.7763046867281	123.94407617168203	-123.94407617168203	487.3863046867282	-698.9793988283182	-247.88815234336406	495.7763046867281	123.94407617168203	-123.94407617168203	274.30782500000004	698.9793988283182	274.30782500000004	-123.94407617168203	211.59309414158997	-123.94407617168203	-123.94407617168203	0.0	247.88815234336406	-274.30782500000004	123.94407617168203	698.9793988283182	-698.9793988283182	0.0	0.0	-123.94407617168203	247.88815234336406	-247.88815234336406	-123.94407617168196	123.94407617168203	123.94407617168203	8.39	247.88815234336406	274.30782500000004
19	-62.25611247447802	249.02444989791206	62.256112474478016	62.25611247447802	0.0	62.256112474478016	686.9147372192582	309.18306237239005	0.0	-62.256112474478016	249.02444989791206	62.256112474478016	-62.256112474478016	240.63444989791196	-865.293074642692	-124.51222494895603	249.02444989791206	62.256112474478016	-62.256112474478016	309.18306237239005	865.293074642692	309.18306237239005	-62.256112474478016	624.65862474478	-62.25611247447802	-62.256112474478016	0.0	124.51222494895603	-309.18306237239005	62.256112474478016	865.293074642692	-865.293074642692	0.0	0.0	-62.256112474478016	124.51222494895603	-124.51222494895603	-62.256112474478186	62.256112474478016	62.256112474478016	8.39	124.51222494895603	309.18306237239005
