	rxn05312	rxn05318	rJB00267	rxn37440	rxn05560	rxn00615	rxn00148	rxn00786	rxn00134	rxn01492	rxn05581	rxn00097	rxn00747	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00082_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
12	350.19919920079894	116.73306640026624	158.44075520035503	158.44075520035503	-79.22037760017754	-120.92806640026637	79.22037760017754	-79.22037760017751	116.73306640026624	-79.22037760017754	120.92806640026637	37.51268880008888	-79.22037760017751	279.3688216006214	-229.27113280053257	79.22037760017751	-116.73306640026624	79.22037760017754	120.92806640026637	-279.3688216006214	-70.8303776001776	229.27113280053257	-79.22037760017751	-70.83037760017754	8.39	116.73306640026642
13	950.1999992008003	316.7333330669336	425.107777422578	425.107777422578	-212.553888711289	-320.9283330669333	212.553888711289	-212.553888711289	316.7333330669335	-212.553888711289	320.9283330669333	104.17944435564448	-212.553888711289	746.0361104895113	-629.271666133867	212.553888711289	-316.7333330669336	212.553888711289	320.9283330669333	-746.0361104895113	-204.16388871128902	629.271666133867	-212.553888711289	-204.16388871128902	8.39	316.73333306693337
14	449.7992007991992	149.93306693306636	202.70742257742185	202.70742257742185	-101.35371128871093	-154.12806693306644	101.35371128871093	-101.35371128871093	149.93306693306636	-101.35371128871093	154.1280669330664	48.57935564435547	-101.35371128871093	356.8354895104883	-295.6711338661328	101.35371128871093	-149.93306693306636	101.35371128871093	154.1280669330664	-356.8354895104883	-92.9637112887109	295.6711338661328	-101.35371128871093	-92.96371128871093	8.39	149.93306693306658
15	774.8506004012011	258.28353346706706	347.1747112894227	347.1747112894227	-173.58735564471135	-262.478533467067	173.58735564471135	-173.58735564471135	258.28353346706706	-173.58735564471135	262.478533467067	84.69617782235571	-173.58735564471135	609.6532447564897	-512.3720669341341	173.58735564471135	-258.28353346706706	173.58735564471135	262.478533467067	-609.6532447564897	-165.19735564471137	512.3720669341341	-173.58735564471135	-165.19735564471137	8.39	258.28353346706695
16	724.5497987987994	241.51659959959977	324.8187994661331	324.8187994661331	-162.40939973306655	-245.71159959959982	162.40939973306655	-162.40939973306655	241.51659959959977	-162.40939973306655	245.71159959959982	79.10719986653334	-162.40939973306655	570.5303990657329	-478.83819919919966	162.40939973306655	-241.51659959959977	162.40939973306655	245.71159959959982	-570.5303990657329	-154.0193997330665	478.83819919919966	-162.40939973306655	-154.0193997330665	8.39	241.51659959959989
17	875.1505995996001	291.71686653320006	391.7524887109334	391.7524887109334	-195.8762443554667	-295.9118665332	195.8762443554667	-195.8762443554667	291.7168665332001	-195.8762443554667	295.91186653320005	95.84062217773337	-195.8762443554667	687.6643552441334	-579.2387330664001	195.8762443554667	-291.71686653320006	195.8762443554667	295.91186653320005	-687.6643552441334	-187.48624435546665	579.2387330664001	-195.8762443554667	-187.48624435546674	8.39	291.7168665331999
18	674.3497995995991	224.7832665331997	302.50768871093294	302.50768871093294	-151.25384435546647	-228.97826653319976	151.25384435546647	-151.25384435546647	224.7832665331997	-151.25384435546647	228.97826653319976	73.52942217773318	-151.25384435546647	531.4859552441327	-445.3715330663994	151.25384435546647	-224.7832665331997	151.25384435546647	228.97826653319976	-531.4859552441327	-142.86384435546643	445.3715330663994	-151.25384435546647	-142.86384435546645	8.39	224.78326653319982
19	275.1497995995981	91.71659986653265	125.08546648871027	125.08546648871027	-62.542733244355134	-95.91159986653271	62.542733244355134	-62.542733244355134	91.71659986653265	-62.542733244355134	95.91159986653271	29.173866622177627	-62.542733244355134	220.99706635524296	-179.23819973306541	62.542733244355134	-91.71659986653265	62.542733244355134	95.91159986653271	-220.99706635524296	-54.15273324435509	179.23819973306541	-62.542733244355134	-54.15273324435515	8.39	91.7165998665327
20	325.24939880040006	108.41646626680006	147.35195502240003	147.35195502240003	-73.67597751120002	-112.6114662668	73.67597751120002	-73.67597751120002	108.41646626680006	-73.67597751120002	112.6114662668	34.740488755600026	-73.67597751120002	259.9634212892	-212.63793253360006	73.67597751120002	-108.41646626680006	73.67597751120002	112.6114662668	-259.9634212892	-65.28597751120003	212.63793253360006	-73.67597751120002	-65.28597751120003	8.39	108.41646626679994
21	825.0505996004013	275.0168665334671	369.48582204462275	369.48582204462275	-184.74291102231138	-279.21186653346706	184.74291102231138	-184.74291102231138	275.0168665334671	-184.74291102231138	279.21186653346706	90.27395551115563	-184.74291102231138	648.6976885780898	-545.8387330669341	184.74291102231138	-275.0168665334671	184.74291102231138	279.21186653346706	-648.6976885780898	-176.35291102231156	545.8387330669341	-184.74291102231138	-176.35291102231145	8.39	275.016866533467
22	524.4501988004004	174.8167329334667	235.88564391128907	235.88564391128907	-117.94282195564453	-179.0117329334668	117.94282195564453	-117.94282195564453	174.8167329334667	-117.94282195564453	179.01173293346676	56.87391097782228	-117.94282195564453	414.89737684475585	-345.4384658669336	117.94282195564453	-174.8167329334667	117.94282195564453	179.01173293346676	-414.89737684475585	-109.55282195564439	345.4384658669336	-117.94282195564453	-109.55282195564453	8.39	174.81673293346694
23	624.249799600401	208.08326653346705	280.2410220446227	280.2410220446227	-140.12051102231135	-212.278266533467	140.12051102231135	-140.12051102231135	208.08326653346705	-140.12051102231135	212.278266533467	67.9627555111557	-140.12051102231135	492.5192885780897	-411.97153306693406	140.12051102231135	-208.08326653346705	140.12051102231135	212.278266533467	-492.5192885780897	-131.7305110223113	411.97153306693406	-140.12051102231135	-131.73051102231136	8.39	208.08326653346694
24	925.2501988004014	308.4167329334672	414.0189772446229	414.0189772446229	-207.00948862231144	-312.6117329334671	207.00948862231144	-207.00948862231144	308.4167329334672	-207.00948862231144	312.6117329334671	101.40724431115575	-207.00948862231144	726.63071017809	-612.6384658669343	207.00948862231144	-308.4167329334672	207.00948862231144	312.6117329334671	-726.63071017809	-198.61948862231156	612.6384658669343	-207.00948862231144	-198.61948862231145	8.39	308.4167329334671
25	225.04979960039947	75.01659986679977	102.81879982239973	102.81879982239973	-51.40939991119989	-79.21159986679986	51.40939991119989	-51.40939991119986	75.01659986679977	-51.40939991119989	79.21159986679982	23.60719995559998	-51.40939991119986	182.03039968919958	-145.83819973359962	51.40939991119986	-75.01659986679977	51.40939991119989	79.21159986679982	-182.03039968919958	-43.01939991119991	145.83819973359962	-51.40939991119986	-43.01939991119988	8.39	75.01659986679988
26	424.94900040039954	141.64966680013322	191.66288906684426	191.66288906684426	-95.83144453342213	-145.84466680013315	95.83144453342213	-95.83144453342213	141.64966680013322	-95.83144453342213	145.84466680013315	45.818222266711096	-95.83144453342213	337.50755586697744	-279.1043336002664	95.83144453342213	-141.64966680013322	95.83144453342213	145.84466680013315	-337.50755586697744	-87.4414445334221	279.1043336002664	-95.83144453342213	-87.4414445334221	8.39	141.64966680013288
27	375.14899960119806	125.0496665337327	169.52955537831025	169.52955537831025	-84.76477768915512	-129.2446665337327	84.76477768915514	-84.76477768915512	125.0496665337327	-84.76477768915512	129.2446665337327	40.284888844577566	-84.76477768915512	298.7742219120429	-245.9043330674654	84.76477768915512	-125.0496665337327	84.76477768915512	129.2446665337327	-298.7742219120429	-76.37477768915511	245.9043330674654	-84.76477768915512	-76.37477768915517	8.39	125.04966653373269
28	574.349799601199	191.44993320039976	258.06324426719954	258.0632442671996	-129.0316221335998	-195.6449332003997	129.0316221335998	-129.0316221335998	191.44993320039976	-129.0316221335998	195.6449332003997	62.418311066800015	-129.0316221335998	453.7081774675992	-378.70486640079935	129.03162213359977	-191.44993320039976	129.0316221335998	195.6449332003997	-453.7081774675992	-120.64162213359998	378.70486640079935	-129.03162213359977	-120.64162213359981	8.39	191.44993320039958
