	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
24	-612.993613653496	919.4904204802441	306.496806826748	612.993613653496	-919.4904204802441	-612.993613653496	8.389999999999986	-8.389999999999986	8.389999999999986	306.496806826748	919.4904204802441	298.106806826748	8.389999999999986	919.4904204802441	8.389999999999986	-306.496806826748	919.4904204802441	-919.4904204802441	8.39	306.4968068267481
25	-506.03345599583844	759.0501839937577	253.01672799791925	506.03345599583844	-759.0501839937577	-506.03345599583844	8.389999999999986	-8.389999999999986	8.389999999999986	253.01672799791925	759.0501839937577	244.62672799791926	8.389999999999986	759.0501839937577	8.389999999999986	-253.01672799791925	759.0501839937577	-759.0501839937577	8.39	253.01672799791925
26	-399.20154799617956	598.8023219942693	199.60077399808978	399.20154799617956	-598.8023219942693	-399.20154799617956	8.389999999999986	-8.389999999999986	8.389999999999986	199.60077399808978	598.8023219942693	191.21077399808976	8.389999999999986	598.8023219942693	8.389999999999986	-199.60077399808978	598.8023219942693	-598.8023219942693	8.39	199.60077399808972
27	-527.3655353381797	791.0483030072696	263.68276766908986	527.3655353381797	-791.0483030072696	-527.3655353381797	8.389999999999986	-8.389999999999986	8.389999999999986	263.68276766908986	791.0483030072696	255.29276766908984	8.389999999999986	791.0483030072696	8.389999999999986	-263.68276766908986	791.0483030072696	-791.0483030072696	8.39	263.68276766908986
28	-441.8658773381797	662.7988160072696	220.93293866908985	441.8658773381797	-662.7988160072696	-441.8658773381797	8.389999999999986	-8.389999999999986	8.389999999999986	220.93293866908985	662.7988160072696	212.54293866908984	8.389999999999986	662.7988160072696	8.389999999999986	-220.93293866908985	662.7988160072696	-662.7988160072696	8.39	220.93293866908988
29	-335.3327063378373	502.9990595067561	167.6663531689187	335.3327063378373	-502.9990595067561	-335.3327063378373	8.389999999999986	-8.389999999999986	8.389999999999986	167.6663531689187	502.9990595067561	159.2763531689187	8.389999999999986	502.9990595067561	8.389999999999986	-167.6663531689187	502.9990595067561	-502.9990595067561	8.39	167.6663531689187
30	-356.579627678812	534.8694415182181	178.28981383940604	356.579627678812	-534.8694415182181	-356.579627678812	8.389999999999986	-8.389999999999986	8.389999999999986	178.28981383940604	534.8694415182181	169.89981383940602	8.389999999999986	534.8694415182181	8.389999999999986	-178.28981383940604	534.8694415182181	-534.8694415182181	8.39	178.289813839406
31	-650.5283494636084	975.7925241954127	325.26417473180425	650.5283494636084	-975.7925241954127	-650.5283494636084	8.389999999999986	-8.389999999999986	8.389999999999986	325.26417473180425	975.7925241954127	316.87417473180426	8.389999999999986	975.7925241954127	8.389999999999986	-325.26417473180425	975.7925241954127	-975.7925241954127	8.39	325.26417473180425
32	-479.25077388358085	718.8761608253714	239.62538694179045	479.25077388358085	-718.8761608253714	-479.25077388358085	8.389999999999986	-8.389999999999986	8.389999999999986	239.62538694179045	718.8761608253714	231.23538694179044	8.389999999999986	718.8761608253714	8.389999999999986	-239.62538694179045	718.8761608253714	-718.8761608253714	8.39	239.62538694179042
33	-586.2109315412387	879.316397311858	293.10546577061933	586.2109315412387	-879.316397311858	-586.2109315412387	8.389999999999986	-8.389999999999986	8.389999999999986	293.10546577061933	879.316397311858	284.71546577061935	8.389999999999986	879.316397311858	8.389999999999986	-293.10546577061933	879.316397311858	-879.316397311858	8.39	293.1054657706194
34	-629.0462601992386	943.569390298858	314.5231300996193	629.0462601992386	-943.569390298858	-629.0462601992386	8.389999999999986	-8.389999999999986	8.389999999999986	314.5231300996193	943.569390298858	306.13313009961934	8.389999999999986	943.569390298858	8.389999999999986	-314.5231300996193	943.569390298858	-943.569390298858	8.39	314.5231300996194
35	-543.3756028832387	815.0634043248581	271.68780144161934	543.3756028832387	-815.0634043248581	-543.3756028832387	8.389999999999986	-8.389999999999986	8.389999999999986	271.68780144161934	815.0634043248581	263.29780144161936	8.389999999999986	815.0634043248581	8.389999999999986	-271.68780144161934	815.0634043248581	-815.0634043248581	8.39	271.6878014416194
36	-661.3015632127517	991.9523448191277	330.6507816063759	661.3015632127517	-991.9523448191277	-661.3015632127517	8.389999999999986	-8.389999999999986	8.389999999999986	330.6507816063759	991.9523448191277	322.26078160637593	8.389999999999986	991.9523448191277	8.389999999999986	-330.6507816063759	991.9523448191277	-991.9523448191277	8.39	330.65078160637586
37	-415.190112120582	622.7851681808729	207.59505606029097	415.190112120582	-622.7851681808729	-415.190112120582	8.389999999999986	-8.389999999999986	8.389999999999986	207.59505606029097	622.7851681808729	199.20505606029096	8.389999999999986	622.7851681808729	8.389999999999986	-207.59505606029097	622.7851681808729	-622.7851681808729	8.39	207.59505606029094
38	-372.52578277858174	558.7886741678726	186.26289138929087	372.52578277858174	-558.7886741678726	-372.52578277858174	8.389999999999986	-8.389999999999986	8.389999999999986	186.26289138929087	558.7886741678726	177.87289138929086	8.389999999999986	558.7886741678726	8.389999999999986	-186.26289138929087	558.7886741678726	-558.7886741678726	8.39	186.26289138929087
39	-564.8145991202397	847.2218986803593	282.4072995601198	564.8145991202397	-847.2218986803593	-564.8145991202397	8.389999999999986	-8.389999999999986	8.389999999999986	282.4072995601198	847.2218986803593	274.0172995601198	8.389999999999986	847.2218986803593	8.389999999999986	-282.4072995601198	847.2218986803593	-847.2218986803593	8.39	282.40729956011984
40	-607.6499277782395	911.4748916673593	303.8249638891198	607.6499277782395	-911.4748916673593	-607.6499277782395	8.389999999999986	-8.389999999999986	8.389999999999986	303.8249638891198	911.4748916673593	295.4349638891198	8.389999999999986	911.4748916673593	8.389999999999986	-303.8249638891198	911.4748916673593	-911.4748916673593	8.39	303.82496388911983
41	-489.9809807914107	734.971471187116	244.99049039570534	489.9809807914107	-734.971471187116	-489.9809807914107	8.389999999999986	-8.389999999999986	8.389999999999986	244.99049039570534	734.971471187116	236.60049039570532	8.389999999999986	734.971471187116	8.389999999999986	-244.99049039570534	734.971471187116	-734.971471187116	8.39	244.9904903957053
42	-500.689770120582	751.034655180873	250.344885060291	500.689770120582	-751.034655180873	-500.689770120582	8.389999999999986	-8.389999999999986	8.389999999999986	250.344885060291	751.034655180873	241.954885060291	8.389999999999986	751.034655180873	8.389999999999986	-250.344885060291	751.034655180873	-751.034655180873	8.39	250.34488506029095
43	-457.85444146258175	686.7816621938726	228.92722073129087	457.85444146258175	-686.7816621938726	-457.85444146258175	8.389999999999986	-8.389999999999986	8.389999999999986	228.92722073129087	686.7816621938726	220.53722073129086	8.389999999999986	686.7816621938726	8.389999999999986	-228.92722073129087	686.7816621938726	-686.7816621938726	8.39	228.9272207312909
