	rxn10125	rxn00083	rxn05312	rxn05318	rxn00615	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00251	rxn10165	rxn10053	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
33	-485.26937399950026	-485.26937399950026	962.1487479990005	320.7162493330002	-649.8224986660003	320.7162493330002	-320.7162493330002	320.7162493330002	320.7162493330002	649.8224986660003	320.7162493330002	649.8224986660003	320.7162493330002	-312.3262493330002	-320.7162493330002	649.8224986660003	-649.8224986660003	-312.3262493330002	312.3262493330002	-312.3262493330002	8.39	320.7162493330002
34	-472.69427420010095	-472.69427420010095	936.998548400202	312.332849466734	-633.055698933468	312.332849466734	-312.332849466734	312.332849466734	312.332849466734	633.055698933468	312.332849466734	633.055698933468	312.332849466734	-303.942849466734	-312.332849466734	633.055698933468	-633.055698933468	-303.9428494667341	303.942849466734	-303.94284946673406	8.39	312.332849466734
35	-397.4944750005013	-397.4944750005013	786.5989500010025	262.1996500003342	-532.7893000006684	262.1996500003342	-262.1996500003342	262.1996500003342	262.1996500003342	532.7893000006684	262.1996500003342	532.7893000006684	262.1996500003342	-253.80965000033422	-262.1996500003342	532.7893000006684	-532.7893000006684	-253.80965000033422	253.80965000033422	-253.80965000033416	8.39	262.1996500003342
36	-447.59427460050097	-447.59427460050097	886.798549201002	295.599516400334	-599.589032800668	295.599516400334	-295.599516400334	295.599516400334	295.599516400334	599.589032800668	295.599516400334	599.589032800668	295.599516400334	-287.209516400334	-295.599516400334	599.589032800668	-599.589032800668	-287.209516400334	287.209516400334	-287.209516400334	8.39	295.599516400334
37	-272.4200256005003	-272.4200256005003	536.4500512010006	178.81668373366688	-366.02336746733374	178.81668373366688	-178.81668373366688	178.81668373366688	178.81668373366688	366.02336746733374	178.81668373366688	366.02336746733374	178.81668373366688	-170.4266837336669	-178.81668373366688	366.02336746733374	-366.02336746733374	-170.4266837336669	170.4266837336669	-170.4266837336669	8.39	178.81668373366688
38	-247.42022560009997	-247.42022560009997	486.45045120019995	162.15015040006665	-332.6903008001333	162.15015040006665	-162.15015040006665	162.15015040006665	162.15015040006665	332.6903008001333	162.15015040006665	332.6903008001333	162.15015040006665	-153.76015040006666	-162.15015040006665	332.6903008001333	-332.6903008001333	-153.76015040006666	153.76015040006666	-153.76015040006666	8.39	162.15015040006665
39	-372.41962560050007	-372.41962560050007	736.4492512010002	245.48308373366672	-499.3561674673334	245.48308373366672	-245.48308373366672	245.48308373366672	245.48308373366672	499.3561674673334	245.48308373366672	499.3561674673334	245.48308373366672	-237.09308373366673	-245.48308373366672	499.3561674673334	-499.3561674673334	-237.09308373366673	237.09308373366673	-237.09308373366673	8.39	245.48308373366672
40	-197.52042520009985	-197.52042520009985	386.6508504001997	128.88361680006656	-266.15723360013317	128.88361680006656	-128.88361680006656	128.88361680006656	128.88361680006656	266.15723360013317	128.88361680006656	266.15723360013317	128.88361680006656	-120.49361680006656	-128.88361680006656	266.15723360013317	-266.15723360013317	-120.49361680006655	120.49361680006656	-120.49361680006655	8.39	128.8836168000666
41	-460.14432460030014	-460.14432460030014	911.8986492006001	303.96621640020004	-616.3224328004001	303.96621640020004	-303.96621640020004	303.96621640020004	303.96621640020004	616.3224328004001	303.96621640020004	616.3224328004001	303.96621640020004	-295.57621640020005	-303.96621640020004	616.3224328004001	-616.3224328004001	-295.5762164001999	295.57621640020005	-295.57621640020005	8.39	303.96621640020015
42	-284.9699752003009	-284.9699752003009	561.5499504006018	187.1833168002006	-382.7566336004012	187.1833168002006	-187.1833168002006	187.1833168002006	187.1833168002006	382.7566336004012	187.1833168002006	382.7566336004012	187.1833168002006	-178.7933168002006	-187.1833168002006	382.7566336004012	-382.7566336004012	-178.7933168002006	178.7933168002006	-178.7933168002006	8.39	187.1833168002006
43	-347.4198256001002	-347.4198256001002	686.4496512002004	228.81655040006677	-466.02310080013353	228.81655040006677	-228.81655040006677	228.81655040006677	228.81655040006677	466.02310080013353	228.81655040006677	466.02310080013353	228.81655040006677	-220.4265504000668	-228.81655040006677	466.02310080013353	-466.02310080013353	-220.42655040006673	220.4265504000668	-220.42655040006684	8.39	228.81655040006677
44	-435.0443250007004	-435.0443250007004	861.6986500014006	287.2328833338002	-582.8557666676004	287.2328833338002	-287.2328833338002	287.2328833338002	287.2328833338002	582.8557666676004	287.2328833338002	582.8557666676004	287.2328833338002	-278.8428833338002	-287.2328833338002	582.8557666676004	-582.8557666676004	-278.84288333380005	278.8428833338002	-278.8428833338002	8.39	287.2328833338003
45	-422.5194252005	-422.5194252005	836.6488504009998	278.8829501336666	-566.1559002673332	278.8829501336666	-278.8829501336666	278.8829501336666	278.8829501336666	566.1559002673332	278.8829501336666	566.1559002673332	278.8829501336666	-270.4929501336666	-278.8829501336666	566.1559002673332	-566.1559002673332	-270.49295013366645	270.4929501336666	-270.4929501336666	8.39	278.8829501336666
46	-384.9445254007005	-384.9445254007005	761.499050801401	253.83301693380037	-516.0560338676007	253.83301693380037	-253.83301693380037	253.83301693380037	253.83301693380037	516.0560338676007	253.83301693380037	516.0560338676007	253.83301693380037	-245.44301693380038	-253.83301693380037	516.0560338676007	-516.0560338676007	-245.44301693380044	245.44301693380038	-245.44301693380038	8.39	253.83301693380037
47	-259.92017559990006	-259.92017559990006	511.4503511998002	170.4834503999334	-349.35690079986676	170.4834503999334	-170.4834503999334	170.4834503999334	170.4834503999334	349.35690079986676	170.4834503999334	349.35690079986676	170.4834503999334	-162.09345039993337	-170.4834503999334	349.35690079986676	-349.35690079986676	-162.09345039993343	162.09345039993337	-162.09345039993343	8.39	170.48345039993333
48	-222.44547539930028	-222.44547539930028	436.5009507986006	145.50031693286687	-299.3906338657337	145.50031693286687	-145.50031693286687	145.50031693286687	145.50031693286687	299.3906338657337	145.50031693286687	299.3906338657337	145.50031693286687	-137.11031693286685	-145.50031693286687	299.3906338657337	-299.3906338657337	-137.1103169328669	137.11031693286685	-137.11031693286688	8.39	145.5003169328668
49	-234.92037559950003	-234.92037559950003	461.4507511990001	153.81691706633336	-316.0238341326667	153.81691706633336	-153.81691706633336	153.81691706633336	153.81691706633336	316.0238341326667	153.81691706633336	316.0238341326667	153.81691706633336	-145.42691706633337	-153.81691706633336	316.0238341326667	-316.0238341326667	-145.42691706633335	145.42691706633337	-145.42691706633337	8.39	153.81691706633336
50	-334.9199755995001	-334.9199755995001	661.4499511990002	220.48331706633343	-449.35663413266684	220.48331706633343	-220.48331706633343	220.48331706633343	220.48331706633343	449.35663413266684	220.48331706633343	449.35663413266684	220.48331706633343	-212.09331706633344	-220.48331706633343	449.35663413266684	-449.35663413266684	-212.0933170663335	212.09331706633344	-212.09331706633338	8.39	220.4833170663334
51	-185.02057519949977	-185.02057519949977	361.65115039899956	120.55038346633317	-249.49076693266636	120.55038346633317	-120.55038346633317	120.55038346633317	120.55038346633317	249.49076693266636	120.55038346633317	249.49076693266636	120.55038346633317	-112.16038346633317	-120.55038346633317	249.49076693266636	-249.49076693266636	-112.16038346633317	112.16038346633317	-112.1603834663332	8.39	120.55038346633319
52	-359.9197755999001	-359.9197755999001	711.4495511998002	237.14985039993343	-482.68970079986684	237.14985039993343	-237.14985039993343	237.14985039993343	237.14985039993343	482.68970079986684	237.14985039993343	482.68970079986684	237.14985039993343	-228.75985039993344	-237.14985039993343	482.68970079986684	-482.68970079986684	-228.75985039993344	228.75985039993344	-228.75985039993338	8.39	237.14985039993343
53	-172.5456749993002	-172.5456749993002	336.7013499986004	112.2337833328668	-232.8575666657336	112.2337833328668	-112.2337833328668	112.2337833328668	112.2337833328668	232.8575666657336	112.2337833328668	232.8575666657336	112.2337833328668	-103.8437833328668	-112.2337833328668	232.8575666657336	-232.8575666657336	-103.84378333286685	103.8437833328668	-103.84378333286679	8.39	112.2337833328668
54	-322.44507539930044	-322.44507539930044	636.5001507986009	212.16671693286696	-432.7234338657339	212.16671693286696	-212.16671693286696	212.16671693286696	212.16671693286696	432.7234338657339	212.16671693286696	432.7234338657339	212.16671693286696	-203.77671693286698	-212.16671693286696	432.7234338657339	-432.7234338657339	-203.77671693286698	203.77671693286698	-203.77671693286698	8.39	212.16671693286696
55	-147.6456745997002	-147.6456745997002	286.9013491994004	95.63378306646679	-199.6575661329336	95.63378306646679	-95.63378306646679	95.63378306646679	95.63378306646679	199.6575661329336	95.63378306646679	199.6575661329336	95.63378306646679	-87.24378306646679	-95.63378306646679	199.6575661329336	-199.6575661329336	-87.24378306646679	87.24378306646679	-87.24378306646679	8.39	95.6337830664668
56	-410.0195751998999	-410.0195751998999	811.6491503997997	270.54971679993326	-549.4894335998665	270.54971679993326	-270.54971679993326	270.54971679993326	270.54971679993326	549.4894335998665	270.54971679993326	549.4894335998665	270.54971679993326	-262.1597167999333	-270.54971679993326	549.4894335998665	-549.4894335998665	-262.1597167999332	262.1597167999333	-262.1597167999333	8.39	270.54971679993315
57	-160.0957245995009	-160.0957245995009	311.80144919900187	103.93381639966728	-216.25763279933457	103.93381639966728	-103.93381639966728	103.93381639966728	103.93381639966728	216.25763279933457	103.93381639966728	216.25763279933457	103.93381639966728	-95.54381639966728	-103.93381639966728	216.25763279933457	-216.25763279933457	-95.54381639966732	95.54381639966728	-95.54381639966729	8.39	103.93381639966728
58	-135.1957241999009	-135.1957241999009	262.00144839980186	87.33381613326728	-183.05763226653457	87.33381613326728	-87.33381613326728	87.33381613326728	87.33381613326728	183.05763226653457	87.33381613326728	183.05763226653457	87.33381613326728	-78.94381613326728	-87.33381613326728	183.05763226653457	-183.05763226653457	-78.94381613326732	78.94381613326728	-78.94381613326729	8.39	87.33381613326728
59	-122.77062400050043	-122.77062400050043	237.1512480010009	79.05041600033363	-166.49083200066727	79.05041600033363	-79.05041600033363	79.05041600033363	79.05041600033363	166.49083200066727	79.05041600033363	166.49083200066727	79.05041600033363	-70.66041600033363	-79.05041600033363	166.49083200066727	-166.49083200066727	-70.66041600033364	70.66041600033363	-70.66041600033364	8.39	79.05041600033363
60	-209.99552499950104	-209.99552499950104	411.6010499990021	137.20034999966737	-282.7906999993347	137.20034999966737	-137.20034999966737	137.20034999966737	137.20034999966737	282.7906999993347	137.20034999966737	282.7906999993347	137.20034999966737	-128.81034999966738	-137.20034999966737	282.7906999993347	-282.7906999993347	-128.81034999966738	128.81034999966738	-128.81034999966738	8.39	137.20034999966737
