	rJB00264	rxn00781	rxn08094	rxn10158	rxn05312	rxn05318	rJB00240	rJB00238	rJB00267	rxn00285	rxn05307	rxn00165	rxn37440	rxn01639	rxn05158	rxn00615	rxn00148	rxn05229	rxn10042	rxn01100	rxn00250	rxn00134	rxn05559	rxn05298	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn10053	rxn05297	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00581_e	ATPM	rxn00182	EX_cpd00047_e	DM_cpd00002_c
10	171.67373055166254	85.83686527583127	42.91843263791564	-198.244733203593	1000.0	458.4078056930819	198.244733203593	-42.91843263791564	257.51059582749383	-42.91843263791564	-85.83686527583129	-85.83686527583129	85.83686527583127	42.91843263791564	375.2234170792457	-914.1631347241687	458.4078056930819	-372.57094041725065	171.67373055166254	-85.83686527583127	372.57094041725065	458.4078056930819	-42.91843263791564	-155.32630056567737	42.91843263791564	914.1631347241687	85.83686527583127	372.57094041725065	-85.83686527583127	42.91843263791564	42.91843263791564	-42.91843263791564	-85.83686527583127	624.7765829207543	372.57094041725065	155.32630056567737	-42.91843263791564	-375.2234170792455	128.75529791374692	-458.4078056930819	42.91843263791564	914.1631347241687	-1000.0	-289.38655180341436	375.2234170792455	85.83686527583129	-128.75529791374692	-375.2234170792457	42.91843263791564	-42.91843263791564	8.39	42.91843263791564	42.91843263791564	458.4078056930818
11	217.09875634363092	108.54937817181545	54.27468908590774	-54.27468908590774	1000.0	449.49240904923096	54.27468908590774	-54.27468908590774	325.6481345154464	-54.27468908590774	-108.54937817181548	-108.54937817181548	108.54937817181545	54.27468908590774	348.47722714769327	-767.3798434729858	449.49240904923096	-340.9430308774155	217.09875634363092	-108.54937817181545	340.9430308774155	449.49240904923096	-54.27468908590774	0.0	54.27468908590774	767.3798434729858	108.54937817181545	340.9430308774155	-108.54937817181545	54.27468908590774	54.27468908590774	-54.27468908590774	-108.54937817181545	527.451994497108	340.9430308774155	0.0	-54.27468908590774	-472.54800550289156	162.8240672577232	-449.49240904923096	54.27468908590774	767.3798434729858	-875.9292216448013	-363.99862733107636	472.54800550289156	108.54937817181548	-162.8240672577232	-472.548005502892	54.27468908590774	-54.27468908590774	8.39	54.27468908590774	54.27468908590774	449.4924090492312
12	343.3336750605056	171.66683753025274	85.83341876512641	338.26019079895343	556.3198186441152	429.75275	-338.26019079895343	-85.83341876512641	515.0005125907583	-85.83341876512641	-171.66683753025282	-171.66683753025282	171.66683753025274	85.83341876512641	732.9384313558847	-828.3331624697473	429.75275	-258.08591246974726	343.3336750605056	-171.66683753025274	258.08591246974726	429.75275	-85.83341876512641	424.0936095640798	85.83341876512641	828.3331624697473	171.66683753025274	258.08591246974726	-171.66683753025274	85.83341876512641	85.83341876512641	-85.83341876512641	-171.66683753025274	267.06156864411525	258.08591246974726	-424.0936095640798	-85.8334187651264	-289.2582499999998	257.50025629537913	-429.75275	85.8334187651264	828.3331624697473	-1000.0	-117.5914124697473	289.2582499999998	171.66683753025282	-257.50025629537913	-289.25825	85.83341876512641	-85.83341876512641	8.39	85.83341876512641	85.83341876512641	429.75275000000005
13	549.8560570962721	274.92802854813607	137.46401427406803	690.4837341762396	1000.0	590.7716199836952	-690.4837341762396	-137.46401427406803	824.7840856444082	-137.46401427406803	-274.92802854813607	-274.92802854813607	274.92802854813607	137.46401427406803	772.3148599510857	-725.0719714518639	590.7716199836952	-315.8435914355592	549.8560570962721	-274.92802854813607	315.8435914355592	590.7716199836952	-137.46401427406803	827.9477484503077	137.46401427406803	725.0719714518639	274.92802854813607	315.8435914355592	-274.92802854813607	137.46401427406803	137.46401427406803	-137.46401427406803	-274.92802854813607	227.68514004891426	315.8435914355592	-827.9477484503077	-137.46401427406803	-772.3148599510857	412.3920428222041	-590.7716199836952	137.46401427406803	725.0719714518639	-1000.0	-497.38683140295007	772.3148599510857	274.92802854813607	-412.3920428222041	-772.3148599510857	137.46401427406803	-137.46401427406803	8.39	137.46401427406803	137.46401427406803	590.7716199836952
14	418.0365061622992	209.01825308114957	104.50912654057481	380.707789481403	1000.0	544.6347771568047	-380.707789481403	-104.50912654057481	627.0547592434488	-104.50912654057481	-209.01825308114962	-209.01825308114962	209.01825308114957	104.50912654057481	633.9043314704141	-790.9817469188504	544.6347771568047	-335.61652407565515	418.0365061622992	-209.01825308114957	335.61652407565515	544.6347771568047	-104.50912654057481	485.2169160219778	104.50912654057481	790.9817469188504	209.01825308114957	335.61652407565515	-209.01825308114957	104.50912654057481	104.50912654057481	-104.50912654057481	-209.01825308114957	366.09566852958585	335.61652407565515	-485.2169160219778	-104.50912654057481	-633.904331470414	313.5273796217244	-544.6347771568047	104.50912654057481	790.9817469188504	-1000.0	-424.8860783892645	633.904331470414	209.01825308114962	-313.5273796217244	-633.9043314704141	104.50912654057481	-104.50912654057481	8.39	104.50912654057481	104.50912654057481	544.6347771568047
15	529.8526849927166	264.9263424963583	132.46317124817915	829.9923203011197	378.27829810588116	459.42609936862704	-829.9923203011197	-132.46317124817915	794.7790274890749	-132.46317124817915	-264.9263424963583	-264.9263424963583	264.9263424963583	132.46317124817915	1000.0	-735.0736575036417	459.42609936862704	-194.49975687226873	529.8526849927166	-264.9263424963583	194.49975687226873	459.42609936862704	-132.46317124817915	962.4554915492988	132.46317124817915	735.0736575036417	264.9263424963583	194.49975687226873	-264.9263424963583	132.46317124817915	132.46317124817915	-132.46317124817915	-264.9263424963583	0.0	194.49975687226873	-962.4554915492988	-132.46317124817915	-378.27829810588105	397.38951374453745	-459.42609936862704	132.46317124817915	735.0736575036417	-1000.0	-113.35195560952297	378.27829810588105	264.9263424963583	-397.38951374453745	-378.27829810588116	132.46317124817915	-132.46317124817915	8.39	132.46317124817915	132.46317124817915	459.42609936862704
16	585.3792209449095	292.6896104724548	146.34480523622742	853.6551947637726	734.3599148558823	550.0767103018948	-853.6551947637726	-146.34480523622742	878.0688314173643	-146.34480523622742	-292.68961047245483	-292.68961047245483	292.6896104724548	146.34480523622742	915.8702160498021	-707.3103895275452	550.0767103018948	-257.38709982944	585.3792209449095	-292.6896104724548	257.38709982944	550.0767103018948	-146.34480523622742	1000.0	146.34480523622742	707.3103895275452	292.6896104724548	257.38709982944	-292.6896104724548	146.34480523622742	146.34480523622742	-146.34480523622742	-292.6896104724548	84.12978395019786	257.38709982944	-1000.0	-146.34480523622742	-650.2301309056841	439.03441570868216	-550.0767103018948	146.34480523622742	707.3103895275452	-1000.0	-357.5405204332292	650.2301309056841	292.68961047245483	-439.03441570868216	-650.2301309056844	146.34480523622742	-146.34480523622742	8.39	146.34480523622742	146.34480523622742	550.0767103018949
17	605.8403006339173	302.9201503169587	151.46007515847933	848.5399248415207	911.6892721606165	592.7039596539945	-848.5399248415207	-151.4600751584793	908.760450950876	-151.46007515847933	-302.92015031695865	-302.92015031695865	302.9201503169587	151.46007515847933	866.4226068013666	-697.0798496830413	592.7039596539945	-289.7838093370358	605.8403006339173	-302.9201503169587	289.7838093370358	592.7039596539945	-151.46007515847933	1000.0	151.46007515847933	697.0798496830413	302.9201503169587	289.7838093370358	-302.9201503169587	151.46007515847933	151.46007515847933	-151.46007515847933	-302.9201503169587	133.57739319863344	289.7838093370358	-1000.0	-151.46007515847933	-778.1118789619835	454.380225475438	-592.7039596539945	151.46007515847933	697.0798496830413	-1000.0	-475.1917286450239	778.1118789619835	302.92015031695865	-454.380225475438	-778.111878961983	151.4600751584793	-151.46007515847933	8.39	151.46007515847933	151.46007515847933	592.7039596539943
18	562.495212136335	281.2476060681675	140.62380303408375	859.3761969659163	1000.0	502.401691950698	-859.3761969659163	-140.62380303408375	843.7428182045026	-140.62380303408375	-281.2476060681675	-281.2476060681675	281.2476060681675	140.62380303408375	507.20507585209407	-254.78423244673644	502.401691950698	-221.15408588253052	562.495212136335	-281.2476060681675	221.15408588253052	502.401691950698	-140.62380303408375	1000.0	140.62380303408375	254.78423244673644	281.2476060681675	221.15408588253052	-281.2476060681675	140.62380303408375	140.62380303408375	-140.62380303408375	-281.2476060681675	28.82676266280987	221.15408588253052	-1000.0	-140.62380303408375	-971.1732373371904	421.8714091022513	-502.401691950698	140.62380303408375	254.78423244673644	-536.0318385149039	-689.9256312690231	971.1732373371904	281.2476060681675	-421.8714091022513	-971.1732373371901	140.62380303408375	-140.62380303408375	8.39	140.62380303408375	140.62380303408375	502.40169195069814
19	542.4144542666517	271.2072271333258	135.6036135666629	864.396386433337	980.2982644777413	460.5667797221909	-864.396386433337	-135.6036135666629	813.6216813999774	-135.6036135666629	-271.2072271333258	-271.2072271333258	271.2072271333258	135.6036135666629	401.4020746888313	-110.49311203324686	460.5667797221909	-189.3595525888651	542.4144542666517	-271.2072271333258	189.3595525888651	460.5667797221909	-135.6036135666629	1000.0	135.6036135666629	110.49311203324686	271.2072271333258	189.3595525888651	-271.2072271333258	135.6036135666629	135.6036135666629	-135.6036135666629	-271.2072271333258	-19.701735522258673	189.3595525888651	-1000.0	-135.6036135666629	-999.999999999999	406.8108406999887	-460.5667797221909	135.6036135666629	110.49311203324686	-381.70033916657263	-728.7927728666739	999.9999999999995	271.2072271333258	-406.8108406999887	-1000.0	135.6036135666629	-135.6036135666629	8.39	135.6036135666629	135.6036135666629	460.5667797221907
