	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
35	-397.26047415567854	786.1309483113571	262.04364943711903	397.26047415567854	-532.477298874238	-397.26047415567854	262.04364943711903	262.04364943711903	262.04364943711903	-262.04364943711903	532.477298874238	262.04364943711903	532.477298874238	-253.65364943711904	-262.04364943711903	532.477298874238	-532.477298874238	-253.6536494371191	253.65364943711904	-253.65364943711904	8.39	262.04364943711903
36	-339.8549139491785	671.3198278983571	223.77327596611903	339.8549139491785	-455.9365519322381	-339.8549139491785	223.77327596611903	223.77327596611903	223.77327596611903	-223.77327596611903	455.9365519322381	223.77327596611903	455.9365519322381	-215.383275966119	-223.77327596611903	455.9365519322381	-455.9365519322381	-215.38327596611916	215.383275966119	-215.38327596611896	8.39	223.77327596611906
37	-296.9725595526573	585.5551191053146	195.18503970177153	296.9725595526573	-398.76007940354305	-296.9725595526573	195.18503970177153	195.18503970177153	195.18503970177153	-195.18503970177153	398.76007940354305	195.18503970177153	398.76007940354305	-186.79503970177154	-195.18503970177153	398.76007940354305	-398.76007940354305	-186.79503970177143	186.79503970177154	-186.79503970177154	8.39	195.18503970177153
38	-354.14895584615715	699.9079116923144	233.3026372307715	354.14895584615715	-474.995274461543	-354.14895584615715	233.3026372307715	233.3026372307715	233.3026372307715	-233.3026372307715	474.995274461543	233.3026372307715	474.995274461543	-224.9126372307715	-233.3026372307715	474.995274461543	-474.995274461543	-224.91263723077162	224.9126372307715	-224.91263723077145	8.39	233.3026372307715
39	-239.91005955357002	471.4301191071402	157.1433730357134	239.91005955357002	-322.6767460714268	-239.91005955357002	157.1433730357134	157.1433730357134	157.1433730357134	-157.1433730357134	322.6767460714268	157.1433730357134	322.6767460714268	-148.75337303571342	-157.1433730357134	322.6767460714268	-322.6767460714268	-148.7533730357136	148.75337303571342	-148.75337303571337	8.39	157.1433730357134
40	-440.08553780311354	871.7810756062272	290.5936918687424	440.08553780311354	-589.5773837374848	-440.08553780311354	290.5936918687424	290.5936918687424	290.5936918687424	-290.5936918687424	589.5773837374848	290.5936918687424	589.5773837374848	-282.2036918687424	-290.5936918687424	589.5773837374848	-589.5773837374848	-282.20369186874257	282.2036918687424	-282.20369186874245	8.39	290.5936918687424
41	-325.5035813031136	642.6171626062273	214.20572086874245	325.5035813031136	-436.8014417374849	-325.5035813031136	214.20572086874245	214.20572086874245	214.20572086874245	-214.20572086874245	436.8014417374849	214.20572086874245	436.8014417374849	-205.81572086874246	-214.20572086874245	436.8014417374849	-436.8014417374849	-205.8157208687427	205.81572086874246	-205.81572086874246	8.39	214.20572086874245
42	-411.5545160526573	814.7190321053148	271.5730107017716	411.5545160526573	-551.5360214035431	-411.5545160526573	271.5730107017716	271.5730107017716	271.5730107017716	-271.5730107017716	551.5360214035431	271.5730107017716	551.5360214035431	-263.1830107017716	-271.5730107017716	551.5360214035431	-551.5360214035431	-263.1830107017717	263.1830107017716	-263.18301070177165	8.39	271.5730107017716
43	-497.0622730934076	985.7345461868154	328.57818206227176	497.0622730934076	-665.5463641245435	-497.0622730934076	328.57818206227176	328.57818206227176	328.57818206227176	-328.57818206227176	665.5463641245435	328.57818206227176	665.5463641245435	-320.1881820622718	-328.57818206227176	665.5463641245435	-665.5463641245435	-320.1881820622719	320.1881820622718	-320.18818206227184	8.39	328.57818206227176
44	-54.85631499038635	101.32262998077272	33.774209993590894	54.85631499038635	-75.93841998718179	-54.85631499038635	33.774209993590894	33.774209993590894	33.774209993590894	-33.774209993590894	75.93841998718179	33.774209993590894	75.93841998718179	-25.384209993590893	-33.774209993590894	75.93841998718179	-75.93841998718179	-25.3842099935909	25.384209993590893	-25.384209993590957	8.39	33.77420999359091
45	-83.50168953343	158.6133790668598	52.8711263556199	83.50168953342998	-114.1322527112398	-83.50168953342998	52.8711263556199	52.8711263556199	52.8711263556199	-52.8711263556199	114.1322527112398	52.8711263556199	114.1322527112398	-44.4811263556199	-52.8711263556199	114.1322527112398	-114.1322527112398	-44.48112635561972	44.4811263556199	-44.48112635562006	8.39	52.8711263556199
46	-126.26969113736413	244.14938227472817	81.38312742490939	126.26969113736413	-171.1562548498188	-126.26969113736413	81.38312742490939	81.38312742490939	81.38312742490939	-81.38312742490939	171.1562548498188	81.38312742490939	171.1562548498188	-72.9931274249094	-81.38312742490939	171.1562548498188	-171.1562548498188	-72.99312742490929	72.9931274249094	-72.99312742490942	8.39	81.38312742490939
47	-154.71529055311447	301.04058110622873	100.34686036874291	154.71529055311447	-209.0837207374858	-154.71529055311447	100.34686036874291	100.34686036874291	100.34686036874291	-100.34686036874291	209.0837207374858	100.34686036874291	209.0837207374858	-91.95686036874292	-100.34686036874291	209.0837207374858	-209.0837207374858	-91.95686036874281	91.95686036874292	-91.95686036874292	8.39	100.3468603687429
48	-311.26660144963625	614.1432028992724	204.71440096642414	311.26660144963625	-417.8188019328482	-311.26660144963625	204.7144009664241	204.7144009664241	204.7144009664241	-204.7144009664241	417.8188019328482	204.7144009664241	417.8188019328482	-196.32440096642407	-204.71440096642414	417.8188019328482	-417.8188019328482	-196.32440096642404	196.32440096642407	-196.32440096642426	8.39	204.71440096642405
49	-268.3842470531146	528.3784941062291	176.12616470207638	268.3842470531146	-360.64232940415275	-268.3842470531146	176.12616470207638	176.12616470207638	176.12616470207638	-176.12616470207638	360.64232940415275	176.12616470207638	360.64232940415275	-167.7361647020764	-176.12616470207638	360.64232940415275	-360.64232940415275	-167.73616470207628	167.7361647020764	-167.73616470207637	8.39	176.12616470207638
