	rxn10125	rxn00779	rxn13726	rxn00371	rxn08094	rxn01045	rxn10158	rxn05312	rxn05318	rxn00256	rJB00240	rJB00238	rxn10113	rxn00285	rxn00974	rxn05307	rxn00165	rxn08556	rxn37440	rxn01639	rxn05158	rxn00615	rxn00148	rJB00271	rxn08103	rxn05229	rxn10042	rxn12788	rxn09566	rxn00250	rxn00134	rxn00290	rxn05484	rxn05559	rxn00191	rxn00374	rxn05581	rxn00459	rxn13889	rxn00251	rxn00014	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn10053	rxn00124	rxn01807	rxn05468	EX_cpd00142_e	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00331_e	EX_cpd00581_e	ATPM	rxn06043	rxn00904	EX_cpd00047_e	rxn00178	DM_cpd00002_c
10	-86.46810037746963	86.46810037746963	157.71584188440352	-75.65958783028577	54.04256273591847	92.86476660130124	-54.04256273591847	569.3985676177018	376.5673835220681	21.617025094367307	54.04256273591847	-54.04256273591847	166.53953453110756	-64.85107528310212	-21.617025094367307	-108.08512547183695	-108.08512547183695	8.82369264670406	77.64440773076554	54.04256273591847	560.3035829485024	-913.5318996225303	376.5673835220681	77.64440773076554	-38.82220386538277	-268.48225805023117	235.36024961516904	21.617025094367307	38.82220386538277	268.48225805023117	376.5673835220681	-10.808512547183646	-10.808512547183646	-129.70215056620424	-54.04256273591847	54.04256273591847	913.5318996225303	86.46810037746963	0.0	290.0992831445985	77.64440773076554	-86.46810037746963	54.04256273591847	54.04256273591847	-54.04256273591847	-86.46810037746963	439.69641705149763	268.48225805023117	-38.82220386538277	38.82220386538277	102.68086919824516	10.808512547183646	-376.5673835220681	913.5318996225303	-1000.0	108.08512547183695	-102.68086919824516	-129.70215056620418	54.04256273591847	-21.617025094367307	-54.04256273591847	8.39	0.0	-92.86476660130124	129.70215056620424	10.808512547183653	376.567383522068
11	-105.27899165655944	105.27899165655944	163.23530705050456	-194.6075246161227	99.96217209089404	152.60166791917376	-99.96217209089404	883.3136769628561	477.07363530973146	94.64535252522865	99.96217209089404	-99.96217209089404	163.23530705050456	-147.28484835350838	-94.64535252522865	-199.9243441817881	-199.9243441817881	0.0	105.27899165655944	99.96217209089404	547.9072289663382	-894.7210083434405	477.07363530973146	105.27899165655944	-52.63949582827972	-277.14929112794334	268.514298707064	94.64535252522865	52.63949582827972	277.14929112794334	477.07363530973146	-47.32267626261434	-47.32267626261434	-294.56969670701676	-99.96217209089404	99.96217209089404	894.7210083434405	105.27899165655944	-273.30241844435517	371.794643653172	105.27899165655944	-105.27899165655944	99.96217209089404	99.96217209089404	-99.96217209089404	-105.27899165655944	452.09277103366185	277.14929112794334	-52.63949582827972	52.63949582827972	107.93740143939215	47.32267626261434	-477.07363530973146	894.7210083434405	-1000.0	199.9243441817881	-107.93740143939215	-431.2209059291943	99.96217209089404	-94.64535252522865	-99.96217209089404	8.39	273.30241844435517	-152.60166791917376	294.56969670701676	47.32267626261432	477.0736353097314
12	-73.03676136978781	73.03676136978781	68.62570276308222	-268.8618406143742	113.96620066138735	150.48458134628126	-113.96620066138735	881.3585676210917	352.419875923994	154.89563995298687	113.96620066138735	-113.96620066138735	68.62570276308222	-191.41402063788078	-154.89563995298687	-227.9324013227747	-227.9324013227747	0.0	73.03676136978781	113.96620066138735	175.9010601508902	-328.12192590535255	352.419875923994	73.03676136978781	-36.518380684893906	-124.48747460121928	141.66246413287	154.89563995298687	36.518380684893906	124.48747460121928	352.419875923994	-77.44781997649343	-77.44781997649343	-382.82804127576156	-113.96620066138735	113.96620066138735	328.12192590535255	73.03676136978781	-546.5457984421598	279.38311455420614	73.03676136978781	-73.03676136978781	113.96620066138735	113.96620066138735	-113.96620066138735	-73.03676136978781	225.25762712425012	124.48747460121928	-36.518380684893906	36.518380684893906	52.572041723988065	77.44781997649343	-352.419875923994	328.12192590535255	-401.15868727514044	227.9324013227747	-52.572041723988065	-656.1009404968415	113.96620066138735	-154.89563995298687	-113.96620066138735	8.39	546.5457984421598	-150.48458134628126	382.82804127576156	77.44781997649343	352.41987592399397
13	-86.24024860887846	86.24024860887846	118.5803418372079	-75.46021753276867	53.900155380549045	53.900155380549045	-53.900155380549045	671.1585933854748	369.1144054591217	21.560062152219643	53.900155380549045	-53.900155380549045	204.82059044608636	-64.68018645665887	-21.560062152219643	-107.80031076109809	-107.80031076109809	86.24024860887846	0.0	53.900155380549045	436.18462299189036	-891.7425948551689	369.1144054591217	0.0	0.0	-261.3140946980236	118.5803418372079	21.560062152219643	0.0	261.3140946980236	369.1144054591217	-10.780031076109829	-10.780031076109829	-129.36037291331772	-53.900155380549045	53.900155380549045	891.7425948551689	86.24024860887846	0.0	282.87415685024325	0.0	-86.24024860887846	53.900155380549045	53.900155380549045	-53.900155380549045	-86.24024860887846	541.798220472157	261.3140946980236	0.0	0.0	102.41029522304318	10.780031076109829	-369.1144054591217	891.7425948551689	-977.9828434640474	107.80031076109809	-102.41029522304318	-129.36037291331786	53.900155380549045	-21.560062152219643	-53.900155380549045	8.39	0.0	-53.900155380549045	129.36037291331772	10.780031076109822	369.1144054591217
14	-94.8997558028343	94.8997558028343	118.63701699890993	-118.58772801744166	71.16249460675866	71.16249460675866	-71.16249460675866	809.3706575185556	412.38360384804986	47.425233410683006	71.16249460675866	-71.16249460675866	213.53677280174423	-94.87511131210024	-47.425233410683006	-142.3249892135173	-142.3249892135173	94.8997558028343	0.0	71.16249460675866	427.78015402559373	-905.1002441971657	412.38360384804986	0.0	0.0	-270.05861463453255	118.63701699890993	47.425233410683006	0.0	270.05861463453255	412.38360384804986	-23.71261670534159	-23.71261670534159	-189.75022262420032	-71.16249460675866	71.16249460675866	905.1002441971657	94.8997558028343	-94.8011778398982	317.48384804521555	0.0	-94.8997558028343	71.16249460675866	71.16249460675866	-71.16249460675866	-94.8997558028343	572.2198459744063	270.05861463453255	0.0	0.0	106.76838640087212	23.71261670534159	-412.38360384804986	905.1002441971657	-1000.0	142.3249892135173	-106.76838640087212	-237.1508115441493	71.16249460675866	-47.425233410683006	-71.16249460675866	8.39	94.8011778398982	-71.16249460675866	189.75022262420032	23.712616705341503	412.38360384804963
15	-81.55671634459443	81.55671634459443	133.1597051014003	-71.36212680152013	50.97294771537151	71.99216784295449	-50.97294771537151	578.809964663719	352.419875923994	20.38917908614863	50.97294771537151	-50.97294771537151	172.67798119082886	-61.16753725844582	-20.38917908614863	-101.94589543074306	-101.94589543074306	39.51827608942855	42.03844025516588	50.97294771537151	478.44966310826294	-853.3678369104958	352.419875923994	42.03844025516588	-21.01922012758294	-250.47398049325093	175.1981453565662	20.38917908614863	21.01922012758294	250.47398049325093	352.419875923994	-10.194589543074308	-10.194589543074308	-122.33507451689164	-50.97294771537151	50.97294771537151	853.3678369104958	81.55671634459443	0.0	270.86315957939956	42.03844025516588	-81.55671634459443	50.97294771537151	50.97294771537151	-50.97294771537151	-81.55671634459443	456.4748901468273	250.47398049325093	-21.01922012758294	21.01922012758294	96.8486006592059	10.194589543074308	-352.419875923994	853.3678369104958	-934.9245532550902	101.94589543074306	-96.8486006592059	-122.33507451689172	50.97294771537151	-20.38917908614863	-50.97294771537151	8.39	0.0	-71.99216784295449	122.33507451689164	10.194589543074315	352.41987592399397
16	-82.10451710909096	82.10451710909096	119.73858637123571	-71.84145247045453	51.31532319318182	58.16019853941751	-51.31532319318182	620.8536733388263	352.419875923994	20.526129277272673	51.31532319318182	-51.31532319318182	188.1533527878553	-61.57838783181816	-20.526129277272673	-102.63064638636364	-102.63064638636364	68.41476641661959	13.689750692471375	51.31532319318182	436.40595443315567	-851.9983349992547	352.419875923994	13.689750692471375	-6.844875346235687	-249.78922953763032	133.4283370637071	20.526129277272673	6.844875346235687	249.78922953763032	352.419875923994	-10.263064638636344	-10.263064638636344	-123.15677566363634	-51.31532319318182	51.31532319318182	851.9983349992547	82.10451710909096	0.0	270.315358814903	13.689750692471375	-82.10451710909096	51.31532319318182	51.31532319318182	-51.31532319318182	-82.10451710909096	497.6968976751898	249.78922953763032	-6.844875346235687	6.844875346235687	97.4991140670455	10.263064638636344	-352.419875923994	851.9983349992547	-934.1028521083456	102.63064638636364	-97.4991140670455	-123.15677566363661	51.31532319318182	-20.526129277272673	-51.31532319318182	8.39	0.0	-58.16019853941751	123.15677566363634	10.263064638636337	352.41987592399397
17	-72.58028793907044	72.58028793907044	35.901939476667195	-301.3929481167387	124.65774535193637	140.05685430239896	-124.65774535193637	1000.0	352.419875923994	176.7352027648023	124.65774535193637	-124.65774535193637	77.6840095148125	-213.02534673433752	-176.7352027648023	-249.31549070387274	-249.31549070387274	41.78207003814531	30.79821790092514	124.65774535193637	57.259627771982196	-241.44838480416703	352.419875923994	30.79821790092514	-15.39910895046257	-103.10438522012116	66.70015737759233	176.7352027648023	15.39910895046257	103.10438522012116	352.419875923994	-88.36760138240115	-88.36760138240115	-426.05069346867504	-124.65774535193637	124.65774535193637	241.44838480416703	72.58028793907044	-634.3605231201386	279.83958798492347	30.79821790092514	-72.58028793907044	124.65774535193637	124.65774535193637	-124.65774535193637	-72.58028793907044	256.76904497125577	103.10438522012116	-15.39910895046257	15.39910895046257	46.54155923263754	88.36760138240115	-352.419875923994	241.44838480416706	-314.0286727432375	249.31549070387274	-46.54155923263754	-743.2309550287442	124.65774535193637	-176.7352027648023	-124.65774535193637	8.39	634.3605231201386	-140.05685430239896	426.05069346867504	88.36760138240115	352.41987592399397
18	-80.16206172181913	80.16206172181913	47.56494236929549	-258.11548150120933	112.7591810743428	112.7591810743428	-112.7591810743428	1000.0	374.23117075778134	145.3563004268665	112.7591810743428	-112.7591810743428	127.72700409111461	-185.43733128777606	-145.3563004268665	-225.5183621486856	-225.5183621486856	80.16206172181913	0.0	112.7591810743428	122.69351227334403	-421.02521798314945	374.23117075778134	0.0	0.0	-148.71280860909573	47.56494236929549	145.3563004268665	0.0	148.71280860909573	374.23117075778134	-72.67815021343326	-72.67815021343326	-370.8746625755521	-112.7591810743428	112.7591810743428	421.02521798314945	80.16206172181913	-501.2631399856468	294.06910903596224	0.0	-80.16206172181913	112.7591810743428	112.7591810743428	-112.7591810743428	-80.16206172181913	378.49376743162463	148.71280860909573	0.0	0.0	63.863502045557304	72.67815021343326	-374.23117075778134	421.02521798314945	-501.18727970496855	225.5183621486856	-63.863502045557304	-621.5062325683754	112.7591810743428	-145.3563004268665	-112.7591810743428	8.39	501.2631399856468	-112.7591810743428	370.8746625755521	72.67815021343326	374.23117075778123
19	-90.14583725784661	90.14583725784661	74.1883437987021	-228.16415489312675	106.10333071699112	106.10333071699112	-106.10333071699112	1000.0	410.83834772321535	122.06082417613564	106.10333071699112	-106.10333071699112	164.33418105654872	-167.133742805059	-122.06082417613564	-212.20666143398225	-212.20666143398225	90.14583725784661	0.0	106.10333071699112	232.51504316964613	-609.0529905783335	410.83834772321535	0.0	0.0	-198.6316862892331	74.1883437987021	122.06082417613564	0.0	198.6316862892331	410.83834772321535	-61.03041208806788	-61.03041208806788	-334.2674856101179	-106.10333071699112	106.10333071699112	609.0529905783335	90.14583725784661	-398.09745944669595	320.69251046536874	0.0	-90.14583725784661	106.10333071699112	106.10333071699112	-106.10333071699112	-90.14583725784661	466.68378466653394	198.6316862892331	0.0	0.0	82.16709052827436	61.03041208806788	-410.83834772321535	609.0529905783335	-699.19882783618	212.20666143398225	-82.16709052827436	-533.3162153334661	106.10333071699112	-122.06082417613564	-106.10333071699112	8.39	398.09745944669595	-106.10333071699112	334.2674856101179	61.03041208806782	410.83834772321546
