	rJB00264	rxn08094	rxn05312	rxn05318	rJB00267	rxn00285	rxn13803	rxn05158	rxn00615	rxn13836	rxn00148	rJB00271	rxn05466	rxn05229	rxn05654	rxn10042	rxn09566	rxn00250	rxn00134	rxn05581	rxn00251	rxn00014	rxn10165	rxn10053	rxn05297	rxn00124	rxn01807	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	ATPM	rxn00182	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
10	813.5170732919252	360.13780496894384	925.6890248447194	641.8963416149065	627.0341465838503	-360.13780496894384	-93.24146335403742	1000.0	-932.0448782608692	993.6441465838506	641.8963416149065	186.48292670807484	-360.13780496894384	-641.8963416149065	-360.13780496894384	1000.0	93.24146335403742	641.8963416149065	641.8963416149065	932.0448782608692	641.8963416149065	186.48292670807484	-67.95512173913086	641.8963416149065	360.13780496894384	-93.24146335403742	93.24146335403742	-360.13780496894384	360.1378049689439	-641.8963416149065	360.13780496894384	932.0448782608692	-932.0448782608692	-360.13780496894384	360.13780496894384	-360.1378049689439	-993.6441465838502	360.13780496894384	8.39	453.37926832298126	-993.6441465838506	993.6441465838506	641.8963416149065
11	798.3966999600002	348.79752497000015	868.9876248500007	622.9958749500001	596.7933999200003	-348.79752497000015	-100.8016500199999	1000.0	-905.5842249300001	963.4033999200003	622.9958749500001	201.6033000399998	-348.79752497000015	-622.9958749500001	-348.79752497000015	1000.0	100.8016500199999	622.9958749500001	622.9958749500001	905.5842249300001	622.9958749500001	201.6033000399998	-94.41577506999988	622.9958749500001	348.79752497000015	-100.8016500199999	100.8016500199999	-348.79752497000015	348.7975249700001	-622.9958749500001	348.79752497000015	905.5842249300001	-905.5842249300001	-348.79752497000015	348.79752497000015	-348.7975249700001	-963.4033999200005	348.79752497000015	8.39	449.59917499000005	-963.4033999200003	963.4033999200003	622.9958749500001
12	757.128933422222	329.2822333555554	800.0000000000018	600.0000000000007	560.0000000000011	-329.2822333555554	-98.56446671111098	1000.0	-924.8498998000007	875.1501001999994	600.0	197.12893342222196	-329.2822333555555	-600.0000000000007	-329.2822333555554	954.2578668444439	98.56446671111098	600.0	600.0	924.8498998000007	600.0	197.12893342222196	-75.15010019999932	600.0	329.2822333555555	-98.56446671111098	98.56446671111098	-329.2822333555554	329.2822333555555	-600.0	329.2822333555554	924.8498998000007	-924.8498998000007	-329.2822333555555	329.2822333555555	-329.2822333555555	-875.1501001999995	329.2822333555554	8.39	427.8467000666665	-875.1501001999994	875.1501001999994	600.0
13	773.7755867288888	345.92888666222217	924.8498998000005	600.0000000000007	609.9399599200002	-345.92888666222217	-81.91781340444427	875.1501001999995	-800.0	1000.0	600.0	163.83562680888855	-345.9288866622222	-600.0000000000007	-345.92888666222217	937.6112135377773	81.91781340444427	600.0	600.0	800.0	600.0	163.83562680888855	-75.15010019999954	600.0	345.9288866622222	-81.91781340444427	81.91781340444427	-345.92888666222217	345.9288866622222	-600.0	345.92888666222217	800.0	-800.0	-345.9288866622222	345.9288866622222	-345.9288866622222	-1000.0	345.92888666222217	8.39	427.8467000666665	-1000.0	1000.0	600.0
14	786.7067467200005	340.03006004000036	825.1503002000015	608.3834334000005	573.413493440001	-340.03006004000036	-106.64662663999974	1000.0	-885.1268067600006	940.0234934400011	608.3834334000005	213.29325327999948	-340.0300600400004	-608.3834334000005	-340.03006004000036	1000.0	106.64662663999974	608.3834334000005	608.3834334000005	885.1268067600006	608.3834334000005	213.29325327999948	-114.87319323999941	608.3834334000005	340.0300600400004	-106.64662663999974	106.64662663999974	-340.03006004000036	340.0300600400004	-608.3834334000005	340.03006004000036	885.1268067600006	-885.1268067600006	-340.0300600400004	340.0300600400004	-340.0300600400004	-940.023493440001	340.03006004000036	8.39	446.67668668000016	-940.0234934400011	940.0234934400011	608.3834334000005
15	817.8073985244444	367.8051429911111	975.1497002000002	658.3832334000001	653.4131734399998	-367.8051429911111	-82.19711254222227	1000.0	-975.1497002000002	1000.0	658.3832334000001	164.39422508444454	-367.80514299111104	-658.3832334000001	-367.8051429911111	982.2016236088889	82.19711254222227	658.3832334000001	658.3832334000001	975.1497002000002	658.3832334000001	164.39422508444454	-24.85029979999979	658.3832334000001	367.80514299111104	-82.19711254222227	82.19711254222227	-367.8051429911111	367.80514299111104	-658.3832334000001	367.8051429911111	975.1497002000002	-975.1497002000002	-367.80514299111104	367.80514299111104	-367.80514299111104	-1000.0	367.8051429911111	8.39	450.0022555333333	-1000.0	1000.0	658.3832334000001
16	758.8970030311111	350.5559140977778	1000.0	608.3166334000001	643.3266533599999	-350.5559140977778	-57.78517483555561	824.9499002000001	-824.9499002000001	1000.0	608.3166334000001	115.57034967111122	-350.55591409777776	-608.3166334000001	-350.5559140977778	874.4673527022223	57.78517483555561	608.3166334000001	608.3166334000001	824.9499002000001	608.3166334000001	115.57034967111122	0.0	608.3166334000001	350.55591409777776	-57.78517483555561	57.78517483555561	-350.5559140977778	350.55591409777776	-608.3166334000001	350.5559140977778	824.9499002000001	-824.9499002000001	-350.55591409777776	350.55591409777776	-350.55591409777776	-1000.0	350.5559140977778	8.39	408.34108893333337	-1000.0	1000.0	608.3166333999999
17	811.0190725430896	368.68532958020506	1000.0	659.3056144443268	663.7222457777306	-368.68532958020506	-73.64841338267951	977.9168433329804	-977.9168433329804	1000.0	659.3056144443268	147.29682676535901	-368.68532958020506	-659.3056144443268	-368.68532958020506	958.3158993084486	73.64841338267951	659.3056144443268	659.3056144443268	977.9168433329804	659.3056144443268	147.29682676535901	0.0	659.3056144443268	368.68532958020506	-73.64841338267951	73.64841338267951	-368.68532958020506	368.685329580205	-659.3056144443268	368.68532958020506	977.9168433329804	-977.9168433329804	-368.68532958020506	368.68532958020506	-368.685329580205	-1000.0	368.68532958020506	8.39	442.33374296288457	-1000.0	1000.0	659.3056144443267
18	678.8460341237342	330.44761375316756	1000.0	607.36105222234	642.9444208889361	-330.44761375316756	-17.950806617399053	822.0831566670199	-1000.0	822.0831566670197	607.36105222234	35.901613234798106	-330.4476137531677	-607.36105222234	-330.44761375316756	714.7476473585323	17.950806617399053	607.36105222234	607.36105222234	1000.0	607.36105222234	35.901613234798106	177.91684333298008	607.36105222234	330.4476137531677	-17.950806617399053	17.950806617399053	-330.44761375316756	330.44761375316756	-607.36105222234	330.44761375316756	1000.0	-1000.0	-330.4476137531677	330.4476137531677	-330.44761375316756	-822.0831566670199	330.44761375316756	8.39	348.3984203705667	-822.0831566670197	822.0831566670197	607.3610522223398
19	766.1457889015835	353.0772309222899	1000.0	615.4078369689404	646.1631347875762	-353.0772309222899	-59.99132705700368	846.223510906821	-846.2235109068212	1000.0	615.4078369689404	119.98265411400736	-353.0772309222899	-615.4078369689404	-353.0772309222899	886.1284430155908	59.99132705700368	615.4078369689404	615.4078369689404	846.2235109068212	615.4078369689404	119.98265411400736	0.0	615.4078369689404	353.0772309222899	-59.99132705700368	59.99132705700368	-353.0772309222899	353.0772309222899	-615.4078369689404	353.0772309222899	846.2235109068212	-846.223510906821	-353.0772309222899	353.0772309222899	-353.0772309222899	-1000.0	353.0772309222899	8.39	413.0685579792936	-1000.0	1000.0	615.4078369689406
20	764.1865447013333	355.40568760133334	1000.0	643.59051426	657.436205704	-355.40568760133334	-53.37516949866665	930.7715427799999	-1000.0	930.7715427799999	643.59051426	106.7503389973333	-355.40568760133334	-643.59051426	-355.40568760133334	870.9368836986666	53.37516949866665	643.59051426	643.59051426	1000.0	643.59051426	106.7503389973333	69.22845722000011	643.59051426	355.40568760133334	-53.37516949866665	53.37516949866665	-355.40568760133334	355.40568760133334	-643.59051426	355.40568760133334	1000.0	-1000.0	-355.40568760133334	355.40568760133334	-355.40568760133334	-930.7715427799999	355.40568760133334	8.39	408.7808571	-930.7715427799999	930.7715427799999	643.59051426
21	749.0208473599291	334.36857515996235	853.3502248998507	617.7834082999502	588.4534532799203	-334.36857515996235	-80.28369704000443	1000.0	-1000.0	853.3502248998507	617.7834082999502	160.56739408000885	-334.36857515996235	-617.7834082999502	-334.36857515996235	909.588241439938	80.28369704000443	617.7834082999502	617.7834082999502	1000.0	617.7834082999502	160.56739408000885	0.0	617.7834082999502	334.36857515996235	-80.28369704000443	80.28369704000443	-334.36857515996235	334.36857515996235	-617.7834082999502	334.36857515996235	1000.0	-1000.0	-334.36857515996235	334.36857515996235	-334.36857515996235	-853.3502248998507	334.36857515996235	8.39	414.6522721999668	-853.3502248998507	853.3502248998507	617.7834082999502
22	727.9039674465492	344.79474519663233	1000.0	628.1875333499502	651.2750133399801	-344.79474519663233	-38.31447705328458	884.5626000498505	-1000.0	884.5626000498504	628.1875333499502	76.62895410656915	-344.79474519663233	-628.1875333499502	-344.79474519663233	804.5329215531184	38.31447705328458	628.1875333499502	628.1875333499502	1000.0	628.1875333499502	76.62895410656915	115.43739995014948	628.1875333499502	344.79474519663233	-38.31447705328458	38.31447705328458	-344.79474519663233	344.79474519663233	-628.1875333499502	344.79474519663233	1000.0	-1000.0	-344.79474519663233	344.79474519663233	-344.79474519663233	-884.5626000498505	344.79474519663233	8.39	383.1092222499169	-884.5626000498504	884.5626000498504	628.1875333499501
