"","log2FC","p","condition","metab"
"indoleacetate",-7.07028805760744,0.006,"24_0.1-0","indoleacetate"
"isocitric lactone",3.36551259744859,0.854,"24_0.1-0","isocitric lactone"
"isoleucine",-1.85639397258793,5.09e-05,"24_0.1-0","isoleucine"
"isoleucylglycine",0.321245635858055,1.43e-08,"24_0.1-0","isoleucylglycine"
"isovalerate (i5:0)",-4.09423320417018,2.67e-05,"24_0.1-0","isovalerate (i5:0)"
"isovalerylglycine",0.112571996534457,0.984,"24_0.1-0","isovalerylglycine"
"kynurenate",-6.49765649549229,0.018,"24_0.1-0","kynurenate"
"lactate",-1.64294422644413,0.534,"24_0.1-0","lactate"
"leucine",-2.28816408372264,5.69e-06,"24_0.1-0","leucine"
"leucylglutamine*",1.15035716449874,0.003,"24_0.1-0","leucylglutamine*"
"leucylglycine",0.270526353367777,1.48e-05,"24_0.1-0","leucylglycine"
"lysine",-3.10507201031091,0.002,"24_0.1-0","lysine"
"lysylleucine",-4.79347882005179,2.05e-07,"24_0.1-0","lysylleucine"
"malate",-3.89512258713508,0.083,"24_0.1-0","malate"
"maleate",3.87167172528422,0.848,"24_0.1-0","maleate"
"malonate",-1.73207194555347,0.948,"24_0.1-0","malonate"
"mannose",0.246315085478458,0.069,"24_0.1-0","mannose"
"methionine",1.06599380828459,0.000776,"24_0.1-0","methionine"
"methionine sulfoxide",0.645806144861612,0.979,"24_0.1-0","methionine sulfoxide"
"methylmalonate (MMA)",-0.674868691459937,0.003,"24_0.1-0","methylmalonate (MMA)"
"mevalonolactone",-3.94192864495181,0.01,"24_0.1-0","mevalonolactone"
"N-acetyl-cadaverine",-2.70049438724523,0.009,"24_0.1-0","N-acetyl-cadaverine"
"N-acetyl-glucosamine 1-phosphate",-1.83654380172153,0.000581,"24_0.1-0","N-acetyl-glucosamine 1-phosphate"
"N-acetylarginine",-2.35122670403127,0.046,"24_0.1-0","N-acetylarginine"
"N-acetylaspartate (NAA)",-0.848951024891358,0.00012,"24_0.1-0","N-acetylaspartate (NAA)"
"N-acetylcitrulline",-2.9318697408597,0.000497,"24_0.1-0","N-acetylcitrulline"
"N-acetylcysteine",0.753972882428992,1.51e-05,"24_0.1-0","N-acetylcysteine"
"N-acetylglutamine",1.37362107241193,2.86e-06,"24_0.1-0","N-acetylglutamine"
"N-acetylglycine",-2.02514846197485,0.024,"24_0.1-0","N-acetylglycine"
"N-acetylhistidine",-2.16658919013521,3.13e-08,"24_0.1-0","N-acetylhistidine"
"N-acetylisoleucine",-2.2393841882059,3.82e-10,"24_0.1-0","N-acetylisoleucine"
"N-acetylleucine",-1.99859793530737,8.16e-11,"24_0.1-0","N-acetylleucine"
"N-acetylmethionine",-9.53546204271112,6.5e-09,"24_0.1-0","N-acetylmethionine"
"N-acetylmethionine sulfoxide",-4.25332695944886,4.77e-05,"24_0.1-0","N-acetylmethionine sulfoxide"
"N-acetylneuraminate",2.85264041954432,0.147,"24_0.1-0","N-acetylneuraminate"
"N-acetylphenylalanine",-2.02141696792177,3.03e-08,"24_0.1-0","N-acetylphenylalanine"
"N-acetylproline",0.298576684466718,0.815,"24_0.1-0","N-acetylproline"
"N-acetylputrescine",-2.49118989679711,0.015,"24_0.1-0","N-acetylputrescine"
"N-acetylserine",-3.76921010921474,0.001,"24_0.1-0","N-acetylserine"
"N-acetylthreonine",-2.45436868141248,1.72e-10,"24_0.1-0","N-acetylthreonine"
"N-acetyltryptophan",-2.41071607578699,2.61e-10,"24_0.1-0","N-acetyltryptophan"
"N-acetyltyrosine",-3.1148282365755,4.13e-05,"24_0.1-0","N-acetyltyrosine"
"N-acetylvaline",-2.38750551874712,1.44e-11,"24_0.1-0","N-acetylvaline"
"N-alpha-acetylornithine",-0.542505364729588,0.484,"24_0.1-0","N-alpha-acetylornithine"
"N-carbamoylalanine",0.645310840060422,0.193,"24_0.1-0","N-carbamoylalanine"
"N-carbamoylaspartate",0.0239789086442591,2.69e-07,"24_0.1-0","N-carbamoylaspartate"
"N-carbamoylserine",-2.11508149318004,4.16e-06,"24_0.1-0","N-carbamoylserine"
"N-delta-acetylornithine",-2.55124039094814,0.013,"24_0.1-0","N-delta-acetylornithine"
"N-formylanthranilic acid",-4.74419759337688,0.111,"24_0.1-0","N-formylanthranilic acid"
"N-formylmethionine",4.24532789201834,0.742,"24_0.1-0","N-formylmethionine"
"N-formylphenylalanine",-1.71808238938841,0.079,"24_0.1-0","N-formylphenylalanine"
"N-methylalanine",-0.314718261957454,0.02,"24_0.1-0","N-methylalanine"
"N-monomethylarginine",-1.84084505041737,8.74e-05,"24_0.1-0","N-monomethylarginine"
"N,N,N-trimethyl-5-aminovalerate",-4.09101206999394,0.000715,"24_0.1-0","N,N,N-trimethyl-5-aminovalerate"
"N2-acetyllysine",-1.64061678665764,5.13e-06,"24_0.1-0","N2-acetyllysine"
"N6-acetyllysine",-0.816613135343664,0.016,"24_0.1-0","N6-acetyllysine"
"N6-carboxymethyllysine",3.54577841671269,0.00018,"24_0.1-0","N6-carboxymethyllysine"
"N6-succinyladenosine",1.72740725013627,0.578,"24_0.1-0","N6-succinyladenosine"
"N6,N6,N6-trimethyllysine",-3.01347743788432,0.033,"24_0.1-0","N6,N6,N6-trimethyllysine"
"nicotinamide adenine dinucleotide (NAD+)",0.162741509732803,2e-05,"24_0.1-0","nicotinamide adenine dinucleotide (NAD+)"
"nicotinamide ribonucleotide (NMN)",2.61761058660936,3.15e-05,"24_0.1-0","nicotinamide ribonucleotide (NMN)"
"nicotinate ribonucleoside",-1.41476035128033,5.96e-05,"24_0.1-0","nicotinate ribonucleoside"
"O-acetylhomoserine",-0.808318939171601,4.71e-05,"24_0.1-0","O-acetylhomoserine"
"o-Tyrosine",-2.32549662980801,1.1e-05,"24_0.1-0","o-Tyrosine"
"ophthalmate",-1.33775005429947,0.009,"24_0.1-0","ophthalmate"
"ornithine",-2.91630777790248,0.002,"24_0.1-0","ornithine"
"orotate",-0.0769186246551132,3.64e-06,"24_0.1-0","orotate"
"pantothenate",-3.38037495015354,0.02,"24_0.1-0","pantothenate"
"phenethylamine",5.35317090643733,0.209,"24_0.1-0","phenethylamine"
"phenol sulfate",-0.832574706947346,0.286,"24_0.1-0","phenol sulfate"
"phenylacetate",-3.66041859561475,2.13e-07,"24_0.1-0","phenylacetate"
"phenylalanylalanine",-0.173316999621569,0.952,"24_0.1-0","phenylalanylalanine"
"phenylalanylglycine",-0.248307115546807,0.000132,"24_0.1-0","phenylalanylglycine"
"phenyllactate (PLA)",-1.97083700487477,2.81e-05,"24_0.1-0","phenyllactate (PLA)"
"phenylpyruvate",-0.389990598171821,0.496,"24_0.1-0","phenylpyruvate"
"phosphate",-0.608578412421892,0.305,"24_0.1-0","phosphate"
"phosphoenolpyruvate (PEP)",1.00308147221946,1.31e-11,"24_0.1-0","phosphoenolpyruvate (PEP)"
"phosphoethanolamine",-0.202770324268173,0.005,"24_0.1-0","phosphoethanolamine"
"pimelate (C7-DC)",-0.431790592652127,0.034,"24_0.1-0","pimelate (C7-DC)"
"pipecolate",-4.9124058032358,0.00026,"24_0.1-0","pipecolate"
"proline",1.16347641673078,5.98e-13,"24_0.1-0","proline"
"putrescine",-0.33517523074883,0.006,"24_0.1-0","putrescine"
"pyridoxate",-4.30028215243324,0.006,"24_0.1-0","pyridoxate"
"pyroglutamine*",-1.56527761790771,0.000358,"24_0.1-0","pyroglutamine*"
"pyrraline",-0.881300326438857,0.028,"24_0.1-0","pyrraline"
"pyruvate",0.478528496354614,1.69e-05,"24_0.1-0","pyruvate"
"quinolinate",-1.83235515260695,1.26e-07,"24_0.1-0","quinolinate"
"ribitol",-0.915766600460639,0.012,"24_0.1-0","ribitol"
"riboflavin (Vitamin B2)",1.24353033927705,0.004,"24_0.1-0","riboflavin (Vitamin B2)"
"ribonate",-0.659245488180519,0.153,"24_0.1-0","ribonate"
"ribose",-2.69794820317734,8.11e-05,"24_0.1-0","ribose"
"ribulose/xylulose",-1.20167612777437,0.014,"24_0.1-0","ribulose/xylulose"
"S-adenosylhomocysteine (SAH)",-1.97598995036962,0.267,"24_0.1-0","S-adenosylhomocysteine (SAH)"
"S-methylcysteine",-1.33217060839667,1.38e-05,"24_0.1-0","S-methylcysteine"
"saccharopine",-0.0246696928859687,0.004,"24_0.1-0","saccharopine"
"salicylate",-1.3601106607382,0.012,"24_0.1-0","salicylate"
"sebacate (C10-DC)",1.33303292233656,8.86e-06,"24_0.1-0","sebacate (C10-DC)"
"sedoheptulose",-1.22355893154663,0.004,"24_0.1-0","sedoheptulose"
"serine",-2.36626329705731,0,"24_0.1-0","serine"
"succinate",-0.700211372302797,0.005,"24_0.1-0","succinate"
"sulfate*",-6.08357855455544,4.94e-05,"24_0.1-0","sulfate*"
"thioproline",0.128282455879693,0.005,"24_0.1-0","thioproline"
"threonine",-2.73501373372696,3.03e-07,"24_0.1-0","threonine"
"threonylphenylalanine",-0.0841278867676218,3.09e-10,"24_0.1-0","threonylphenylalanine"
"thymidine",-2.11556898693026,0.000223,"24_0.1-0","thymidine"
"thymine",-1.8423343532431,1.99e-05,"24_0.1-0","thymine"
"trans-nonadecenoate (tr 19:1)*",1.69888215948655,1.47e-10,"24_0.1-0","trans-nonadecenoate (tr 19:1)*"
"trans-urocanate",0.658841793887512,1.33e-07,"24_0.1-0","trans-urocanate"
"trehalose",2.94409563616059,5.41e-10,"24_0.1-0","trehalose"
"trehalose 6-phosphate",-0.649371829193617,0.035,"24_0.1-0","trehalose 6-phosphate"
"tryptamine",-1.14494190779608,0.227,"24_0.1-0","tryptamine"
"tryptophylglycine",-1.53940789947087,5.48e-07,"24_0.1-0","tryptophylglycine"
"tyramine",-2.54530341473038,0.01,"24_0.1-0","tyramine"
"tyrosine",-6.75377932637396,0.73,"24_0.1-0","tyrosine"
"tyrosol",-2.54669685068197,0.889,"24_0.1-0","tyrosol"
"tyrosylglycine",-1.83007343652285,0.000246,"24_0.1-0","tyrosylglycine"
"uracil",5.0631813022493,0.005,"24_0.1-0","uracil"
"urea",-2.17339285649431,8.12e-08,"24_0.1-0","urea"
"uridine-2',3'-cyclic monophosphate",-0.222830347768799,0.143,"24_0.1-0","uridine-2',3'-cyclic monophosphate"
"uridine 2'-monophosphate (2'-UMP)*",-1.59109425253183,0.248,"24_0.1-0","uridine 2'-monophosphate (2'-UMP)*"
"uridine 3'-monophosphate (3'-UMP)",-0.942557108299809,0.018,"24_0.1-0","uridine 3'-monophosphate (3'-UMP)"
"valine",-0.510274021075686,0.995,"24_0.1-0","valine"
"valylglutamine",0.701735219413323,0.000147,"24_0.1-0","valylglutamine"
"valylleucine",0.781707670087191,9.27e-05,"24_0.1-0","valylleucine"
"xanthine",0.461123414582035,9.97e-05,"24_0.1-0","xanthine"
"(3'-5')-cytidylyladenosine1",-0.33527213826976,0.372,"24_10-0","(3'-5')-cytidylyladenosine"
"(3'-5')-cytidylyluridine*1",-1.95649909458488,0.719,"24_10-0","(3'-5')-cytidylyluridine*"
"1-carboxyethylisoleucine1",-1.50467526307277,2.65e-07,"24_10-0","1-carboxyethylisoleucine"
"1-carboxyethylleucine1",-3.28385040956002,4.39e-06,"24_10-0","1-carboxyethylleucine"
"1-carboxyethylphenylalanine1",-0.0739692471762066,1.45e-08,"24_10-0","1-carboxyethylphenylalanine"
"1-carboxyethyltyrosine1",0.8090483952016,0.004,"24_10-0","1-carboxyethyltyrosine"
"1-carboxyethylvaline1",-2.08199091078381,3e-04,"24_10-0","1-carboxyethylvaline"
"1-methyl-beta-carboline-3-carboxylic acid1",1.33851704871023,0.013,"24_10-0","1-methyl-beta-carboline-3-carboxylic acid"
"1-palmitoyl-2-oleoyl-GPE (16:0/18:1)1",4.75373882162272,0.000567,"24_10-0","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)"
"1,5-anhydroglucitol (1,5-AG)1",-1.44716299728617,0.000671,"24_10-0","1,5-anhydroglucitol (1,5-AG)"
"10-undecenoate (11:1n1)1",-1.42798564893222,0.394,"24_10-0","10-undecenoate (11:1n1)"
"2'-deoxycytidine1",1.51708742777357,0.00024,"24_10-0","2'-deoxycytidine"
"2'-deoxycytidine 5'-monophosphate1",6.13439096639325,0.141,"24_10-0","2'-deoxycytidine 5'-monophosphate"
"2'-deoxyuridine1",-0.296368158959524,2.03e-05,"24_10-0","2'-deoxyuridine"
"2'-O-methyluridine1",-0.271232848919655,3.92e-06,"24_10-0","2'-O-methyluridine"
"2-aminoadipate1",-2.88780751234167,0.008,"24_10-0","2-aminoadipate"
"2-heptyl-1H-quinolin-4-one (HHQ)1",0.317679888145222,4.82e-06,"24_10-0","2-heptyl-1H-quinolin-4-one (HHQ)"
"2-hydroxy-3-methylvalerate1",-0.944013550200251,0.003,"24_10-0","2-hydroxy-3-methylvalerate"
"2-hydroxyphenylacetate1",-1.41750691527506,0.009,"24_10-0","2-hydroxyphenylacetate"
"2-keto-3-deoxy-gluconate1",-3.25178918996302,0.005,"24_10-0","2-keto-3-deoxy-gluconate"
"2-ketogluconate1",-0.284195057146866,0.936,"24_10-0","2-ketogluconate"
"2-methylcitrate/homocitrate1",-2.686267491204,0.009,"24_10-0","2-methylcitrate/homocitrate"
"2-methylserine1",-3.28169801464719,0.000227,"24_10-0","2-methylserine"
"2-oxoarginine*1",-0.16623609495488,0.000579,"24_10-0","2-oxoarginine*"
"2-piperidinone1",0.11177622872966,0.000601,"24_10-0","2-piperidinone"
"2,4-diaminobutyrate1",-1.65778490857673,4.04e-05,"24_10-0","2,4-diaminobutyrate"
"3-(4-hydroxyphenyl)lactate1",-1.52516435058859,2.54e-10,"24_10-0","3-(4-hydroxyphenyl)lactate"
"3-ethylphenylsulfate1",5.06996349943824,0.052,"24_10-0","3-ethylphenylsulfate"
"3-hydroxy-2-ethylpropionate1",-3.969509282189,0.000327,"24_10-0","3-hydroxy-2-ethylpropionate"
"3-hydroxy-3-methylglutarate1",0.339976795244656,0.023,"24_10-0","3-hydroxy-3-methylglutarate"
"3-hydroxydecanoate1",-0.0669610435126492,1.39e-08,"24_10-0","3-hydroxydecanoate"
"3-hydroxyhexanoate1",-1.61033666875858,0.31,"24_10-0","3-hydroxyhexanoate"
"3-hydroxyisobutyrate1",-1.98063586511341,8.5e-05,"24_10-0","3-hydroxyisobutyrate"
"3-hydroxylaurate1",-0.887250329317198,0.000118,"24_10-0","3-hydroxylaurate"
"3-methyl-2-oxobutyrate1",-2.67415125333148,0.108,"24_10-0","3-methyl-2-oxobutyrate"
"3-methyl-2-oxovalerate1",-2.96762871093488,2.91e-05,"24_10-0","3-methyl-2-oxovalerate"
