"","log2FC","p","condition","metab"
"guanosine 3'-monophosphate (3'-GMP)",1.33630908012643,0.432,"untreated_24-0","guanosine 3'-monophosphate (3'-GMP)"
"gulonate*",2.19074222268292,0.000202,"untreated_24-0","gulonate*"
"hippurate",1.32435619195908,0.000196,"untreated_24-0","hippurate"
"histamine",-0.443403475736191,0.232,"untreated_24-0","histamine"
"histidine",2.99901081839315,0.901,"untreated_24-0","histidine"
"histidinol",1.4067683610875,0.021,"untreated_24-0","histidinol"
"histidylalanine",5.20247778549644,2.58e-07,"untreated_24-0","histidylalanine"
"homoserine",1.98162544906451,0.439,"untreated_24-0","homoserine"
"indoleacetate",2.96991618323149,0.889,"untreated_24-0","indoleacetate"
"isoleucine",2.39626306494484,0.005,"untreated_24-0","isoleucine"
"isoleucylglycine",2.33338240232293,0.002,"untreated_24-0","isoleucylglycine"
"isovalerate (i5:0)",3.86268777657914,0.343,"untreated_24-0","isovalerate (i5:0)"
"kynurenate",3.31587427273945,0.569,"untreated_24-0","kynurenate"
"leucine",2.65057374233044,0.000181,"untreated_24-0","leucine"
"leucylglycine",1.36744241075227,0.003,"untreated_24-0","leucylglycine"
"lysine",2.73879804016583,0.000642,"untreated_24-0","lysine"
"lysylleucine",2.23113941826182,0.028,"untreated_24-0","lysylleucine"
"malate",3.17403943567987,0.829,"untreated_24-0","malate"
"maleate",-5.83352238688733,0.004,"untreated_24-0","maleate"
"methionine",-0.155845424040583,0.015,"untreated_24-0","methionine"
"methylmalonate (MMA)",1.05474758254384,0.121,"untreated_24-0","methylmalonate (MMA)"
"methylsuccinate",-0.565487430634452,0.826,"untreated_24-0","methylsuccinate"
"mevalonate",-0.379977413187397,0.004,"untreated_24-0","mevalonate"
"N-acetyl-cadaverine",2.50251834309023,0.374,"untreated_24-0","N-acetyl-cadaverine"
"N-acetylalanine",0.109559860467465,0.000852,"untreated_24-0","N-acetylalanine"
"N-acetylarginine",1.60021381470602,0.089,"untreated_24-0","N-acetylarginine"
"N-acetylaspartate (NAA)",4.30568676378738,0.246,"untreated_24-0","N-acetylaspartate (NAA)"
"N-acetylcitrulline",1.46900784332198,0.177,"untreated_24-0","N-acetylcitrulline"
"N-acetylglutamine",0.0413588781083715,0.578,"untreated_24-0","N-acetylglutamine"
"N-acetylglycine",3.42255988415866,0.532,"untreated_24-0","N-acetylglycine"
"N-acetylhistidine",1.32192757464866,0.026,"untreated_24-0","N-acetylhistidine"
"N-acetylisoleucine",3.11437208267239,0.027,"untreated_24-0","N-acetylisoleucine"
"N-acetylleucine",3.61873855234688,0.331,"untreated_24-0","N-acetylleucine"
"N-acetylmethionine",2.41862051702383,0.017,"untreated_24-0","N-acetylmethionine"
"N-acetylmethionine sulfoxide",1.89967334635245,0.983,"untreated_24-0","N-acetylmethionine sulfoxide"
"N-acetylphenylalanine",3.36957477240736,0.116,"untreated_24-0","N-acetylphenylalanine"
"N-acetylputrescine",2.01738069826895,0.303,"untreated_24-0","N-acetylputrescine"
"N-acetylserine",2.70870524305202,0.198,"untreated_24-0","N-acetylserine"
"N-acetylthreonine",3.33047207037817,0.002,"untreated_24-0","N-acetylthreonine"
"N-acetyltryptophan",2.85477533244259,0.191,"untreated_24-0","N-acetyltryptophan"
"N-acetyltyrosine",4.09051234886013,0.997,"untreated_24-0","N-acetyltyrosine"
"N-acetylvaline",2.83897250604718,0.002,"untreated_24-0","N-acetylvaline"
