	rxn01451	rxn10125	rJB00270	rJB00264	rxn08094	rxn01802	rxn00183	rxn13895	rxn00184	rxn05312	rxn05318	rxn00256	rJB00267	rxn00285	rxn00974	rxn05307	rxn00165	rxn01639	rxn05158	rxn00615	rxn05209	rxn00148	rxn05229	rxn05654	rxn10042	rxn12788	rxn05221	rxn00250	rxn02167	rxn00134	rxn05559	rxn00374	rxn05581	rxn13889	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	rxn10053	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00129_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	rxn13837	rxn01730	EX_cpd00331_e	EX_cpd00581_e	ATPM	rxn06043	EX_cpd00047_e	EX_cpd00379_e	rxn00178	DM_cpd00002_c
10	-90.12555940452518	-153.30517293635012	36.233667659124706	342.84401353182494	153.30517293635012	-90.12555940452518	126.35922706364988	126.35922706364988	153.30517293635012	1000.0	551.62717293635	180.25111880905035	379.07768119094965	-153.30517293635012	-180.25111880905035	-180.25111880905035	-180.25111880905035	26.945945872700236	654.8815188090504	-1000.0	-126.35922706364988	551.62717293635	-371.37605412729965	-153.30517293635012	342.84401353182494	180.25111880905035	126.35922706364988	371.37605412729965	90.12555940452518	551.62717293635	-26.945945872700236	26.945945872700236	1000.0	-708.7734105544506	551.62717293635	26.945945872700236	26.945945872700236	-26.945945872700236	345.11848119094964	371.37605412729965	-243.4307323408753	-366.84661650919895	189.53884059547482	-551.62717293635	243.4307323408753	1000.0	-1000.0	366.84661650919895	-126.35922706364988	180.25111880905035	-189.53884059547482	-654.8815188090504	153.30517293635012	-90.12555940452518	-90.12555940452518	-180.25111880905035	-26.945945872700236	8.39	708.7734105544506	26.945945872700236	90.12555940452518	90.12555940452518	551.6271729363502
11	-104.63833821642774	-162.98035881095186	12.045702972620404	338.0064205945241	162.98035881095186	-104.63833821642774	116.68404118904814	116.68404118904814	162.98035881095186	1000.0	561.3023588109518	209.27667643285548	350.0521235671445	-162.98035881095186	-209.27667643285548	-209.27667643285548	-209.27667643285548	46.296317621903626	683.9070764328554	-1000.0	-116.68404118904814	561.3023588109518	-352.0256823780963	-162.98035881095186	338.0064205945241	209.27667643285548	116.68404118904814	352.0256823780963	104.63833821642774	561.3023588109518	-46.296317621903626	46.296317621903626	1000.0	-776.499711676663	561.3023588109518	46.296317621903626	46.296317621903626	-46.296317621903626	316.09292356714457	352.0256823780963	-267.61869702737954	-289.44512951238545	175.02606178357226	-561.3023588109518	267.61869702737954	1000.0	-1000.0	289.44512951238545	-116.68404118904814	209.27667643285548	-175.02606178357226	-683.9070764328554	162.98035881095186	-104.63833821642774	-104.63833821642774	-209.27667643285548	-46.296317621903626	8.39	776.499711676663	46.296317621903626	104.63833821642774	104.63833821642774	561.3023588109519
12	-76.39101712302347	-144.148811415349	59.12457146162751	347.42219429232557	144.148811415349	-76.39101712302347	135.51558858465106	135.51558858465106	144.148811415349	1000.0	542.470811415349	152.78203424604695	406.5467657539531	-144.148811415349	-152.78203424604695	-152.78203424604695	-152.78203424604695	8.633222830697957	627.412434246047	-1000.0	-135.51558858465106	542.470811415349	-389.68877716930206	-144.148811415349	347.42219429232557	152.78203424604695	135.51558858465106	389.68877716930206	76.39101712302347	542.470811415349	-8.633222830697957	8.633222830697957	1000.0	-644.6788799074428	542.470811415349	8.633222830697957	8.633222830697957	-8.633222830697957	372.58756575395296	389.68877716930206	-220.5398285383725	-440.0975086772082	203.27338287697654	-542.470811415349	220.5398285383725	1000.0	-1000.0	440.0975086772082	-135.51558858465106	152.78203424604695	-203.27338287697654	-627.412434246047	144.148811415349	-76.39101712302347	-76.39101712302347	-152.78203424604695	-8.633222830697957	8.39	644.6788799074428	8.633222830697957	76.39101712302347	76.39101712302347	542.470811415349
13	-58.484369822154825	-116.96873964430965	58.484369822154825	292.42184911077413	116.96873964430965	-58.484369822154825	116.96873964430965	116.96873964430965	116.96873964430965	809.4711637025805	477.1849723848257	116.96873964430965	350.906218932929	-116.96873964430965	-116.96873964430965	-116.96873964430965	-116.96873964430965	0.0	622.0837534518968	-1000.0	-116.96873964430965	477.1849723848257	-360.21623274051603	-116.96873964430965	292.42184911077413	116.96873964430965	116.96873964430965	360.21623274051603	58.484369822154825	477.1849723848257	0.0	0.0	1000.0	-431.554917154477	477.1849723848257	0.0	0.0	0.0	377.91624654810323	360.21623274051603	-175.45310946646453	-314.58617751016754	175.4531094664645	-477.1849723848257	175.45310946646453	1000.0	-1000.0	314.58617751016754	-116.96873964430965	116.96873964430965	-175.4531094664645	-431.55491715447727	116.96873964430965	-58.484369822154825	-58.484369822154825	-116.96873964430965	0.0	8.39	431.554917154477	0.0	58.484369822154825	58.484369822154825	477.18497238482587
14	-62.88459724687627	-112.12452592708391	35.59526011353904	259.8443119677068	112.12452592708391	-62.88459724687627	98.47985736041528	98.47985736041528	112.12452592708391	712.24993036458	452.8965119999999	125.76919449375254	295.43957208124584	-112.12452592708391	-125.76919449375254	-125.76919449375254	-125.76919449375254	13.644668566668628	646.4396056354198	-1000.0	-98.47985736041528	452.8965119999999	-327.1273175062474	-112.12452592708391	259.8443119677068	125.76919449375254	98.47985736041528	327.1273175062474	62.88459724687627	452.8965119999999	-13.644668566668628	13.644668566668628	1000.0	-385.9788731333365	452.8965119999999	13.644668566668628	13.644668566668628	-13.644668566668628	353.56039436458025	327.1273175062474	-175.00912317396023	-178.3416672395726	147.71978604062292	-452.8965119999999	175.00912317396023	1000.0	-1000.0	178.3416672395726	-98.47985736041528	125.76919449375254	-147.71978604062292	-358.68953599999975	112.12452592708391	-62.88459724687627	-62.88459724687627	-125.76919449375254	-13.644668566668628	8.39	385.9788731333365	13.644668566668628	62.88459724687627	62.88459724687627	452.8965119999999
15	-67.22526226900845	-134.4505245380169	67.22526226900845	336.12631134504227	134.4505245380169	-67.22526226900845	134.4505245380169	134.4505245380169	134.4505245380169	955.1527044834739	523.8030654347117	134.4505245380169	403.3515736140507	-134.4505245380169	-134.4505245380169	-134.4505245380169	-134.4505245380169	0.0	616.2564918206612	-1000.0	-134.4505245380169	523.8030654347117	-389.3525408966948	-134.4505245380169	336.12631134504227	134.4505245380169	134.4505245380169	389.3525408966948	67.22526226900845	523.8030654347117	0.0	0.0	1000.0	-571.4091963041357	523.8030654347117	0.0	0.0	0.0	383.74350817933885	389.3525408966948	-201.67578680702536	-436.9586717661183	201.67578680702536	-523.8030654347117	201.67578680702536	1000.0	-1000.0	436.9586717661183	-134.4505245380169	134.4505245380169	-201.67578680702536	-571.4091963041351	134.4505245380169	-67.22526226900845	-67.22526226900845	-134.4505245380169	0.0	8.39	571.4091963041357	0.0	67.22526226900845	67.22526226900845	523.8030654347117
16	-67.97714302994724	-135.9542860598945	67.97714302994729	339.88571514973626	135.9542860598945	-67.97714302994724	135.9542860598945	135.9542860598945	135.9542860598945	1000.0	495.4971466588395	135.95428605989449	407.86285817968354	-135.9542860598945	-135.95428605989449	-135.9542860598945	-135.9542860598945	0.0	486.4914399765182	-806.1043029947245	-135.9542860598945	495.4971466588395	-359.54286059894497	-135.9542860598945	339.88571514973626	135.95428605989449	135.9542860598945	359.54286059894497	67.97714302994724	495.4971466588395	0.0	0.0	806.1043029947245	-680.3871369817941	495.4971466588395	0.0	0.0	0.0	319.6128630182063	359.54286059894497	-203.9314290898418	-544.4328509218993	203.93142908984177	-495.4971466588395	203.9314290898418	806.1043029947245	-806.1043029947245	544.4328509218993	-135.9542860598945	135.9542860598945	-203.93142908984177	-680.3871369817937	135.9542860598945	-67.97714302994724	-67.97714302994724	-135.95428605989449	0.0	8.39	680.3871369817941	0.0	67.97714302994724	67.97714302994724	495.49714665883937
17	-69.2637757015778	-138.5275514031556	69.2637757015778	346.318878507889	138.5275514031556	-69.2637757015778	138.5275514031556	138.5275514031556	138.5275514031556	1000.0	523.8030654347117	138.5275514031556	415.5826542094668	-138.5275514031556	-138.5275514031556	-138.5275514031556	-138.5275514031556	0.0	571.409196304135	-934.7675701577805	-138.5275514031556	523.8030654347117	-385.2755140315561	-138.5275514031556	346.318878507889	138.5275514031556	138.5275514031556	385.2755140315561	69.2637757015778	523.8030654347117	0.0	0.0	934.7675701577805	-636.6416261463542	523.8030654347117	0.0	0.0	0.0	363.3583738536455	385.2755140315561	-207.7913271047334	-498.1140747431991	207.7913271047334	-523.8030654347117	207.7913271047334	934.7675701577805	-934.7675701577805	498.1140747431991	-138.5275514031556	138.5275514031556	-207.7913271047334	-636.6416261463545	138.5275514031556	-69.2637757015778	-69.2637757015778	-138.5275514031556	0.0	8.39	636.6416261463542	0.0	69.2637757015778	69.2637757015778	523.8030654347117
18	-66.67227345826997	-133.34454691653994	66.67227345827001	333.36136729134984	133.34454691653994	-66.67227345826997	133.34454691653994	133.34454691653994	133.34454691653994	1000.0	466.79001608193926	133.34454691653994	400.03364074961985	-133.34454691653994	-133.34454691653994	-133.34454691653994	-133.34454691653994	0.0	400.3700482458178	-675.6173458269968	-133.34454691653994	466.79001608193926	-333.44546916539935	-133.34454691653994	333.36136729134984	133.34454691653994	133.34454691653994	333.44546916539935	66.67227345826997	466.79001608193926	0.0	0.0	675.6173458269968	-724.752702418821	466.79001608193926	0.0	0.0	0.0	275.247297581179	333.44546916539935	-200.01682037480987	-591.4081555022811	200.01682037480992	-466.79001608193926	200.01682037480987	675.6173458269968	-675.6173458269968	591.4081555022811	-133.34454691653994	133.34454691653994	-200.01682037480992	-724.752702418821	133.34454691653994	-66.67227345826997	-66.67227345826997	-133.34454691653994	0.0	8.39	724.752702418821	0.0	66.67227345826997	66.67227345826997	466.7900160819394
19	-100.89345848132483	-151.34018772198726	0.0	302.6803754439745	151.34018772198726	-100.89345848132483	100.89345848132483	100.89345848132483	151.34018772198726	959.6119067385479	452.8965119999999	201.78691696264966	302.6803754439745	-151.34018772198726	-201.78691696264966	-201.78691696264968	-201.78691696264968	50.446729240662435	399.077629261452	-556.5597146515155	-100.89345848132483	452.8965119999999	-251.10959503735026	-151.34018772198726	302.6803754439745	201.78691696264966	100.89345848132483	251.10959503735026	100.89345848132483	452.8965119999999	-50.446729240662435	50.446729240662435	556.5597146515155	-903.0232798298093	452.8965119999999	50.446729240662435	50.446729240662435	-50.446729240662435	157.4820853900635	251.10959503735026	-252.2336462033121	-398.5559874231849	151.34018772198726	-452.8965119999999	252.2336462033121	556.5597146515155	-556.5597146515155	398.5559874231849	-100.89345848132483	201.78691696264968	-151.34018772198726	-802.1298213484844	151.34018772198726	-100.89345848132483	-100.89345848132483	-201.78691696264966	-50.446729240662435	8.39	903.0232798298093	50.446729240662435	100.89345848132483	100.89345848132483	452.8965119999999
20	-92.14107948501052	-138.2116192275158	0.0	276.4232384550316	138.2116192275158	-92.14107948501052	92.14107948501052	92.14107948501052	138.2116192275158	794.5345779688597	495.4405348212877	184.28215897002104	276.4232384550316	-138.2116192275158	-184.28215897002104	-184.28215897002107	-184.28215897002107	46.070539742505275	691.7870264950036	-1000.0	-92.14107948501052	495.4405348212877	-311.15837585126667	-138.2116192275158	276.4232384550316	184.28215897002104	92.14107948501052	311.15837585126667	92.14107948501052	495.4405348212877	-46.070539742505275	46.070539742505275	1000.0	-578.462683948874	495.4405348212877	46.070539742505275	46.070539742505275	-46.070539742505275	308.2129735049964	311.15837585126667	-230.35269871252635	-117.75728652382088	138.2116192275158	-495.4405348212877	230.35269871252635	1000.0	-1000.0	117.75728652382088	-92.14107948501052	184.28215897002107	-138.2116192275158	-486.3216044638633	138.2116192275158	-92.14107948501052	-92.14107948501052	-184.28215897002104	-46.070539742505275	8.39	578.462683948874	46.070539742505275	92.14107948501052	92.14107948501052	495.4405348212877
21	-83.43520335134164	-125.15280502701246	0.0	250.30561005402492	125.15280502701246	-83.43520335134164	83.43520335134164	83.43520335134164	125.15280502701246	703.8483682431421	464.2444786756409	166.87040670268328	250.30561005402492	-125.15280502701246	-166.87040670268328	-166.87040670268328	-166.87040670268328	41.71760167567082	688.8850677837805	-1000.0	-83.43520335134164	464.2444786756409	-297.3740719729576	-125.15280502701246	250.30561005402492	166.87040670268328	83.43520335134164	297.3740719729576	83.43520335134164	464.2444786756409	-41.71760167567082	41.71760167567082	1000.0	-476.1686393782642	464.2444786756409	41.71760167567082	41.71760167567082	-41.71760167567082	311.1149322162195	297.3740719729576	-208.58800837835412	-58.992622621555995	125.15280502701246	-464.2444786756409	208.58800837835412	1000.0	-1000.0	58.992622621555995	-83.43520335134164	166.87040670268328	-125.15280502701246	-392.7334360269226	125.15280502701246	-83.43520335134164	-83.43520335134164	-166.87040670268328	-41.71760167567082	8.39	476.1686393782642	41.71760167567082	83.43520335134164	83.43520335134164	464.244478675641
22	-103.60181574225385	-155.40272361338086	0.0	310.8054472267617	155.40272361338086	-103.60181574225385	103.60181574225385	103.60181574225385	155.40272361338086	913.917247315145	536.5081730764098	207.2036314845077	310.8054472267617	-155.40272361338086	-207.2036314845077	-207.20363148450787	-207.20363148450787	51.80090787112701	695.6072719140843	-1000.0	-103.60181574225385	536.5081730764098	-329.3045415919021	-155.40272361338086	310.8054472267617	207.2036314845077	103.60181574225385	329.3045415919021	103.60181574225385	536.5081730764098	-51.80090787112701	51.80090787112701	1000.0	-713.1263349714834	536.5081730764098	51.80090787112701	51.80090787112701	-51.80090787112701	304.3927280859157	329.3045415919021	-259.00453935563473	-195.11725626021382	155.40272361338086	-536.5081730764098	259.00453935563473	1000.0	-1000.0	195.11725626021382	-103.60181574225385	207.20363148450787	-155.40272361338086	-609.5245192292293	155.40272361338086	-103.60181574225385	-103.60181574225385	-207.2036314845077	-51.80090787112701	8.39	713.1263349714834	51.80090787112701	103.60181574225385	103.60181574225385	536.50817307641
23	-86.49010831214358	-150.8815388747624	42.29275281309403	344.05583056261884	150.8815388747624	-86.49010831214358	128.78286112523762	128.78286112523762	150.8815388747624	1000.0	549.2035388747624	172.98021662428715	386.34858337571285	-150.8815388747624	-172.98021662428715	-172.98021662428715	-172.98021662428715	22.09867774952474	647.6106166242872	-1000.0	-128.78286112523762	549.2035388747624	-376.2233222504753	-150.8815388747624	344.05583056261884	172.98021662428715	128.78286112523762	376.2233222504753	86.49010831214358	549.2035388747624	-22.09867774952474	22.09867774952474	1000.0	-691.8079721233373	549.2035388747624	22.09867774952474	22.09867774952474	-22.09867774952474	352.3893833757128	376.2233222504753	-237.37164718690596	-386.235689001901	193.17429168785642	-549.2035388747624	237.37164718690596	1000.0	-1000.0	386.235689001901	-128.78286112523762	172.98021662428715	-193.17429168785642	-647.6106166242872	150.8815388747624	-86.49010831214358	-86.49010831214358	-172.98021662428715	-22.09867774952474	8.39	691.8079721233373	22.09867774952474	86.49010831214358	86.49010831214358	549.2035388747622
24	-101.01739990285807	-160.5663999352387	18.080600161903227	339.21340003238066	160.5663999352387	-101.01739990285807	119.0980000647613	119.0980000647613	160.5663999352387	1000.0	558.8883999352387	202.03479980571615	357.2940001942839	-160.5663999352387	-202.03479980571615	-202.03479980571615	-202.03479980571615	41.46839987047744	676.6651998057162	-1000.0	-119.0980000647613	558.8883999352387	-356.85360012952253	-160.5663999352387	339.21340003238066	202.03479980571615	119.0980000647613	356.85360012952253	101.01739990285807	558.8883999352387	-41.46839987047744	41.46839987047744	1000.0	-759.6019995466708	558.8883999352387	41.46839987047744	41.46839987047744	-41.46839987047744	323.33480019428384	356.85360012952253	-261.58379983809675	-308.75680051809024	178.64700009714196	-558.8883999352387	261.58379983809675	1000.0	-1000.0	308.75680051809024	-119.0980000647613	202.03479980571615	-178.64700009714196	-676.6651998057162	160.5663999352387	-101.01739990285807	-101.01739990285807	-202.03479980571615	-41.46839987047744	8.39	759.6019995466708	41.46839987047744	101.01739990285807	101.01739990285807	558.888399935239
