	rxn10158	rxn05312	rxn05318	rxn05561	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
20	-270.58053141266197	532.771062825324	177.59035427510798	270.5805314126619	-363.57070855021595	177.59035427510798	177.59035427510798	177.59035427510798	-177.59035427510798	363.57070855021595	177.59035427510798	363.57070855021595	-169.200354275108	-177.59035427510798	363.57070855021595	-363.57070855021595	-169.20035427510803	169.200354275108	-169.200354275108	8.39	177.59035427510798
21	-473.78726858766186	939.1845371753241	313.06151239177467	473.78726858766186	-634.5130247835493	313.06151239177467	313.06151239177467	313.06151239177467	-313.06151239177467	634.5130247835493	313.06151239177467	634.5130247835493	-304.6715123917747	-313.06151239177467	634.5130247835493	-634.5130247835493	-304.671512391775	304.6715123917747	-304.6715123917747	8.39	313.06151239177467
22	-209.724606087337	411.05921217467403	137.019737391558	209.72460608733695	-282.429474783116	137.019737391558	137.019737391558	137.019737391558	-137.019737391558	282.429474783116	137.019737391558	282.429474783116	-128.62973739155802	-137.019737391558	282.429474783116	-282.429474783116	-128.62973739155802	128.62973739155802	-128.62973739155802	8.39	137.019737391558
23	-453.4749310873369	898.5598621746741	299.5199540582247	453.4749310873369	-607.4299081164494	299.5199540582247	299.5199540582247	299.5199540582247	-299.5199540582247	607.4299081164494	299.5199540582247	607.4299081164494	-291.1299540582247	-299.5199540582247	607.4299081164494	-607.4299081164494	-291.1299540582248	291.1299540582247	-291.1299540582247	8.39	299.5199540582247
24	-412.7688439123368	817.147687824674	272.38256260822465	412.7688439123368	-553.1551252164493	272.38256260822465	272.38256260822465	272.38256260822465	-272.38256260822465	553.1551252164493	272.38256260822465	553.1551252164493	-263.99256260822466	-272.38256260822465	553.1551252164493	-553.1551252164493	-263.9925626082248	263.99256260822466	-263.99256260822466	8.39	272.38256260822465
25	-230.0775682626626	451.7651365253252	150.58837884177507	230.0775682626626	-309.5667576835501	150.58837884177507	150.58837884177507	150.58837884177507	-150.58837884177507	309.5667576835501	150.58837884177507	309.5667576835501	-142.19837884177508	-150.58837884177507	309.5667576835501	-309.5667576835501	-142.19837884177502	142.19837884177508	-142.19837884177508	8.39	150.58837884177507
26	-494.0996060879871	979.8092121759743	326.60307072532476	494.0996060879871	-661.5961414506495	326.60307072532476	326.60307072532476	326.60307072532476	-326.60307072532476	661.5961414506495	326.60307072532476	661.5961414506495	-318.21307072532477	-326.60307072532476	661.5961414506495	-661.5961414506495	-318.21307072532477	318.21307072532477	-318.21307072532477	8.39	326.60307072532476
27	-250.3492810879868	492.30856217597386	164.10285405865795	250.3492810879868	-336.5957081173159	164.10285405865795	164.10285405865795	164.10285405865795	-164.10285405865795	336.5957081173159	164.10285405865795	336.5957081173159	-155.71285405865797	-164.10285405865795	336.5957081173159	-336.5957081173159	-155.71285405865808	155.71285405865797	-155.71285405865794	8.39	164.10285405865795
28	-290.89286891298707	573.395737825974	191.131912608658	290.89286891298707	-390.653825217316	191.131912608658	191.131912608658	191.131912608658	-191.131912608658	390.653825217316	191.131912608658	390.653825217316	-182.74191260865803	-191.131912608658	390.653825217316	-390.653825217316	-182.7419126086579	182.74191260865803	-182.74191260865803	8.39	191.131912608658
29	-311.12411923766206	613.8582384753241	204.61941282510804	311.12411923766206	-417.6288256502161	204.61941282510804	204.61941282510804	204.61941282510804	-204.61941282510804	417.6288256502161	204.61941282510804	417.6288256502161	-196.22941282510806	-204.61941282510804	417.6288256502161	-417.6288256502161	-196.22941282510803	196.22941282510806	-196.22941282510806	8.39	204.61941282510804
