	rxn10125	rxn00779	rxn13726	rxn00781	rxn08094	rxn00184	rxn05312	rxn05318	rxn10113	rJB00267	rxn00285	rxn05307	rxn00165	rxn13681	rxn37440	rxn01639	rxn05158	rxn00615	rxn00148	rxn05654	rxn10042	rxn01100	rxn10474	rxn00250	rxn00134	rxn00102	rxn05559	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
10	-254.17490756614097	169.44993837742732	338.8998767548547	0.0	84.72496918871366	84.72496918871366	716.7387675485465	426.39472269842304	338.8998767548547	169.44993837742732	-84.72496918871366	-169.44993837742732	-169.44993837742732	1000.0	169.44993837742732	84.72496918871366	562.4454005467223	-830.5500616225727	426.39472269842304	-84.72496918871366	338.8998767548547	0.0	-1000.0	256.9447843209957	426.39472269842304	-256.9447843209957	-84.72496918871366	84.72496918871366	830.5500616225727	169.44993837742732	256.9447843209957	-169.44993837742732	84.72496918871366	84.72496918871366	-84.72496918871366	-169.44993837742732	437.55459945327766	-84.72496918871366	-279.1841680952691	254.174907566141	-426.39472269842304	84.72496918871366	830.5500616225727	-1000.0	-109.73422971784169	279.1841680952691	169.44993837742732	-254.174907566141	-279.1841680952689	84.72496918871366	-84.72496918871366	8.39	84.72496918871366	426.394722698423
11	-435.7122120517671	357.26343805608104	313.79509598274416	-200.36589006470894	78.44877399568605	78.44877399568605	1000.0	436.6975959827443	313.79509598274416	156.8975479913721	-78.44877399568605	-156.8975479913721	-156.8975479913721	1000.0	156.8975479913721	78.44877399568605	310.09278794823274	-843.102452008628	436.6975959827443	-78.44877399568605	313.79509598274416	200.36589006470894	-1000.0	279.8000479913722	436.6975959827443	-279.8000479913722	-78.44877399568605	78.44877399568605	843.102452008628	156.8975479913721	279.8000479913722	-156.8975479913721	78.44877399568605	78.44877399568605	-78.44877399568605	-156.8975479913721	689.9072120517673	-78.44877399568605	-310.0927879482328	235.34632198705813	-436.6975959827443	78.44877399568605	843.102452008628	-1000.0	-153.19523995686131	310.09278794823285	156.8975479913721	-235.34632198705813	-310.09278794823274	78.44877399568605	-78.44877399568605	8.39	78.44877399568605	436.69759598274436
12	-190.11997685004144	126.74665123336096	253.49330246672193	0.0	63.37332561668048	63.37332561668048	1000.0	461.69532561668046	253.49330246672193	126.74665123336096	-63.37332561668048	-126.74665123336096	-126.74665123336096	317.6038148003312	126.74665123336096	63.37332561668048	385.08597685004145	-873.2533487666391	461.69532561668046	-63.37332561668048	253.49330246672193	0.0	-317.6038148003312	334.9486743833195	461.69532561668046	-334.9486743833195	-63.37332561668048	63.37332561668048	873.2533487666391	126.74665123336096	334.9486743833195	-126.74665123336096	63.37332561668048	63.37332561668048	-63.37332561668048	-126.74665123336096	614.9140231499586	-63.37332561668046	-385.08597685004156	190.11997685004144	-461.69532561668046	63.37332561668046	873.2533487666391	-1000.0	-258.3393256166802	385.08597685004156	126.74665123336096	-190.11997685004144	-385.08597685004145	63.37332561668048	-63.37332561668048	8.39	63.37332561668048	461.6953256166805
13	-185.7532994989643	110.47990973449808	301.0935590578649	40.06686979443439	75.27338976446623	75.27338976446623	983.9246538461537	327.97488461538455	301.0935590578649	150.54677952893246	-75.27338976446623	-150.54677952893246	-150.54677952893246	1000.0	150.54677952893246	75.27338976446623	0.0	-97.35917108507113	327.97488461538455	-75.27338976446623	301.0935590578649	-40.06686979443439	-1000.0	177.4281050864521	327.97488461538455	-177.4281050864521	-75.27338976446623	75.27338976446623	97.35917108507113	150.54677952893246	177.4281050864521	-150.54677952893246	75.27338976446623	75.27338976446623	-75.27338976446623	-150.54677952893246	247.9059506140036	-75.27338976446623	-736.0187032321503	225.8201692933987	-327.974884615385	75.27338976446623	97.35917108507113	-247.9059506140036	-585.4719237032176	736.0187032321503	150.54677952893246	-225.8201692933987	-736.0187032321501	75.27338976446623	-75.27338976446623	8.39	75.27338976446623	327.9748846153846
14	-349.2024246613226	263.5445017164328	342.63169177955905	-92.22865582665324	85.65792294488979	85.65792294488979	1000.0	465.53419177955914	342.63169177955905	171.31584588977958	-85.65792294488979	-171.31584588977958	-171.31584588977958	1000.0	171.31584588977958	85.65792294488979	396.60257533867735	-828.6841541102204	465.53419177955914	-85.65792294488979	342.63169177955905	92.22865582665324	-1000.0	294.2183458897796	465.53419177955914	-294.2183458897796	-85.65792294488979	85.65792294488979	828.6841541102204	171.31584588977958	294.2183458897796	-171.31584588977958	85.65792294488979	85.65792294488979	-85.65792294488979	-171.31584588977958	603.3974246613227	-85.65792294488978	-396.6025753386773	256.97376883466933	-465.53419177955914	85.65792294488978	828.6841541102204	-1000.0	-225.28672944889797	396.6025753386773	171.31584588977958	-256.97376883466933	-396.60257533867735	85.65792294488979	-85.65792294488979	8.39	85.65792294488979	465.53419177955914
15	-667.9884371689034	608.896015266312	236.36968761036553	-490.7111714611292	59.09242190259139	59.09242190259139	1000.0	359.2721876103655	236.36968761036553	118.18484380518282	-59.09242190259139	-118.18484380518278	-118.18484380518278	1000.0	118.18484380518282	59.09242190259139	77.81656283109665	-881.8151561948172	359.2721876103655	-59.09242190259139	236.36968761036553	490.7111714611292	-1000.0	241.08734380518268	359.2721876103655	-241.08734380518268	-59.09242190259139	59.09242190259139	881.8151561948172	118.18484380518282	241.08734380518268	-118.18484380518282	59.09242190259139	59.09242190259139	-59.09242190259139	-118.18484380518282	922.1834371689033	-59.09242190259141	-77.81656283109663	177.27726570777418	-359.2721876103655	59.09242190259141	881.8151561948172	-1000.0	40.36828097408619	77.81656283109669	118.18484380518278	-177.27726570777418	-77.81656283109665	59.09242190259139	-59.09242190259139	8.39	59.09242190259139	359.27218761036556
16	-433.09979068922115	419.5802335197352	54.078228677943905	-392.54111918076325	13.519557169485976	13.519557169485976	1000.0	333.33333333333337	54.078228677943905	27.039114338971952	-13.519557169485976	-27.039114338971952	-27.039114338971952	-250.82083724311542	27.039114338971952	13.519557169485976	0.0	-972.9608856610281	333.33333333333337	-13.519557169485976	54.078228677943905	392.54111918076325	250.82083724311542	306.2942189943614	333.33333333333337	-306.2942189943614	-13.519557169485976	13.519557169485976	972.9608856610281	27.039114338971952	306.2942189943614	-27.039114338971952	13.519557169485976	13.519557169485976	-13.519557169485976	-27.039114338971952	1000.0	-13.519557169485976	0.0	40.55867150845793	-333.33333333333337	13.519557169485976	972.9608856610281	-1000.0	27.0391143389719	0.0	27.039114338971952	-40.55867150845793	0.0	13.519557169485976	-13.519557169485976	8.39	13.519557169485976	333.33333333333337
17	-63.19447391834723	23.81132699827837	157.53258768027547	54.95496684185936	39.38314692006886	39.38314692006886	1000.0	333.3333333333333	157.53258768027547	78.76629384013773	-39.38314692006886	-78.76629384013772	-78.76629384013772	0.0	78.76629384013773	39.38314692006886	0.0	-344.4196713843252	333.3333333333333	-39.38314692006886	157.53258768027547	-54.95496684185936	0.0	254.56703949319558	333.3333333333333	-254.56703949319558	-39.38314692006886	39.38314692006886	344.4196713843252	78.76629384013773	254.56703949319558	-78.76629384013773	39.38314692006886	39.38314692006886	-39.38314692006886	-78.76629384013773	423.18596522446296	-39.38314692006884	-576.8140347755372	118.1494407602066	-333.3333333333333	39.38314692006884	344.4196713843252	-423.18596522446296	-498.0477409353995	576.8140347755372	78.76629384013772	-118.1494407602066	-576.814034775537	39.38314692006886	-39.38314692006886	8.39	39.38314692006886	333.3333333333332
18	-125.33980451480639	83.55986967653759	167.11973935307518	0.0	41.779934838268794	41.779934838268794	1000.0	373.22274687775246	167.11973935307518	83.55986967653759	-41.779934838268794	-83.55986967653759	-83.55986967653759	0.0	83.55986967653759	41.779934838268794	119.6682406332574	-582.0441905208808	373.22274687775246	-41.779934838268794	167.11973935307518	0.0	0.0	289.6628772012149	373.22274687775246	-289.6628772012149	-41.779934838268794	41.779934838268794	582.0441905208808	83.55986967653759	289.6628772012149	-83.55986967653759	41.779934838268794	41.779934838268794	-41.779934838268794	-83.55986967653759	545.935819564161	-41.77993483826879	-454.06418043583903	125.33980451480639	-373.22274687775246	41.77993483826879	582.0441905208808	-665.6040601974183	-370.5043107593015	454.06418043583903	83.55986967653759	-125.33980451480639	-454.06418043583903	41.779934838268794	-41.779934838268794	8.39	41.779934838268794	373.22274687775246
19	-142.05964609100135	94.70643072733424	189.41286145466842	0.0	47.35321536366712	47.35321536366712	1000.0	423.38227160633727	189.41286145466842	94.70643072733424	-47.35321536366712	-94.70643072733424	-94.70643072733424	0.0	94.70643072733424	47.35321536366712	270.14681481901187	-793.8288504860167	423.38227160633727	-47.35321536366712	189.41286145466842	0.0	0.0	328.67584087900303	423.38227160633727	-328.67584087900303	-47.35321536366712	47.35321536366712	793.8288504860167	94.70643072733424	328.67584087900303	-94.70643072733424	47.35321536366712	47.35321536366712	-47.35321536366712	-94.70643072733424	618.388466394339	-47.35321536366712	-381.611533605661	142.05964609100133	-423.38227160633727	47.35321536366712	793.8288504860167	-888.5352812133509	-286.9051028783266	381.61153360566095	94.70643072733424	-142.05964609100133	-381.61153360566095	47.35321536366712	-47.35321536366712	8.39	47.35321536366712	423.3822716063373
