	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn05209	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
10	-411.80805805805863	887.0493993994006	295.68313313313354	411.80805805805863	71.82328328328337	-599.7562662662671	-339.98477477477525	295.68313313313354	-71.82328328328337	295.68313313313354	295.68313313313354	-295.68313313313354	-71.82328328328337	-71.82328328328337	71.82328328328337	599.7562662662671	295.68313313313354	71.82328328328337	71.82328328328337	-71.82328328328337	599.7562662662671	-295.68313313313354	599.7562662662671	-599.7562662662671	-287.29313313313344	71.82328328328337	71.82328328328337	-287.29313313313355	-71.82328328328337	8.39	71.82328328328337	295.68313313313354
11	-377.4330580586086	812.0493994006005	270.6831331335335	377.4330580586086	65.57328328338338	-549.756266267067	-311.8597747752252	270.6831331335335	-65.57328328338338	270.6831331335335	270.6831331335335	-270.6831331335335	-65.57328328338338	-65.57328328338338	65.57328328338338	549.756266267067	270.6831331335335	65.57328328338338	65.57328328338338	-65.57328328338338	549.756266267067	-270.6831331335335	549.756266267067	-549.756266267067	-262.2931331335335	65.57328328338338	65.57328328338338	-262.2931331335335	-65.57328328338338	8.39	65.57328328338338	270.6831331335335
12	-308.6833330586081	662.0499994005996	220.6833331335332	308.6833330586081	53.073333283383306	-449.7566662670664	-255.60999977522482	220.6833331335332	-53.073333283383306	220.6833331335332	220.6833331335332	-220.6833331335332	-53.073333283383306	-53.073333283383306	53.073333283383306	449.7566662670664	220.6833331335332	53.073333283383306	53.073333283383306	-53.073333283383306	449.7566662670664	-220.6833331335332	449.7566662670664	-449.7566662670664	-212.29333313353328	53.073333283383306	53.073333283383306	-212.29333313353322	-53.073333283383306	8.39	53.073333283383306	220.6833331335332
13	-205.76444583360805	437.4997000005993	145.83323333353312	205.76444583360805	34.360808333383275	-300.0564666670663	-171.40363750022476	145.83323333353312	-34.360808333383275	145.83323333353312	145.83323333353312	-145.83323333353312	-34.360808333383275	-34.36080833338329	34.360808333383275	300.0564666670663	145.83323333353312	34.360808333383275	34.360808333383275	-34.360808333383275	300.0564666670663	-145.83323333353312	300.0564666670663	-300.0564666670663	-137.44323333353307	34.36080833338329	34.360808333383275	-137.44323333353304	-34.360808333383275	8.39	34.360808333383275	145.83323333353314
14	-240.0019463830581	512.1997011993996	170.73323373313318	240.0019463830581	40.58580843328329	-349.8564674662664	-199.41613794977482	170.73323373313318	-40.58580843328329	170.73323373313318	170.73323373313318	-170.73323373313318	-40.58580843328329	-40.58580843328329	40.58580843328329	349.8564674662664	170.73323373313318	40.58580843328329	40.58580843328329	-40.58580843328329	349.8564674662664	-170.73323373313318	349.8564674662664	-349.8564674662664	-162.34323373313322	40.58580843328329	40.58580843328329	-162.34323373313316	-40.58580843328329	8.39	40.58580843328329	170.7332337331332
15	-437.6754524965213	943.487350901501	314.4957836338337	437.6754524965213	76.52644590845843	-637.3815672676674	-361.1490065880629	314.4957836338337	-76.52644590845843	314.4957836338337	314.4957836338337	-314.4957836338337	-76.52644590845843	-76.52644590845843	76.52644590845843	637.3815672676674	314.4957836338337	76.52644590845843	76.52644590845843	-76.52644590845843	637.3815672676674	-314.4957836338337	637.3815672676674	-637.3815672676674	-306.10578363383377	76.52644590845843	76.52644590845843	-306.10578363383365	-76.52644590845843	8.39	76.52644590845843	314.4957836338337
16	-403.1971894454207	868.2620496990996	289.42068323303323	403.1971894454207	70.25767080825831	-587.2313664660664	-332.9395186371624	289.42068323303323	-70.25767080825831	289.42068323303323	289.42068323303323	-289.42068323303323	-70.25767080825831	-70.2576708082583	70.25767080825831	587.2313664660664	289.42068323303323	70.25767080825831	70.25767080825831	-70.25767080825831	587.2313664660664	-289.42068323303323	587.2313664660664	-587.2313664660664	-281.0306832330332	70.2576708082583	70.25767080825831	-281.0306832330332	-70.25767080825831	8.39	70.25767080825831	289.42068323303323
17	-334.44746444542034	718.262649699099	239.420883233033	334.44746444542034	57.757720808258256	-487.231766466066	-276.68974363716205	239.420883233033	-57.757720808258256	239.420883233033	239.420883233033	-239.420883233033	-57.757720808258256	-57.757720808258256	57.757720808258256	487.231766466066	239.420883233033	57.757720808258256	57.757720808258256	-57.757720808258256	487.231766466066	-239.420883233033	487.231766466066	-487.231766466066	-231.030883233033	57.757720808258256	57.757720808258256	-231.03088323303302	-57.757720808258256	8.39	57.757720808258256	239.420883233033
18	-454.9662147206958	981.2126502996998	327.0708834332333	454.9662147206958	79.67022085830833	-662.5317668664666	-375.2959938623875	327.0708834332333	-79.67022085830833	327.0708834332333	327.0708834332333	-327.0708834332333	-79.67022085830833	-79.67022085830833	79.67022085830833	662.5317668664666	327.0708834332333	79.67022085830833	79.67022085830833	-79.67022085830833	662.5317668664666	-327.0708834332333	662.5317668664666	-662.5317668664666	-318.68088343323336	79.67022085830833	79.67022085830833	-318.68088343323325	-79.67022085830833	8.39	79.67022085830833	327.0708834332333
19	-265.69773944542027	568.2632496990988	189.42108323303293	265.69773944542027	45.25777080825823	-387.2321664660659	-220.43996863716205	189.42108323303293	-45.25777080825823	189.42108323303293	189.42108323303293	-189.42108323303293	-45.25777080825823	-45.25777080825823	45.25777080825823	387.2321664660659	189.42108323303293	45.25777080825823	45.25777080825823	-45.25777080825823	387.2321664660659	-189.42108323303293	387.2321664660659	-387.2321664660659	-181.0310832330329	45.25777080825823	45.25777080825823	-181.03108323303286	-45.25777080825823	8.39	45.25777080825823	189.42108323303296
20	-420.41892667069646	905.8367490997014	301.9455830332338	420.41892667069646	73.38889575830845	-612.2811660664676	-347.030030912388	301.9455830332338	-73.38889575830845	301.9455830332338	301.9455830332338	-301.9455830332338	-73.38889575830845	-73.38889575830845	73.38889575830845	612.2811660664676	301.9455830332338	73.38889575830845	73.38889575830845	-73.38889575830845	612.2811660664676	-301.9455830332338	612.2811660664676	-612.2811660664676	-293.55558303323375	73.38889575830845	73.38889575830845	-293.5555830332338	-73.38889575830845	8.39	73.38889575830845	301.9455830332338
