"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","condition"
"44","PA14_10750",1149.27613720551,-1.1500161190395,0.144519972843285,-7.9574891720092,1.75565481138778e-15,3.24682872054392e-13,"U24U0"
"45","PA14_11560",1068.41225777633,-0.451130835116144,0.13752141092471,-3.28044071161493,0.00103645046053219,0.00928956257238817,"U24U0"
"46","PA14_12090",1172.89072257483,-0.53541014477411,0.0660758613359035,-8.10296126224215,5.3637321064549e-16,1.18270292947331e-13,"U24U0"
"47","PA14_12280",1730.83084955902,-0.1711087416212,0.0423902682652454,-4.03650999683545,5.42522150190207e-05,0.000803689789932935,"U24U0"
"48","PA14_12670",1510.48653028357,-0.282667720306254,0.0549046429000832,-5.14833910896497,2.62803064210233e-07,8.96815456617422e-06,"U24U0"
"49","PA14_13040",1460.33781736287,-0.491926454624192,0.10552339761486,-4.66177611546992,3.13492116368958e-06,7.30589554123268e-05,"U24U0"
"50","PA14_13380",738.127739562377,-1.98290433164514,0.590486124571534,-3.35808793658608,0.00078483640896304,0.0073641033266532,"U24U0"
"51","PA14_13620",937.543908589088,-0.851017236596287,0.153481836810438,-5.54474232444431,2.94387374272121e-08,1.30831226100936e-06,"U24U0"
"52","PA14_14080",1158.43861616875,-0.647176230465268,0.102395028950991,-6.32038720136526,2.60908721196203e-10,1.78070202216408e-08,"U24U0"
"53","PA14_14130",1192.73516984728,-0.45467882358527,0.121786807615828,-3.73339963897845,0.000188912488869277,0.00227528424094026,"U24U0"
"54","PA14_14210",1124.07017013862,-0.30188385625125,0.0846234802633508,-3.5673769893625,0.000360572552973951,0.00385664635485011,"U24U0"
"55","PA14_14460",1211.04317423281,-0.42133789511351,0.123909305184341,-3.40037331729591,0.000672939097551601,0.00648396612817366,"U24U0"
"56","PA14_14800",1103.28762496548,-1.03884598222765,0.241297358198491,-4.3052521999561,1.66795604087337e-05,0.000295135555010094,"U24U0"
"57","PA14_14830",1312.08420877434,-0.321182699429882,0.0953649497289371,-3.36793235190501,0.000757341763819196,0.0071294586731945,"U24U0"
"58","PA14_14880",933.709317400074,-0.691929345087775,0.174592175013273,-3.96311773442981,7.39772756884874e-05,0.00104204354182334,"U24U0"
"59","PA14_14910",1301.68604600763,-0.485604105938166,0.125523211645794,-3.86863990787985,0.000109444131628318,0.00146257157721479,"U24U0"
"60","PA14_15475",1148.34207873922,-3.02549036782688,0.778214885889431,-3.88773129720978,0.000101185550730017,0.00136493355843574,"U24U0"
"61","PA14_15960",1264.3184831609,-0.380794677272978,0.0913837760087681,-4.16698339578835,3.08656970398303e-05,0.000494282237791472,"U24U0"
"62","PA14_15990",1002.32389918847,-0.791560899768425,0.161509911083938,-4.90100511142652,9.53475752970034e-07,2.61544329750106e-05,"U24U0"
"63","PA14_16430",1203.8897112487,-0.210604362124548,0.0471944322897586,-4.46248321902687,8.10152749239633e-06,0.000163258849543566,"U24U0"
"64","PA14_16620",1204.82689024596,-0.559549020328774,0.128943418580886,-4.3394926742831,1.42812027266732e-05,0.000259917889625452,"U24U0"
"65","PA14_16660",1047.99801181818,-2.86734367050402,0.642707391383624,-4.46135163364341,8.14443240353391e-06,0.000163258849543566,"U24U0"
"66","PA14_16710",1007.23943476147,-0.9336127917929,0.191576919479749,-4.87330516811859,1.09746496397821e-06,2.9538810509329e-05,"U24U0"
"67","PA14_16780",854.693366510276,-0.668216093930268,0.145461988616027,-4.59375057558262,4.35349697171812e-06,9.48996126952852e-05,"U24U0"
"68","PA14_17260",1298.10241809875,-0.618897330703528,0.0903663400925883,-6.84875950568998,7.44931052687373e-12,7.00113069681428e-10,"U24U0"
"69","PA14_17990",1151.18369807883,-0.583788399326598,0.0880516786333515,-6.63006552955682,3.35537878097298e-11,2.91460402292699e-09,"U24U0"
"70","PA14_18010",1407.22919057116,-0.528790937324114,0.0725833270875291,-7.28529482654382,3.20967602446074e-13,3.83355680171529e-11,"U24U0"
"71","PA14_18350",828.479868838127,-1.49096900728303,0.447713086464535,-3.33018857915634,0.00086787184614295,0.00799921108350085,"U24U0"
"72","PA14_18830",534.431348939945,-1.72767969224708,0.351698723475062,-4.91238545075237,8.99749504483853e-07,2.50401160641064e-05,"U24U0"
"73","PA14_19750",1025.1840763105,-0.817254970142514,0.151669369203455,-5.38839829317296,7.10883731713731e-08,2.87006791120762e-06,"U24U0"
"74","PA14_20180",942.234782786988,-1.80323210511489,0.504729958834403,-3.57266707385307,0.00035336389221795,0.00380796089113817,"U24U0"
"75","PA14_20810",1262.02116224216,-0.362229385281707,0.0998967004093487,-3.62603953681545,0.00028780130917037,0.00322889413987031,"U24U0"
"76","PA14_21400",718.594958266192,-0.994883640842769,0.225955113639116,-4.40301449619657,1.06757029669317e-05,0.000204741805454364,"U24U0"
"77","PA14_21450",571.490169428762,-2.10145444624058,0.601201326102948,-3.49542550057638,0.00047330656163568,0.00481965633722443,"U24U0"
"78","PA14_21730",1341.81184207766,-0.261736537114488,0.0758423579850531,-3.45106012086373,0.000558389167544485,0.00551938809919402,"U24U0"
"79","PA14_22280",869.661185172944,-2.27577930337834,0.641866187820912,-3.5455665784553,0.000391770005302268,0.0041439436169703,"U24U0"
"80","PA14_22760",1089.32703834943,-0.467477512437321,0.138444635605133,-3.37663868588338,0.000733773697372025,0.00695461960764894,"U24U0"
"81","PA14_22910",1197.87331513177,-0.698374430982418,0.160175766731944,-4.36005049472407,1.30032434705877e-05,0.000242826041748793,"U24U0"
"82","PA14_22980",1274.492944083,-0.628541258845029,0.15966359398692,-3.936659843048,8.26235932120475e-05,0.00113865639395353,"U24U0"
"83","PA14_23050",1645.20032581935,-0.343781187185093,0.0496378279423701,-6.92579029816182,4.33548288439326e-12,4.14255389603776e-10,"U24U0"
"84","PA14_23100",1738.39473420933,-0.145307047036167,0.031034388013263,-4.68213025415768,2.83908976926379e-06,6.72582712693774e-05,"U24U0"
"85","PA14_23270",742.143347501473,-0.849281035300598,0.201856503741628,-4.20735036800032,2.58382377929408e-05,0.000426889386936396,"U24U0"
