	rxn10125	rxn13726	rxn00248	rxn08094	rxn02465	rxn00184	rxn05312	rxn05318	rxn00799	rJB00240	rJB00238	rxn10113	rxn00285	rxn05307	rxn00165	rxn05158	rxn00615	rxn13836	rxn00148	rxn05466	rxn10042	rxn01637	rxn05687	rxn10182	rxn00134	rxn05581	rxn00097	rxn00251	rxn01636	rxn10165	rxn01917	rxn05493	rxn05467	rxn05468	EX_cpd00024_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00106_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00054_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00064_e	EX_cpd00009_e	EX_cpd00036_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
20	-26.93510050214418	289.42658944281516	131.24574447033547	131.24574447033547	8.97836683404806	17.95673366809612	530.6388748282588	369.06517741935477	-131.24574447033547	131.24574447033547	-131.24574447033547	289.4265894428151	-131.24574447033547	-131.24574447033547	-131.24574447033547	576.5566574298053	-1000.0	107.19553225806425	131.24574447033547	113.28901080223935	289.4265894428151	8.97836683404806	8.97836683404806	-8.97836683404806	369.06517741935477	1000.0	237.8194329490193	131.24574447033547	-8.97836683404806	423.44334257019466	-8.97836683404806	122.2673776362874	-262.49148894067093	144.71329472140792	-122.2673776362874	-369.06517741935477	262.49148894067093	-131.24574447033547	1000.0	-1000.0	-122.2673776362875	131.24574447033547	-113.28901080223935	-144.71329472140758	-8.97836683404806	-107.19553225806419	131.24574447033547	8.39	-107.19553225806465	107.19553225806425	369.06517741935494
21	-80.5902508038206	289.42658944281516	104.4181693194973	104.4181693194973	26.863416934606867	53.726833869213735	593.2365501802149	369.06517741935477	-104.4181693194973	104.4181693194973	-104.4181693194973	289.42658944281516	-104.4181693194973	-104.4181693194973	-104.4181693194973	513.9589820778496	-1000.0	107.19553225806438	104.4181693194973	50.69133545028356	289.42658944281516	26.863416934606867	26.863416934606867	-26.863416934606867	369.06517741935477	1000.0	264.6470080998575	104.4181693194973	-26.863416934606867	486.04101792215044	-26.863416934606867	77.55475238489043	-208.8363386389946	144.71329472140792	-77.55475238489043	-369.06517741935477	208.8363386389946	-104.4181693194973	1000.0	-1000.0	-77.55475238489053	104.4181693194973	-50.69133545028356	-144.71329472140758	-26.863416934606867	-107.19553225806436	104.4181693194973	8.39	-107.19553225806465	107.19553225806438	369.06517741935494
22	-196.02048503637545	326.70080839395894	65.3401616787918	65.3401616787918	65.34016167879182	130.68032335758363	810.4409273195376	398.35206373811064	-65.3401616787918	65.3401616787918	-65.3401616787918	326.70080839395894	-65.3401616787918	-65.3401616787918	-65.3401616787918	384.6152638947943	-1000.0	195.05619121433176	65.3401616787918	-65.34016167879183	326.70080839395894	65.34016167879179	65.34016167879179	-65.34016167879179	398.35206373811064	1000.0	333.01190205931886	65.3401616787918	-65.34016167879179	615.3847361052058	-65.34016167879182	0.0	-130.6803233575836	163.35040419697947	0.0	-398.35206373811064	130.6803233575836	-65.3401616787918	1000.0	-1000.0	0.0	65.3401616787918	65.34016167879183	-163.35040419697947	-65.34016167879179	-195.05619121433193	65.3401616787918	8.39	-195.05619121433176	195.05619121433176	398.3520637381104
23	-211.63762887866608	352.7293814644434	70.54587629288869	70.54587629288869	70.54587629288869	141.09175258577739	886.2956259820922	418.80308543634845	-70.54587629288869	70.54587629288869	-70.54587629288869	352.7293814644434	-70.54587629288869	-70.54587629288869	-70.54587629288869	370.11363032695294	-1000.0	256.4092563090452	70.54587629288869	-70.54587629288869	352.7293814644434	70.54587629288869	70.54587629288869	-70.54587629288869	418.80308543634845	1000.0	348.25720914345976	70.54587629288869	-70.54587629288869	629.886369673047	-70.54587629288869	0.0	-141.09175258577739	176.3646907322217	0.0	-418.80308543634845	141.09175258577739	-70.54587629288869	1000.0	-1000.0	0.0	70.54587629288869	70.54587629288869	-176.3646907322217	-70.54587629288869	-256.4092563090452	70.54587629288869	8.39	-256.4092563090452	256.4092563090452	418.8030854363482
24	-227.3323977179874	378.8873295299789	75.77746590599581	75.77746590599581	75.7774659059958	151.5549318119916	962.5273603445103	439.3557589164122	-75.77746590599581	75.77746590599581	-75.77746590599581	378.8873295299789	-75.77746590599581	-75.77746590599581	-75.77746590599581	355.5399164047259	-1000.0	318.06727674923616	75.77746590599581	-75.77746590599578	378.8873295299789	75.77746590599577	75.77746590599577	-75.77746590599577	439.3557589164122	1000.0	363.57829301041636	75.77746590599581	-75.77746590599577	644.4600835952741	-75.7774659059958	0.0	-151.55493181199162	189.44366476498945	0.0	-439.3557589164122	151.55493181199162	-75.77746590599581	1000.0	-999.9999999999999	0.0	75.77746590599581	75.77746590599578	-189.44366476498945	-75.77746590599577	-318.06727674923616	75.77746590599581	8.39	-318.06727674923616	318.06727674923616	439.3557589164118
25	-224.03611740073268	373.39352900122117	74.67870580024423	74.67870580024423	74.67870580024423	149.35741160048846	1000.0	381.55605730451816	-74.67870580024423	74.67870580024423	-74.67870580024423	373.39352900122117	-74.67870580024423	-74.67870580024423	-74.67870580024423	144.66817191355446	-625.6179916249109	519.0501802886437	74.67870580024423	-74.67870580024423	373.39352900122117	74.67870580024419	74.67870580024419	-74.67870580024419	381.55605730451816	625.6179916249109	306.8773515042739	74.67870580024423	-74.67870580024419	480.94981971135644	-74.67870580024423	0.0	-149.35741160048846	186.69676450061058	0.0	-381.55605730451816	149.35741160048846	-74.67870580024423	625.6179916249109	-625.6179916249109	0.0	74.67870580024423	74.67870580024423	-186.69676450061058	-74.67870580024419	-519.0501802886436	74.67870580024423	8.39	-519.0501802886437	519.0501802886437	381.5560573045182
26	-185.53709107187282	384.2017459451677	99.33232743664742	99.33232743664742	61.845697023957605	123.69139404791521	1000.0	369.065177419355	-99.33232743664742	99.33232743664742	-99.33232743664742	384.2017459451677	-99.33232743664742	-99.33232743664742	-99.33232743664742	107.19553225806499	-478.7366392370623	628.4588930210026	99.33232743664742	-24.359066611267792	384.2017459451677	61.845697023957655	61.845697023957655	-61.845697023957655	369.065177419355	478.7366392370623	269.7328499827076	99.33232743664742	-61.845697023957655	371.5411069789973	-61.845697023957605	37.48663041268988	-198.66465487329484	192.10087297258386	-37.48663041268988	-369.065177419355	198.66465487329484	-99.33232743664742	478.73663923706226	-478.73663923706226	-37.48663041269015	99.33232743664742	24.359066611267792	-192.10087297258386	-61.845697023957655	-628.4588930210027	99.33232743664742	8.39	-628.4588930210026	628.4588930210026	369.06517741935494
27	-187.01879704141788	417.0509563975325	115.01607967805728	115.01607967805728	62.339599013805966	124.67919802761193	1000.0	469.3414657409184	-115.01607967805728	115.01607967805728	-115.01607967805728	417.0509563975325	-115.01607967805728	-115.01607967805728	-115.01607967805728	408.02439722275517	-1000.0	408.02439722275517	115.01607967805728	-9.66311834955465	417.0509563975325	62.33959901380592	62.33959901380592	-62.33959901380592	469.3414657409184	1000.0	354.3253860628611	115.01607967805728	-62.33959901380592	591.9756027772448	-62.339599013805966	52.67648066425136	-230.03215935611456	208.52547819876625	-52.67648066425136	-469.3414657409184	230.03215935611456	-115.01607967805728	1000.0	-1000.0	-52.6764806642513	115.01607967805728	9.66311834955465	-208.52547819876625	-62.33959901380592	-408.02439722275517	115.01607967805728	8.39	-408.02439722275517	408.02439722275517	469.3414657409183
28	-178.96756686302342	417.5909893470547	119.31171124201563	119.31171124201563	59.65585562100782	119.31171124201563	1000.0	461.5684627146916	-119.31171124201563	119.31171124201563	-119.31171124201563	417.5909893470547	-119.31171124201563	-119.31171124201563	-119.31171124201563	384.7053881440747	-942.61879759404	442.0865905500347	119.31171124201563	0.0	417.5909893470547	59.655855621007845	59.655855621007845	-59.655855621007845	461.5684627146916	942.61879759404	342.25675147267594	119.31171124201563	-59.655855621007845	557.9134094499652	-59.65585562100782	59.655855621007845	-238.62342248403127	208.79549467352734	-59.655855621007845	-461.5684627146916	238.62342248403127	-119.31171124201563	942.61879759404	-942.61879759404	-59.655855621008016	119.31171124201563	0.0	-208.79549467352734	-59.655855621007845	-442.0865905500347	119.31171124201563	8.39	-442.0865905500347	442.0865905500347	461.5684627146914
29	-90.40836639365273	421.1962499866978	165.3939417965225	165.3939417965225	30.136122131217576	60.27224426243515	1000.0	369.06517741935494	-165.3939417965225	165.3939417965225	-165.3939417965225	421.1962499866978	-165.3939417965225	-165.3939417965225	-165.3939417965225	107.1955322580647	-275.2668670086465	831.9286652494184	165.3939417965225	105.12169753408736	421.1962499866978	30.136122131217576	30.136122131217576	-30.136122131217576	369.06517741935494	275.2668670086465	203.67123562283243	165.3939417965225	-30.136122131217576	168.07133475058185	-30.136122131217576	135.25781966530496	-330.787883593045	210.5981249933489	-135.25781966530496	-369.06517741935494	330.787883593045	-165.3939417965225	275.2668670086465	-275.2668670086466	-135.25781966530505	165.3939417965225	-105.12169753408736	-210.5981249933489	-30.136122131217576	-831.9286652494181	165.3939417965225	8.39	-831.9286652494184	831.9286652494184	369.06517741935494
