	rxn10125	rxn13726	rxn00083	rxn00154	rxn00986	rxn00675	rxn05312	rxn05318	rxn00256	rxn10113	rxn00974	rxn00175	rxn00148	rxn10042	rxn12788	rxn00670	rxn00985	rxn00134	rxn13299	rxn13643	rxn00251	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	rxn00695	EX_cpd00331_e	ATPM	DM_cpd00002_c
30	-4.811229947412064	74.51475936894477	-4.811229947412064	74.51475936894477	-102.14967915859303	102.14967915859303	364.1837968447238	121.39459894824127	74.51475936894477	74.51475936894477	-74.51475936894477	-149.02951873788953	74.51475936894477	74.51475936894477	74.51475936894477	102.14967915859303	-102.14967915859303	121.39459894824127	46.879839579296515	46.879839579296515	74.51475936894477	-149.02951873788953	-289.6690374757791	37.25737968447238	-149.02951873788953	149.02951873788953	-121.39459894824127	149.02951873788953	-140.6395187378895	289.6690374757791	-37.25737968447238	-364.1837968447238	46.879839579296515	-74.51475936894477	8.39	121.39459894824125
31	-13.070782337461393	173.62938804953671	-13.070782337461393	173.62938804953671	-234.30251739938228	234.30251739938228	859.7569402476836	286.58564674922786	173.62938804953671	173.62938804953671	-173.62938804953671	-347.25877609907343	173.62938804953671	173.62938804953671	173.62938804953671	234.30251739938228	-234.30251739938228	286.58564674922786	112.95625869969115	112.95625869969115	173.62938804953671	-347.25877609907343	-686.1275521981469	86.81469402476836	-347.25877609907343	347.25877609907343	-286.58564674922786	347.25877609907343	-338.86877609907333	686.1275521981469	-86.81469402476836	-859.7569402476836	112.95625869969115	-173.62938804953671	8.39	286.58564674922786
32	-12.21966788801348	163.41601465616176	-12.21966788801348	163.41601465616176	-220.68468620821568	220.68468620821568	808.6900732808087	269.5633577602696	163.41601465616176	163.41601465616176	-163.41601465616176	-326.8320293123235	163.41601465616176	163.41601465616176	163.41601465616176	220.68468620821568	-220.68468620821568	269.5633577602696	106.14734310410785	106.14734310410785	163.41601465616176	-326.8320293123235	-645.2740586246471	81.70800732808088	-326.8320293123235	326.8320293123235	-269.5633577602696	326.8320293123235	-318.44202931232354	645.2740586246471	-81.70800732808088	-808.6900732808087	106.14734310410785	-163.41601465616176	8.39	269.56335776026964
33	-14.770468951577191	194.0256274189263	-14.770468951577191	194.0256274189263	-261.49750322523505	261.49750322523505	961.7381370946314	320.5793790315438	194.0256274189263	194.0256274189263	-194.0256274189263	-388.0512548378526	194.0256274189263	194.0256274189263	194.0256274189263	261.49750322523505	-261.49750322523505	320.5793790315438	126.55375161261753	126.55375161261753	194.0256274189263	-388.0512548378526	-767.7125096757052	97.01281370946315	-388.0512548378526	388.0512548378526	-320.5793790315438	388.0512548378526	-379.6612548378525	767.7125096757052	-97.01281370946315	-961.7381370946314	126.55375161261753	-194.0256274189263	8.39	320.57937903154385
34	-13.497619220858901	178.75143065030682	-13.497619220858901	178.75143065030682	-241.13190753374244	241.13190753374244	885.3671532515341	295.122384417178	178.75143065030682	178.75143065030682	-178.75143065030682	-357.50286130061363	178.75143065030682	178.75143065030682	178.75143065030682	241.13190753374244	-241.13190753374244	295.122384417178	116.37095376687121	116.37095376687121	178.75143065030682	-357.50286130061363	-706.6157226012273	89.37571532515341	-357.50286130061363	357.50286130061363	-295.122384417178	357.50286130061363	-349.11286130061376	706.6157226012273	-89.37571532515341	-885.3671532515341	116.37095376687121	-178.75143065030682	8.39	295.1223844171782
35	-6.291563213027011	92.27875855632414	-6.291563213027011	92.27875855632414	-125.83501140843218	125.83501140843218	453.0037927816207	151.0012642605402	92.27875855632414	92.27875855632414	-92.27875855632414	-184.55751711264827	92.27875855632414	92.27875855632414	92.27875855632414	125.83501140843218	-125.83501140843218	151.0012642605402	58.72250570421609	58.72250570421609	92.27875855632414	-184.55751711264827	-360.72503422529655	46.13937927816207	-184.55751711264827	184.55751711264827	-151.0012642605402	184.55751711264827	-176.16751711264828	360.72503422529655	-46.13937927816207	-453.0037927816207	58.72250570421609	-92.27875855632414	8.39	151.0012642605402
36	-9.679049663027103	132.9285959563252	-9.679049663027103	132.9285959563252	-180.03479460843363	180.03479460843363	656.2529797816261	218.75099326054197	132.9285959563252	132.9285959563252	-132.9285959563252	-265.8571919126504	132.9285959563252	132.9285959563252	132.9285959563252	180.03479460843363	-180.03479460843363	218.75099326054197	85.82239730421682	85.82239730421682	132.9285959563252	-265.8571919126504	-523.3243838253009	66.4642979781626	-265.8571919126504	265.8571919126504	-218.75099326054197	265.8571919126504	-257.4671919126503	523.3243838253009	-66.4642979781626	-656.2529797816261	85.82239730421682	-132.9285959563252	8.39	218.75099326054206
37	-12.644800831756697	168.51760998108048	-12.644800831756697	168.51760998108048	-227.48681330810732	227.48681330810732	834.1980499054024	278.06601663513413	168.51760998108048	168.51760998108048	-168.51760998108048	-337.03521996216097	168.51760998108048	168.51760998108048	168.51760998108048	227.48681330810732	-227.48681330810732	278.06601663513413	109.54840665405364	109.54840665405364	168.51760998108048	-337.03521996216097	-665.6804399243218	84.25880499054024	-337.03521996216097	337.03521996216097	-278.06601663513413	337.03521996216097	-328.645219962161	665.6804399243218	-84.25880499054024	-834.1980499054024	109.54840665405364	-168.51760998108048	8.39	278.0660166351342
38	-13.92360072656359	183.86320871876325	-13.92360072656359	183.86320871876325	-247.94761162501766	247.94761162501766	910.9260435938163	303.6420145312721	183.86320871876325	183.86320871876325	-183.86320871876325	-367.7264174375265	183.86320871876325	183.86320871876325	183.86320871876325	247.94761162501766	-247.94761162501766	303.6420145312721	119.77880581250884	119.77880581250884	183.86320871876325	-367.7264174375265	-727.0628348750529	91.93160435938162	-367.7264174375265	367.7264174375265	-303.6420145312721	367.7264174375265	-359.3364174375267	727.0628348750529	-91.93160435938162	-910.9260435938163	119.77880581250884	-183.86320871876325	8.39	303.64201453127214
39	-5.444694988013413	82.11633985616095	-5.444694988013413	82.11633985616095	-112.2851198082146	112.2851198082146	402.19169928080476	134.06389976026824	82.11633985616095	82.11633985616095	-82.11633985616095	-164.2326797123219	82.11633985616095	82.11633985616095	82.11633985616095	112.2851198082146	-112.2851198082146	134.06389976026824	51.9475599041073	51.9475599041073	82.11633985616095	-164.2326797123219	-320.0753594246438	41.058169928080474	-164.2326797123219	164.2326797123219	-134.06389976026824	164.2326797123219	-155.8426797123219	320.0753594246438	-41.058169928080474	-402.19169928080476	51.9475599041073	-82.11633985616095	8.39	134.0638997602682
40	-7.985313213000006	112.60375855600006	-7.985313213000006	112.60375855600006	-152.9350114080001	152.9350114080001	554.6287927800004	184.87626426000008	112.60375855600006	112.60375855600006	-112.60375855600006	-225.20751711200012	112.60375855600006	112.60375855600006	112.60375855600006	152.9350114080001	-152.9350114080001	184.87626426000008	72.27250570400005	72.27250570400005	112.60375855600006	-225.20751711200012	-442.0250342240003	56.30187927800003	-225.20751711200012	225.20751711200012	-184.87626426000008	225.20751711200012	-216.81751711200025	442.0250342240003	-56.30187927800003	-554.6287927800004	72.27250570400005	-112.60375855600006	8.39	184.8762642600001
41	-6.717544718731697	97.39053662478034	-6.717544718731697	97.39053662478034	-132.65071549970713	132.65071549970713	478.5626831239017	159.52089437463388	97.39053662478034	97.39053662478034	-97.39053662478034	-194.78107324956068	97.39053662478034	97.39053662478034	97.39053662478034	132.65071549970713	-132.65071549970713	159.52089437463388	62.13035774985357	62.13035774985357	97.39053662478034	-194.78107324956068	-381.17214649912137	48.69526831239017	-194.78107324956068	194.78107324956068	-159.52089437463388	194.78107324956068	-186.39107324956063	381.17214649912137	-48.69526831239017	-478.5626831239017	62.13035774985357	-97.39053662478034	8.39	159.5208943746339
42	-2.91421895154973	51.75062741859677	-2.91421895154973	51.75062741859677	-71.79750322479569	71.79750322479569	250.36313709298386	83.45437903099463	51.75062741859677	51.75062741859677	-51.75062741859677	-103.50125483719354	51.75062741859677	51.75062741859677	51.75062741859677	71.79750322479569	-71.79750322479569	83.45437903099463	31.70375161239784	31.70375161239784	51.75062741859677	-103.50125483719354	-198.61250967438707	25.875313709298386	-103.50125483719354	103.50125483719354	-83.45437903099463	103.50125483719354	-95.11125483719356	198.61250967438707	-25.875313709298386	-250.36313709298386	31.70375161239784	-51.75062741859677	8.39	83.4543790309946
