term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
lipoic acid metabolism	1	421	2	5976	0.1359448953414775	0.4425353975209768
lipopolysaccharide biosynthesis	1	421	22	5976	0.8001330527142	1.0
lysine biosynthesis	3	421	15	5976	0.0838813357011546	0.3470951822116742
lysine degradation	3	421	19	5976	0.14565239072227146	0.4538844741596983
metabolic pathways	87	421	798	5976	1.0312899433807605e-05	0.00017679256172241608
methane metabolism	5	421	25	5976	0.02782925300946178	0.14519610265806146
microbial metabolism in diverse environments	39	421	263	5976	5.383357541426396e-06	0.00014956420496555514
mismatch repair	1	421	19	5976	0.7509697109031827	1.0
monobactam biosynthesis	2	421	9	5976	0.12830315491605293	0.4425353975209768
naphthalene degradation	1	421	2	5976	0.1359448953414775	0.4425353975209768
nicotinate and nicotinamide metabolism	1	421	21	5976	0.7849281403890604	1.0
nitrogen metabolism	3	421	36	5976	0.47076985010497724	0.8691135694245734
nitrotoluene degradation	0	421	2	5976	1.0	1.0
non-homologous end-joining	0	421	2	5976	1.0	1.0
novobiocin biosynthesis	0	421	5	5976	1.0	1.0
nucleotide excision repair	2	421	8	5976	0.10449698374468762	0.38631034595923547
one carbon pool by folate	1	421	18	5976	0.7320349535057182	1.0
oxidative phosphorylation	2	421	55	5976	0.9080431520565763	1.0
pantothenate and coa biosynthesis	4	421	22	5976	0.06462742487704665	0.2769746780444856
pentose and glucuronate interconversions	0	421	7	5976	1.0	1.0
pentose phosphate pathway	10	421	26	5976	5.158749485074742e-06	0.00014956420496555514
peptidoglycan biosynthesis	1	421	21	5976	0.7849281403890604	1.0
phenylalanine metabolism	1	421	25	5976	0.8396090558330737	1.0
phenylalanine, tyrosine and tryptophan biosynthesis	2	421	30	5976	0.6349019991298046	1.0
phosphonate and phosphinate metabolism	1	421	10	5976	0.5186215719478245	0.9152145387314551
phosphotransferase system (pts)	1	421	5	5976	0.30607542762520384	0.727921440638507
polyketide sugar unit biosynthesis	0	421	5	5976	1.0	1.0
porphyrin and chlorophyll metabolism	4	421	43	5976	0.3594385270841667	0.7702254151803571
propanoate metabolism	7	421	48	5976	0.049124840010869274	0.22673003081939663
protein export	2	421	17	5976	0.33910246701020164	0.7398599280222582
purine metabolism	9	421	79	5976	0.10201845147719185	0.38631034595923547
pyrimidine metabolism	4	421	47	5976	0.42478762116789626	0.8569767867441334
pyruvate metabolism	16	421	61	5976	2.936996325921689e-06	0.00014956420496555514
quorum sensing	7	421	101	5976	0.5746724865480656	0.9712774420530685
riboflavin metabolism	0	421	10	5976	1.0	1.0
ribosome	4	421	55	5976	0.5488934791156157	0.9472984866004558
rna degradation	1	421	16	5976	0.6897487951623191	1.0
rna polymerase	2	421	4	5976	0.027006500228674946	0.14519610265806146
selenocompound metabolism	1	421	10	5976	0.5186215719478245	0.9152145387314551
sphingolipid metabolism	0	421	2	5976	1.0	1.0
starch and sucrose metabolism	2	421	16	5976	0.3125191713741205	0.727921440638507
streptomycin biosynthesis	1	421	8	5976	0.44277133981780226	0.8569767867441334
styrene degradation	1	421	11	5976	0.5525907838502659	0.9472984866004558
sulfur metabolism	2	421	49	5976	0.869620109209391	1.0
sulfur relay system	1	421	18	5976	0.7320349535057182	1.0
synthesis and degradation of ketone bodies	2	421	10	5976	0.15320448177478885	0.45961344532436654
taurine and hypotaurine metabolism	3	421	9	5976	0.021175384644909038	0.13443180669779806
terpenoid backbone biosynthesis	2	421	16	5976	0.3125191713741205	0.727921440638507
thiamine metabolism	0	421	13	5976	1.0	1.0
toluene degradation	0	421	3	5976	1.0	1.0
tryptophan metabolism	4	421	26	5976	0.10623534513878977	0.38631034595923547
two-component system	13	421	203	5976	0.6822052102939882	1.0
tyrosine metabolism	1	421	27	5976	0.8615016341423272	1.0
ubiquinone and other terpenoid-quinone biosynthesis	1	421	17	5976	0.7116641906718266	1.0
valine, leucine and isoleucine biosynthesis	7	421	19	5976	0.000196153524844382	0.0023538422981325842
valine, leucine and isoleucine degradation	7	421	47	5976	0.044539491898987406	0.21378956111513953
vancomycin resistance	1	421	9	5976	0.4820798629305212	0.8765088416918566
vitamin b6 metabolism	0	421	9	5976	1.0	1.0
xylene degradation	0	421	5	5976	1.0	1.0
