term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
oxidative phosphorylation	1	437	55	5976	0.9849486942001251	1.0
pantothenate and coa biosynthesis	1	437	22	5976	0.8124447101637743	1.0
pentose and glucuronate interconversions	0	437	7	5976	1.0	1.0
pentose phosphate pathway	0	437	26	5976	1.0	1.0
peptidoglycan biosynthesis	5	437	21	5976	0.015616726525188054	0.9886498721191002
phenylalanine metabolism	4	437	25	5976	0.10538039095149984	1.0
phenylalanine, tyrosine and tryptophan biosynthesis	5	437	30	5976	0.06390764572940177	1.0
phosphonate and phosphinate metabolism	1	437	10	5976	0.5323192774809207	1.0
phosphotransferase system (pts)	0	437	5	5976	1.0	1.0
polyketide sugar unit biosynthesis	1	437	5	5976	0.31601509666620853	1.0
porphyrin and chlorophyll metabolism	2	437	43	5976	0.833292037255646	1.0
propanoate metabolism	3	437	48	5976	0.6926531702371839	1.0
protein export	0	437	17	5976	1.0	1.0
purine metabolism	7	437	79	5976	0.3561285017989122	1.0
pyrimidine metabolism	1	437	47	5976	0.9722191906662876	1.0
pyruvate metabolism	4	437	61	5976	0.6617805777062737	1.0
quorum sensing	9	437	101	5976	0.3182651152087955	1.0
riboflavin metabolism	0	437	10	5976	1.0	1.0
ribosome	5	437	55	5976	0.3754686072209023	1.0
rna degradation	3	437	16	5976	0.10687014479943618	1.0
rna polymerase	1	437	4	5976	0.2620130365475334	1.0
selenocompound metabolism	0	437	10	5976	1.0	1.0
sphingolipid metabolism	0	437	2	5976	1.0	1.0
starch and sucrose metabolism	0	437	16	5976	1.0	1.0
streptomycin biosynthesis	1	437	8	5976	0.4554904119327626	1.0
styrene degradation	1	437	11	5976	0.5665761456909171	1.0
sulfur metabolism	3	437	49	5976	0.7061059469010327	1.0
sulfur relay system	0	437	18	5976	1.0	1.0
synthesis and degradation of ketone bodies	1	437	10	5976	0.5323192774809207	1.0
taurine and hypotaurine metabolism	1	437	9	5976	0.49536150609921403	1.0
terpenoid backbone biosynthesis	0	437	16	5976	1.0	1.0
thiamine metabolism	0	437	13	5976	1.0	1.0
toluene degradation	0	437	3	5976	1.0	1.0
tryptophan metabolism	3	437	26	5976	0.295349163395867	1.0
two-component system	14	437	203	5976	0.6317535744377093	1.0
tyrosine metabolism	2	437	27	5976	0.5977449272444242	1.0
ubiquinone and other terpenoid-quinone biosynthesis	2	437	17	5976	0.3562255566528091	1.0
valine, leucine and isoleucine biosynthesis	1	437	19	5976	0.764271439240653	1.0
valine, leucine and isoleucine degradation	4	437	47	5976	0.45360228326457014	1.0
vancomycin resistance	1	437	9	5976	0.49536150609921403	1.0
vitamin b6 metabolism	1	437	9	5976	0.49536150609921403	1.0
xylene degradation	0	437	5	5976	1.0	1.0
