	rxn10125	rxn00288	rxn10126	rxn00779	rxn13726	rxn00248	rxn00781	rxn08094	rxn00154	rxn05312	rxn05318	rxn00799	rxn10113	rxn00285	rxn00175	rxn08556	rxn05158	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn13299	rxn13643	rxn05581	rxn00459	rxn00097	rxn00251	rxn00747	rxn01106	rxn10165	rxn05493	rxn05467	rxn05319	rxn05468	rxn05488	EX_cpd00024_e	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	rxn00695	ATPM	DM_cpd00002_c
20	-168.9152782605936	49.29948474416819	49.29948474416819	168.9152782605936	286.2827451529988	49.29948474416819	-99.72313280034646	49.29948474416819	118.49163020441533	1000.0	418.9586403749697	-49.29948474416819	404.7743753574141	-49.29948474416819	-118.49163020441533	69.19214546024713	256.8759211249097	-930.8078545397528	118.49163020441533	286.2827451529988	99.72313280034646	418.9586403749697	118.49163020441533	118.49163020441533	930.8078545397528	69.19214546024713	181.97537996613903	49.29948474416819	-69.19214546024713	-69.19214546024713	743.1240788750903	49.29948474416819	-217.0905996927517	-444.5596967895721	202.38718767870705	-118.49163020441533	-49.29948474416819	118.49163020441533	-418.9586403749697	217.0905996927517	930.8078545397528	-1000.0	444.5596967895721	-202.38718767870705	-256.8759211249097	118.49163020441533	8.39	418.9586403749703
21	-92.56093998815126	40.39597533430735	40.39597533430735	92.56093998815126	323.2457993696935	40.39597533430735	8.467996695234449	40.39597533430735	141.4249120176931	1000.0	447.82759512815477	-40.39597533430735	464.6707113873866	-40.39597533430735	-141.4249120176931	101.02893668338571	343.48278538446436	-898.9710633166143	141.4249120176931	323.2457993696935	-8.467996695234449	447.82759512815477	141.4249120176931	141.4249120176931	898.9710633166143	101.02893668338574	164.9777710927686	40.39597533430735	-101.02893668338571	-101.02893668338574	656.5172146155356	40.39597533430735	-222.21686268630782	-585.9366340855433	232.3353556936933	-141.4249120176931	-40.39597533430735	141.4249120176931	-447.82759512815477	222.21686268630782	898.9710633166143	-1000.0	585.9366340855433	-232.3353556936933	-343.48278538446436	141.4249120176931	8.39	447.82759512815494
22	-342.3507823839975	66.46477180466738	66.46477180466738	342.3507823839975	199.39431541400214	66.46477180466738	-342.3507823839975	66.46477180466738	66.46477180466738	1000.0	349.3492828146689	-66.46477180466738	265.8590872186695	-66.46477180466738	-66.46477180466738	0.0	48.04784844400653	-981.583076639339	66.46477180466738	199.39431541400214	342.3507823839975	349.3492828146689	66.46477180466738	66.46477180466738	981.583076639339	0.0	216.4197392053342	66.46477180466738	0.0	0.0	933.5352281953325	66.46477180466738	-199.39431541400214	-132.92954360933498	132.92954360933476	-66.46477180466738	-66.46477180466738	66.46477180466738	-349.3492828146689	199.39431541400214	981.583076639339	-981.583076639339	132.92954360933498	-132.92954360933476	-66.46477180466752	66.46477180466738	8.39	349.34928281466875
23	0.0	78.38565879487317	78.38565879487317	0.0	250.58939167441542	78.38565879487317	7.716207644897963	78.38565879487317	86.10186643977113	517.7441726830143	331.70018024735	-78.38565879487317	336.69125811418655	-78.38565879487317	-86.10186643977113	7.716207644897963	477.35636805903505	-885.8500513675845	86.10186643977113	250.58939167441542	-7.716207644897963	331.7001802473498	86.10186643977113	86.10186643977113	885.8500513675845	7.716207644897963	159.49644736780755	78.38565879487317	-7.716207644897963	-7.716207644897963	416.2098909534474	78.38565879487317	-242.87318402951746	-195.35235581423603	168.34562905709328	-86.10186643977113	-78.38565879487317	86.10186643977113	-331.7001802473498	242.87318402951746	885.8500513675845	-893.5662590124825	195.35235581423603	-168.34562905709328	-101.53428172956683	86.10186643977113	8.39	331.7001802473498
24	0.0	11.079547183913714	11.079547183913714	0.0	253.79444460827057	11.079547183913714	110.27790152826474	11.079547183913714	121.35744871217844	716.4574545820376	331.70018024735	-11.079547183913714	375.151893320449	-11.079547183913714	-121.35744871217844	110.27790152826474	278.6430861600116	-542.9093874450764	121.35744871217844	253.79444460827057	-110.27790152826474	331.70018024734975	121.35744871217844	121.35744871217844	542.9093874450764	110.27790152826474	88.98528282299287	11.079547183913714	-110.27790152826474	-110.27790152826474	374.54420281332955	11.079547183913714	-143.51654308000587	-573.5486020091511	187.5759466602245	-121.35744871217844	-11.079547183913714	121.35744871217844	-331.70018024734975	143.51654308000587	542.9093874450764	-653.1872889733411	573.5486020091511	-187.5759466602245	-341.91325176870805	121.35744871217844	8.39	331.7001802473498
25	0.0	45.49173571451007	45.49173571451007	0.0	252.15576896395646	45.49173571451007	57.840280910213124	45.49173571451007	103.3320166247232	614.8595646345625	331.70018024735	-45.49173571451007	355.4877855886797	-45.49173571451007	-103.3320166247232	57.840280910213124	380.240976107487	-718.2476813866872	103.3320166247232	252.15576896395646	-57.840280910213124	331.7001802473498	103.3320166247232	103.3320166247232	718.2476813866872	57.840280910213124	125.03614699790342	45.49173571451007	-57.840280910213124	-57.840280910213124	395.8469861894133	45.49173571451007	-194.31548805374334	-380.18487598008556	177.74389279433984	-103.3320166247232	-45.49173571451007	103.3320166247232	-331.7001802473498	194.31548805374334	718.2476813866872	-776.0879622969003	380.18487598008556	-177.74389279433984	-219.01257844514913	103.3320166247232	8.39	331.7001802473498
26	-241.22337962726286	68.37295883513356	68.37295883513356	241.22337962726286	205.11887650540066	68.37295883513356	-241.22337962726286	68.37295883513356	68.37295883513356	834.4761673585114	331.70018024735	-68.37295883513356	273.49183534053424	-68.37295883513356	-68.37295883513356	0.0	160.62437338353837	-926.7275819069163	68.37295883513356	205.11887650540066	241.22337962726286	331.7001802473499	68.37295883513356	68.37295883513356	926.7275819069163	0.0	194.9542625770828	68.37295883513356	0.0	0.0	766.1032085233779	68.37295883513356	-205.1188765054007	-136.7459176702672	136.74591767026712	-68.37295883513356	-68.37295883513356	68.37295883513356	-331.7001802473499	205.1188765054007	926.7275819069163	-926.7275819069163	136.7459176702672	-136.74591767026712	-68.37295883513346	68.37295883513356	8.39	331.7001802473498
27	0.0	60.139746748840025	60.139746748840025	0.0	251.45824462898838	60.139746748840025	35.51950219123415	60.139746748840025	95.65924894007418	571.6130558665405	331.70018024735	-60.139746748840025	347.11749356906256	-60.139746748840025	-95.65924894007418	35.51950219123415	423.48748487550876	-792.8827852282731	95.65924894007418	251.45824462898838	-35.51950219123415	331.7001802473498	95.65924894007418	95.65924894007418	792.8827852282731	35.51950219123415	140.38168236720145	60.139746748840025	-35.51950219123415	-35.51950219123415	404.91480254399835	60.139746748840025	-215.93874243775423	-297.87700445385053	173.55874678453128	-95.65924894007418	-60.139746748840025	95.65924894007418	-331.7001802473498	215.93874243775423	792.8827852282731	-828.402287419507	297.87700445385053	-173.55874678453128	-166.6982533225422	95.65924894007418	8.39	331.7001802473498
28	0.0	30.970301691284874	30.970301691284874	0.0	252.84726582220532	30.970301691284874	79.96818037417535	30.970301691284874	110.93848206546022	657.7323698459895	331.70018024735	-30.970301691284874	363.78574788766554	-30.970301691284874	-110.93848206546022	79.96818037417535	337.36817089605984	-644.2575175540629	110.93848206546022	252.84726582220532	-79.96818037417535	331.7001802473498	110.93848206546022	110.93848206546022	644.2575175540629	79.96818037417535	109.82321611642936	30.970301691284874	-79.96818037417535	-79.96818037417535	386.8575270321785	30.970301691284874	-172.87908544802997	-461.7815052534466	181.89287394383277	-110.93848206546022	-30.970301691284874	110.93848206546022	-331.7001802473498	172.87908544802997	644.2575175540629	-724.2256979282383	461.7815052534466	-181.89287394383277	-270.87484281381103	110.93848206546022	8.39	331.7001802473498
29	-144.64285210051233	81.61912372041964	81.61912372041964	144.64285210051233	244.85737116125892	81.61912372041964	-144.64285210051233	81.61912372041964	81.61912372041964	744.9372334984141	360.53970790680654	-81.61912372041964	326.47649488167855	-81.61912372041964	-81.61912372041964	0.0	336.68189022200545	-1000.0	81.61912372041964	244.85737116125892	144.64285210051233	360.53970790680654	81.61912372041964	81.61912372041964	1000.0	0.0	197.3014604659673	81.61912372041964	0.0	0.0	663.3181097779946	81.61912372041964	-244.85737116125892	-163.2382474408393	163.23824744083927	-81.61912372041964	-81.61912372041964	81.61912372041964	-360.53970790680654	244.85737116125892	1000.0	-1000.0	163.2382474408393	-163.23824744083927	-81.61912372041957	81.61912372041964	8.39	360.53970790680654
30	-69.57055185923774	55.90528598107158	55.90528598107158	69.57055185923774	306.8569616616902	55.90528598107158	0.0	55.90528598107158	125.47583784030931	868.004673813117	421.5389805195949	-55.90528598107158	432.33279950199955	-55.90528598107158	-125.47583784030931	69.57055185923774	396.6122677456674	-930.4294481407622	125.47583784030931	306.8569616616902	0.0	421.5389805195949	125.47583784030931	125.47583784030931	930.4294481407622	69.57055185923774	170.58730483897622	55.90528598107158	-69.57055185923774	-69.57055185923774	603.3877322543326	55.90528598107158	-237.28640980245245	-459.66333125833165	216.16639975099977	-125.47583784030931	-55.90528598107158	125.47583784030931	-421.5389805195949	237.28640980245245	930.4294481407622	-1000.0	459.66333125833165	-216.16639975099977	-264.61694155878445	125.47583784030931	8.39	421.53898051959493
31	0.0	14.666424541899545	14.666424541899545	0.0	353.75381073160594	14.666424541899545	154.87726855295367	14.666424541899545	169.5436930948532	1000.0	463.1210281191013	-14.666424541899545	523.2975038264591	-14.666424541899545	-169.5436930948532	154.87726855295367	389.36308435730393	-755.1875856035891	169.5436930948532	353.75381073160594	-154.87726855295367	463.1210281191013	169.5436930948532	169.5436930948532	755.1875856035891	154.87726855295367	124.03364192939489	14.666424541899545	-154.87726855295367	-154.87726855295367	520.7017697992388	14.666424541899545	-198.8765421786523	-803.719191848568	261.64875191322955	-169.5436930948532	-14.666424541899545	169.5436930948532	-463.1210281191013	198.8765421786523	755.1875856035891	-910.0648541565428	803.719191848568	-261.64875191322955	-479.29823020076117	169.5436930948532	8.39	463.1210281191014
32	0.0	21.332053913704005	21.332053913704005	0.0	360.1357963003549	21.332053913704005	148.06981727962145	21.332053913704005	169.40187119332546	1000.0	471.91398601382235	-21.332053913704005	529.5376674936804	-21.332053913704005	-169.40187119332546	148.06981727962145	415.74195804146694	-802.1306350092773	169.40187119332546	360.1357963003549	-148.06981727962145	471.91398601382235	169.40187119332546	169.40187119332546	802.1306350092773	148.06981727962145	133.11024362717143	21.332053913704005	-148.06981727962145	-148.06981727962145	534.4584942474319	21.332053913704005	-212.0659790207335	-783.0131942255152	264.7688337468402	-169.40187119332546	-21.332053913704005	169.40187119332546	-471.91398601382235	212.0659790207335	802.1306350092773	-950.2004522888988	783.0131942255152	-264.7688337468402	-465.5415057525682	169.40187119332546	8.39	471.9139860138224
