	rxn01451	rxn10125	rxn01452	rxn05312	rxn05318	rJB00267	rxn37440	rxn05560	rxn00615	rxn00148	rxn00786	rxn00134	rxn01492	rxn05581	rxn00097	rxn00747	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00082_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00007_e	ATPM	DM_cpd00002_c
30	-629.4591371436888	-629.4591371436888	629.4591371436888	975.6512057155333	325.2170685718445	16.779999999999973	16.779999999999973	-8.389999999999986	-958.8712057155333	8.389999999999986	-8.389999999999986	325.2170685718445	-8.389999999999986	958.8712057155333	316.82706857184445	-8.389999999999986	975.6512057155333	-16.779999999999973	8.389999999999986	-325.2170685718445	8.389999999999986	958.8712057155333	-975.6512057155333	16.779999999999973	-8.389999999999986	8.39	325.21706857184427
31	-129.32178485530218	-129.32178485530218	129.32178485530218	225.44517728295332	75.14839242765106	16.779999999999973	16.779999999999973	-8.389999999999986	-208.66517728295332	8.389999999999986	-8.389999999999986	75.1483924276511	-8.389999999999986	208.66517728295332	66.7583924276511	-8.389999999999986	225.44517728295332	-16.779999999999973	8.389999999999986	-75.14839242765106	8.389999999999986	208.66517728295332	-225.44517728295332	16.779999999999973	-8.389999999999986	8.39	75.14839242765112
32	-260.98052195767565	-260.98052195767565	260.98052195767565	422.9332829365136	140.97776097883786	16.779999999999973	16.779999999999973	-8.389999999999986	-406.1532829365136	8.389999999999986	-8.389999999999986	140.97776097883786	-8.389999999999986	406.1532829365136	132.58776097883788	-8.389999999999986	422.9332829365136	-16.779999999999973	8.389999999999986	-140.97776097883786	8.389999999999986	406.1532829365136	-422.9332829365136	16.779999999999973	-8.389999999999986	8.39	140.97776097883815
33	-195.2662848156763	-195.2662848156763	195.2662848156763	324.3619272235144	108.1206424078382	16.779999999999973	16.779999999999973	-8.389999999999986	-307.5819272235144	8.389999999999986	-8.389999999999986	108.12064240783815	-8.389999999999986	307.5819272235144	99.73064240783815	-8.389999999999986	324.3619272235144	-16.779999999999973	8.389999999999986	-108.1206424078382	8.389999999999986	307.5819272235144	-324.3619272235144	16.779999999999973	-8.389999999999986	8.39	108.1206424078381
34	-162.34345200753424	-162.34345200753424	162.34345200753424	274.97767801130135	91.6592260037671	16.779999999999973	16.779999999999973	-8.389999999999986	-258.1976780113013	8.389999999999986	-8.389999999999986	91.65922600376712	-8.389999999999986	258.1976780113013	83.26922600376712	-8.389999999999986	274.97767801130135	-16.779999999999973	8.389999999999986	-91.6592260037671	8.389999999999986	258.1976780113013	-274.97767801130135	16.779999999999973	-8.389999999999986	8.39	91.65922600376712
35	-392.14666395767625	-392.14666395767625	392.14666395767625	619.6824959365143	206.5608319788381	16.779999999999973	16.779999999999973	-8.389999999999986	-602.9024959365144	8.389999999999986	-8.389999999999986	206.5608319788381	-8.389999999999986	602.9024959365144	198.17083197883812	-8.389999999999986	619.6824959365143	-16.779999999999973	8.389999999999986	-206.5608319788381	8.389999999999986	602.9024959365144	-619.6824959365143	16.779999999999973	-8.389999999999986	8.39	206.5608319788382
36	-145.84911277065513	-145.84911277065513	145.84911277065513	250.2361691559828	83.41205638532756	16.779999999999973	16.779999999999973	-8.389999999999986	-233.4561691559828	8.389999999999986	-8.389999999999986	83.41205638532756	-8.389999999999986	233.4561691559828	75.02205638532763	-8.389999999999986	250.2361691559828	-16.779999999999973	8.389999999999986	-83.41205638532756	8.389999999999986	233.4561691559828	-250.2361691559828	16.779999999999973	-8.389999999999986	8.39	83.41205638532765
37	-408.6080145160815	-408.6080145160815	408.6080145160815	644.3745217741223	214.79150725804084	16.779999999999973	16.779999999999973	-8.389999999999986	-627.5945217741223	8.389999999999986	-8.389999999999986	214.79150725804084	-8.389999999999986	627.5945217741223	206.4015072580408	-8.389999999999986	644.3745217741223	-16.779999999999973	8.389999999999986	-214.79150725804084	8.389999999999986	627.5945217741223	-644.3745217741223	16.779999999999973	-8.389999999999986	8.39	214.7915072580406
38	-277.44187251608145	-277.44187251608145	277.44187251608145	447.6253087741222	149.20843625804082	16.779999999999973	16.779999999999973	-8.389999999999986	-430.84530877412215	8.389999999999986	-8.389999999999986	149.20843625804082	-8.389999999999986	430.84530877412215	140.81843625804078	-8.389999999999986	447.6253087741222	-16.779999999999973	8.389999999999986	-149.20843625804082	8.389999999999986	430.84530877412215	-447.6253087741222	16.779999999999973	-8.389999999999986	8.39	149.20843625804048
39	-425.0365080873445	-425.0365080873445	425.0365080873445	669.0172621310168	223.00575404367225	16.779999999999973	16.779999999999973	-8.389999999999986	-652.2372621310168	8.389999999999986	-8.389999999999986	223.00575404367225	-8.389999999999986	652.2372621310168	214.61575404367227	-8.389999999999986	669.0172621310168	-16.779999999999973	8.389999999999986	-223.00575404367225	8.389999999999986	652.2372621310168	-669.0172621310168	16.779999999999973	-8.389999999999986	8.39	223.00575404367243
40	-228.1561289453447	-228.1561289453447	228.1561289453447	373.69669341801705	124.56556447267232	16.779999999999973	16.779999999999973	-8.389999999999986	-356.9166934180171	8.389999999999986	-8.389999999999986	124.56556447267235	-8.389999999999986	356.9166934180171	116.17556447267235	-8.389999999999986	373.69669341801705	-16.779999999999973	8.389999999999986	-124.56556447267232	8.389999999999986	356.9166934180171	-373.69669341801705	16.779999999999973	-8.389999999999986	8.39	124.56556447267239
41	-178.80480256593967	-178.80480256593967	178.80480256593967	299.6697038489094	99.88990128296984	16.779999999999973	16.779999999999973	-8.389999999999986	-282.88970384890945	8.389999999999986	-8.389999999999986	99.88990128296984	-8.389999999999986	282.88970384890945	91.49990128296982	-8.389999999999986	299.6697038489094	-16.779999999999973	8.389999999999986	-99.88990128296984	8.389999999999986	282.88970384890945	-299.6697038489094	16.779999999999973	-8.389999999999986	8.39	99.88990128296976
