	rxn10158	rxn05312	rxn05318	rxn05561	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
48	-555.0781120411152	776.8228907488972	333.33333333333337	555.0781120411152	223.17710925110282	-1000.0	231.5671092511028	231.5671092511028	333.33333333333337	-231.5671092511028	1000.0	101.76622408223054	231.5671092511028	776.8228907488972	0.0	-333.33333333333337	1000.0	-1000.0	0.0	0.0	0.0	8.39	333.33333333333326
49	-317.87357499999985	248.8470274288903	209.11905000000002	317.87357499999985	378.51012257110966	-805.1382225711096	209.11905	209.11905	209.11905	-209.11905	805.1382225711096	0.0	209.11905	426.6281	177.78107257110966	-209.11905000000002	805.1382225711096	-805.1382225711096	177.78107257110946	-177.78107257110966	177.7810725711097	8.39	209.11904999999996
50	-651.2637233870919	976.8955850806378	325.63186169354594	651.2637233870919	0.0	-976.8955850806378	8.39	8.39	325.63186169354594	-8.39	976.8955850806378	317.24186169354596	8.39	976.8955850806378	0.0	-325.63186169354594	976.8955850806378	-976.8955850806378	0.0	0.0	0.0	8.39	325.63186169354594
51	-561.5990681250673	842.398602187601	280.79953406253367	561.5990681250673	0.0	-842.398602187601	8.39	8.39	280.79953406253367	-8.39	842.398602187601	272.4095340625337	8.39	842.398602187601	0.0	-280.79953406253367	842.398602187601	-842.398602187601	0.0	0.0	0.0	8.39	280.79953406253367
52	-647.1817969334354	1000.0	352.8182030665645	647.1817969334354	58.45460919969344	-1000.0	125.29921839938686	125.29921839938686	352.8182030665645	-125.29921839938686	1000.0	227.51898466717762	125.29921839938686	941.5453908003066	-58.45460919969344	-352.8182030665645	1000.0	-1000.0	-58.45460919969355	58.45460919969344	-58.45460919969344	8.39	352.8182030665645
53	-317.87357499999996	151.7411161962216	209.11905	317.87357499999996	475.6160338037783	-902.2441338037783	209.11905	209.11905	209.11905	-209.11905	902.2441338037783	0.0	209.11905	426.6281	274.8869838037783	-209.11905	902.2441338037783	-902.2441338037783	274.8869838037783	-274.8869838037783	274.88698380377843	8.39	209.11904999999996
54	-616.9582380851883	1000.0	383.0417619148118	616.9582380851883	149.12528574443533	-1000.0	306.64057148887065	306.64057148887065	383.0417619148118	-306.64057148887065	1000.0	76.40119042594114	306.64057148887065	850.8747142555646	-149.1252857444353	-383.0417619148118	1000.0	-1000.0	-149.12528574443536	149.1252857444353	-149.1252857444353	8.39	383.04176191481173
55	-456.07582701837396	684.113740527561	228.03791350918704	456.07582701837396	0.0	-684.113740527561	8.389999999999986	8.389999999999986	228.03791350918704	-8.389999999999986	684.113740527561	219.64791350918705	8.389999999999986	684.113740527561	0.0	-228.03791350918704	684.113740527561	-684.113740527561	0.0	0.0	0.0	8.39	228.03791350918698
56	-317.87357499999996	411.6168073093275	209.11905000000002	317.87357499999996	215.74034269067243	-642.3684426906724	209.11905	209.11905	209.11905	-209.11905	642.3684426906724	0.0	209.11905	426.6281	15.011292690672434	-209.11905000000002	642.3684426906724	-642.3684426906724	15.011292690672121	-15.011292690672434	15.011292690672576	8.39	209.11904999999996
57	-593.5799287293582	776.5447861880755	294.69246436467915	593.5799287293582	107.53260690596228	-1000.0	0.0	0.0	294.6924643646792	0.0	1000.0	294.6924643646792	0.0	892.4673930940377	115.92260690596228	-294.69246436467915	1000.0	-999.9999999999999	115.92260690596187	-115.92260690596228	115.92260690596227	8.39	294.6924643646793
