	rxn10125	rxn00779	rxn13726	rxn08094	rxn00184	rxn05312	rxn05318	rxn10154	rxn10113	rxn00285	rxn05307	rxn00165	rxn08556	rxn01639	rxn05158	rxn00615	rxn00148	rxn10042	rxn00250	rxn00134	rxn00102	rxn05559	rxn00374	rxn05581	rxn00459	rxn00251	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn05467	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00001_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
20	-110.41152962760125	73.60768641840083	147.21537283680166	36.803843209200416	36.803843209200416	579.3902102774731	340.70586995253717	-36.803843209200416	220.8230592552025	-36.803843209200416	-73.60768641840083	-73.60768641840083	73.60768641840083	36.803843209200416	442.72739958013847	-874.9022370208099	340.70586995253717	147.21537283680166	267.09818353413635	340.70586995253717	-267.09818353413635	-36.803843209200416	36.803843209200416	874.9022370208099	73.60768641840083	267.09818353413635	-73.60768641840083	36.803843209200416	36.803843209200416	-36.803843209200416	-73.60768641840083	505.78252385907234	-36.80384320920041	-73.60768641840082	110.41152962760125	-340.70586995253717	36.80384320920041	874.9022370208099	-948.5099234392108	73.60768641840082	73.60768641840083	-110.41152962760125	-73.60768641840077	36.803843209200416	-36.803843209200416	8.39	36.803843209200416	340.70586995253717
21	-66.73963688617741	44.4930912574516	88.9861825149032	22.2465456287258	22.2465456287258	351.32588151670427	204.83775920144083	-22.2465456287258	133.47927377235482	-22.2465456287258	-44.4930912574516	-44.4930912574516	44.4930912574516	22.2465456287258	263.18739608761825	-525.5270950894194	204.83775920144083	88.9861825149032	160.34466794398924	204.83775920144083	-160.34466794398924	-22.2465456287258	22.2465456287258	525.5270950894194	44.4930912574516	160.34466794398924	-44.4930912574516	22.2465456287258	22.2465456287258	-22.2465456287258	-44.4930912574516	306.8327902592527	-22.246545628725812	-44.49309125745157	66.73963688617741	-204.83775920144083	22.246545628725812	525.5270950894194	-570.020186346871	44.49309125745157	44.4930912574516	-66.73963688617741	-44.49309125745158	22.2465456287258	-22.2465456287258	8.39	22.2465456287258	204.8377592014409
22	-58.7863475500796	39.19089836671973	78.38179673343946	19.595449183359865	19.595449183359865	309.7920372059712	180.0941923780254	-19.595449183359865	117.5726951001592	-19.595449183359865	-39.19089836671973	-39.19089836671973	39.19089836671973	19.595449183359865	230.49053992810502	-461.9007804006368	180.0941923780254	78.38179673343946	140.9032940113057	180.0941923780254	-140.9032940113057	-19.595449183359865	19.595449183359865	461.9007804006368	39.19089836671973	140.9032940113057	-39.19089836671973	19.595449183359865	19.595449183359865	-19.595449183359865	-39.19089836671973	270.6011388392515	-19.595449183359875	-39.19089836671969	58.7863475500796	-180.0941923780254	19.595449183359875	461.9007804006368	-501.09167876735654	39.19089836671969	39.19089836671973	-58.7863475500796	-39.19089836671971	19.595449183359865	-19.595449183359865	8.39	19.595449183359865	180.0941923780254
23	-90.50438266552683	60.336255110351225	120.67251022070245	30.168127555175612	30.168127555175612	475.4306650310846	278.7725238483057	-30.168127555175612	181.00876533105367	-30.168127555175612	-60.336255110351225	-60.336255110351225	60.336255110351225	30.168127555175612	360.88690651383257	-715.6450613242148	278.7725238483057	120.67251022070245	218.43626873795446	278.7725238483057	-218.43626873795446	-30.168127555175612	30.168127555175612	715.6450613242148	60.336255110351225	218.43626873795446	-60.336255110351225	30.168127555175612	30.168127555175612	-30.168127555175612	-60.336255110351225	415.09440992073337	-30.1681275551756	-60.33625511035123	90.50438266552683	-278.7725238483057	30.1681275551756	715.6450613242148	-775.981316434566	60.33625511035123	60.336255110351225	-90.50438266552683	-60.33625511035119	30.168127555175612	-30.168127555175612	8.39	30.168127555175612	278.7725238483058
24	-78.59824503007299	52.398830020048656	104.79766004009733	26.19941501002433	26.19941501002433	413.25416849038106	241.73120676022708	-26.19941501002433	157.19649006014598	-26.19941501002433	-52.39883002004866	-52.39883002004866	52.398830020048656	26.19941501002433	311.93945179030015	-620.395960240584	241.73120676022708	104.79766004009733	189.3323767401784	241.73120676022708	-189.3323767401784	-26.19941501002433	26.19941501002433	620.395960240584	52.398830020048656	189.3323767401784	-52.398830020048656	26.19941501002433	26.19941501002433	-26.19941501002433	-52.398830020048656	360.8553384703325	-26.199415010024325	-52.39883002004859	78.59824503007299	-241.73120676022708	26.199415010024325	620.395960240584	-672.7947902606327	52.39883002004859	52.39883002004866	-78.59824503007299	-52.398830020048536	26.19941501002433	-26.19941501002433	8.39	26.19941501002433	241.73120676022714
25	-102.4661776742611	68.31078511617407	136.62157023234815	34.15539255808704	34.15539255808704	537.8978167433635	315.98699720881234	-34.15539255808704	204.9323553485222	-34.15539255808704	-68.31078511617407	-68.31078511617407	68.31078511617407	34.15539255808704	410.0631748830735	-811.3394213940888	315.98699720881234	136.62157023234815	247.67621209263825	315.98699720881234	-247.67621209263825	-34.15539255808704	34.15539255808704	811.3394213940888	68.31078511617407	247.67621209263825	-68.31078511617407	34.15539255808704	34.15539255808704	-34.15539255808704	-68.31078511617407	469.5870316271895	-34.15539255808704	-68.31078511617403	102.4661776742611	-315.98699720881234	34.15539255808704	811.3394213940888	-879.6502065102629	68.31078511617403	68.31078511617407	-102.4661776742611	-68.31078511617397	34.15539255808704	-34.15539255808704	8.39	34.15539255808704	315.98699720881234
26	-74.64539673071664	49.763597820477756	99.52719564095551	24.881798910238878	24.881798910238878	392.6115162604091	229.43345649556284	-24.881798910238878	149.29079346143328	-24.881798910238878	-49.763597820477756	-49.763597820477756	49.763597820477756	24.881798910238878	295.6888532262795	-588.773173845733	229.43345649556284	99.52719564095551	179.6698586750851	229.43345649556284	-179.6698586750851	-24.881798910238878	24.881798910238878	588.773173845733	49.763597820477756	179.6698586750851	-49.763597820477756	24.881798910238878	24.881798910238878	-24.881798910238878	-49.763597820477756	342.84791843993133	-24.88179891023887	-49.7635978204778	74.64539673071664	-229.43345649556284	24.88179891023887	588.773173845733	-638.5367716662108	49.7635978204778	49.763597820477756	-74.64539673071664	-49.76359782047772	24.881798910238878	-24.881798910238878	8.39	24.881798910238878	229.43345649556284
27	-82.56693640878584	55.04462427252389	110.08924854504778	27.522312136261945	27.522312136261945	433.9795568014371	254.07824660511145	-27.522312136261945	165.13387281757167	-27.522312136261945	-55.04462427252389	-55.04462427252389	55.04462427252389	27.522312136261945	328.25518301389724	-652.1454912702866	254.07824660511145	110.08924854504778	199.03362233258756	254.07824660511145	-199.03362233258756	-27.522312136261945	27.522312136261945	652.1454912702866	55.04462427252389	199.03362233258756	-55.04462427252389	27.522312136261945	27.522312136261945	-27.522312136261945	-55.04462427252389	378.93493252891324	-27.522312136261945	-55.04462427252391	82.56693640878584	-254.07824660511145	27.522312136261945	652.1454912702866	-707.1901155428104	55.04462427252391	55.04462427252389	-82.56693640878584	-55.04462427252389	27.522312136261945	-27.522312136261945	8.39	27.522312136261945	254.0782466051114
28	-54.8255935541241	36.5503957027494	73.1007914054988	18.2751978513747	18.2751978513747	289.10809967153705	167.7718466128305	-18.2751978513747	109.6511871082482	-18.2751978513747	-36.5503957027494	-36.5503957027494	36.5503957027494	18.2751978513747	214.20744016695448	-430.21474843299256	167.7718466128305	73.1007914054988	131.2214509100811	167.7718466128305	-131.2214509100811	-18.2751978513747	18.2751978513747	430.21474843299256	36.5503957027494	131.2214509100811	-36.5503957027494	18.2751978513747	18.2751978513747	-18.2751978513747	-36.5503957027494	252.5577039687875	-18.275197851374685	-36.55039570274949	54.8255935541241	-167.7718466128305	18.275197851374685	430.21474843299256	-466.765144135742	36.55039570274949	36.5503957027494	-54.8255935541241	-36.55039570274954	18.2751978513747	-18.2751978513747	8.39	18.2751978513747	167.77184661283047
29	-114.38022100631368	76.25348067087579	152.5069613417516	38.126740335437894	38.126740335437894	600.1155985885271	353.0529097974204	-38.126740335437894	228.76044201262738	-38.126740335437894	-76.25348067087579	-76.25348067087579	76.25348067087579	38.126740335437894	459.0431308037341	-906.6517680505095	353.0529097974204	152.5069613417516	276.7994291265446	353.0529097974204	-276.7994291265446	-38.126740335437894	38.126740335437894	906.6517680505095	76.25348067087579	276.7994291265446	-76.25348067087579	38.126740335437894	38.126740335437894	-38.126740335437894	-76.25348067087579	523.8621179176512	-38.12674033543789	-76.25348067087579	114.38022100631369	-353.0529097974204	38.12674033543789	906.6517680505095	-982.9052487213853	76.25348067087579	76.25348067087579	-114.38022100631369	-76.25348067087589	38.126740335437894	-38.126740335437894	8.39	38.126740335437894	353.0529097974203
