	rxn00872	rxn01387	rxn00616	rJB00264	rxn00781	rxn00199	rxn00154	rxn01802	rxn00184	rxn10074	rxn05312	rxn05318	rxn00256	rJB00267	rxn00974	rxn00973	rxn05307	rxn00165	rxn01639	rxn05158	rxn00615	rxn00148	rJB00271	rxn05466	rxn10042	rxn01100	rxn12788	rxn09566	rxn00208	rxn00134	rxn05559	rxn00374	rxn05581	rxn00459	rxn00251	rxn00014	rxn00747	rxn01642	rxn12604	rxn02085	rxn01106	rxn10165	rxn00124	rxn01807	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00054_e	EX_cpd00013_e	EX_cpd00007_e	EX_cpd00009_e	rxn13837	rxn01730	EX_cpd00331_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	EX_cpd00379_e	rxn00178	DM_cpd00002_c
10	293.6715017224111	-312.47474397156105	293.6715017224111	249.89897588624427	293.6715017224111	-312.47474397156105	249.89897588624427	-293.6715017224111	312.47474397156105	-293.6715017224111	893.3465878429673	631.1155292809891	337.44402755857794	47.31051205687788	-24.96928358701689	-312.47474397156105	-381.21655339474484	-381.21655339474484	312.47474397156105	1000.0	-599.6750861205562	631.1155292809891	202.5884638293664	-243.73293454837727	452.48743971561066	-293.6715017224111	24.96928358701689	67.52948794312213	67.52948794312213	631.1155292809891	-312.47474397156105	312.47474397156105	599.6750861205562	293.6715017224111	337.44402755857794	202.5884638293664	-293.6715017224111	312.47474397156105	312.47474397156105	-312.47474397156105	-293.6715017224111	-106.65341215703268	-67.52948794312213	67.52948794312213	18.803242249149946	124.94948794312214	-631.1155292809891	-18.803242249149946	599.6750861205562	-893.3465878429673	-731.2977818646058	381.21655339474484	243.73293454837727	-124.94948794312214	-1000.0	-293.6715017224111	-293.6715017224111	-24.96928358701689	-312.47474397156105	8.39	312.47474397156105	293.6715017224111	293.6715017224111	631.1155292809891
11	293.19762314406404	-314.1333189957759	293.19762314406404	256.5332759831036	293.19762314406404	-314.1333189957759	256.53327598310364	-293.19762314406404	314.1333189957759	-293.19762314406404	869.1787803472655	623.0595934490884	329.86197030502444	43.99336200844823	-15.728651309248562	-314.1333189957759	-366.5263174659848	-366.5263174659848	314.1333189957759	1000.0	-575.9811572032015	623.0595934490884	212.53991397465535	-261.740320525567	469.0731899577589	-293.19762314406404	15.728651309248562	70.84663799155179	70.84663799155179	623.0595934490884	-314.1333189957759	314.1333189957759	575.9811572032015	293.197623144064	329.86197030502444	212.53991397465535	-293.19762314406404	314.1333189957759	314.1333189957759	-314.1333189957759	-293.197623144064	-130.8212196527345	-70.84663799155179	70.84663799155179	20.93569585171184	128.2666379915518	-623.0595934490884	-20.93569585171184	575.9811572032015	-869.1787803472655	-722.5310281651846	366.5263174659848	261.740320525567	-128.2666379915518	-1000.0	-293.19762314406404	-293.19762314406404	-15.728651309248562	-314.1333189957759	8.39	314.1333189957759	293.19762314406404	293.19762314406404	623.0595934490885
12	264.92769800862953	-264.92769800862953	264.92769800862953	167.17885429804224	264.92769800862953	-264.92769800862953	167.17885429804224	-264.92769800862953	264.92769800862953	-264.92769800862953	1000.0	627.6042397278463	362.67654171921686	70.7592291403916	-97.74884371058732	-264.92769800862953	-460.4253854298041	-460.4253854298041	264.92769800862953	882.8127191835392	-725.3530834384336	627.6042397278463	96.41962515765064	-69.43001058745494	263.5984794556929	-264.92769800862953	97.74884371058732	32.13987505255022	32.13987505255022	627.6042397278463	-264.92769800862953	264.92769800862953	725.3530834384336	264.92769800862953	362.67654171921686	96.41962515765064	-264.92769800862953	264.92769800862953	264.92769800862953	-264.92769800862953	-264.92769800862953	107.4680622635239	-32.13987505255022	32.13987505255022	0.0	83.58942714902113	-627.6042397278463	0.0	725.3530834384336	-990.2807814470632	-725.3530834384336	460.4253854298041	69.43001058745494	-83.58942714902113	-892.531937736476	-264.92769800862953	-264.92769800862953	-97.74884371058732	-264.92769800862953	8.39	264.92769800862953	264.92769800862953	264.92769800862953	627.6042397278463
13	257.51788873387846	-257.51788873387846	257.51788873387846	156.59341247696938	257.51788873387846	-257.51788873387846	156.59341247696938	-257.51788873387846	257.51788873387846	-257.51788873387846	1000.0	615.9602537246662	358.44236499078755	72.87631750460628	-100.92447625690909	-257.51788873387846	-459.36684124769687	-459.36684124769687	257.51788873387846	847.8807611739986	-716.8847299815754	615.9602537246662	83.7170949723631	-55.66893622006006	240.31050744933248	-257.51788873387846	100.92447625690909	27.905698324121033	27.905698324121033	615.9602537246662	-257.51788873387846	257.51788873387846	716.8847299815754	257.51788873387846	358.44236499078755	83.7170949723631	-257.51788873387846	257.51788873387846	257.51788873387846	-257.51788873387846	-257.51788873387846	126.52185754145529	-27.905698324121033	27.905698324121033	0.0	78.29670623848469	-615.9602537246662	0.0	716.8847299815754	-974.4026187154539	-716.8847299815752	459.36684124769687	55.66893622006006	-78.29670623848469	-873.4781424585447	-257.51788873387846	-257.51788873387846	-100.92447625690909	-257.51788873387846	8.39	257.51788873387846	257.51788873387846	257.51788873387846	615.9602537246662
14	283.8216163921568	-288.94957462745083	283.8216163921568	199.29812450980376	283.8216163921568	-288.94957462745083	199.29812450980376	-283.8216163921568	288.94957462745083	-283.8216163921568	1000.0	652.1667246666665	368.3451082745098	65.36096674509827	-79.39553364705898	-288.94957462745083	-452.8686001568627	-452.8686001568627	288.94957462745083	956.5001739999996	-716.1783836078432	652.1667246666665	133.9371577647055	-125.03054909803893	333.23528227450925	-283.8216163921568	79.39553364705898	44.64571925490183	44.64571925490183	652.1667246666665	-288.94957462745083	288.94957462745083	716.1783836078432	283.8216163921568	368.3451082745098	133.9371577647055	-283.8216163921568	288.94957462745083	288.94957462745083	-288.94957462745083	-283.8216163921568	43.4998260000004	-44.64571925490183	44.64571925490183	5.127958235294045	99.64906225490188	-652.1667246666665	-5.127958235294045	716.1783836078432	-1000.0	-752.0740912549012	452.8686001568627	125.03054909803893	-99.64906225490188	-956.5001739999996	-283.8216163921568	-283.8216163921568	-79.39553364705898	-288.94957462745083	8.39	288.94957462745083	283.8216163921568	283.8216163921568	652.1667246666665
15	277.8629931679214	-280.8628716802743	277.8629931679214	188.65772589509766	277.8629931679214	-280.8628716802743	188.65772589509766	-277.8629931679214	280.8628716802743	-277.8629931679214	1000.0	644.9312536086665	367.0682604407451	67.06343052345079	-86.20538876047084	-280.8628716802743	-456.2735277135688	-456.2735277135688	280.8628716802743	934.7937608259995	-722.1370068320787	644.9312536086665	121.59429537164687	-105.45221564697977	310.2520212667445	-277.8629931679214	86.20538876047084	40.53143179054896	40.53143179054896	644.9312536086665	-280.8628716802743	280.8628716802743	722.1370068320787	277.8629931679214	367.0682604407451	121.59429537164687	-277.8629931679214	280.8628716802743	280.8628716802743	-280.8628716802743	-277.8629931679214	65.20623917400053	-40.53143179054896	40.53143179054896	2.9998785123528933	94.32886294754883	-644.9312536086665	-2.9998785123528933	722.1370068320787	-1000.0	-743.1361564185491	456.2735277135688	105.45221564697977	-94.32886294754883	-934.7937608259995	-277.8629931679214	-277.8629931679214	-86.20538876047084	-280.8628716802743	8.39	280.8628716802743	277.8629931679214	277.8629931679214	644.9312536086665
16	268.91121602592443	-294.1086031142818	268.91121602592443	198.06698141110667	268.91121602592443	-294.1086031142818	198.06698141110667	-268.91121602592443	294.1086031142818	-268.91121602592443	1000.0	608.666666666667	339.7554506407422	69.62108113545031	-45.64684752646042	-294.1086031142818	-410.59968525555996	-410.59968525555996	294.1086031142818	826.0	-578.7213529280548	608.6666666666666	128.44590027565636	-177.6175209730036	326.512881686763	-268.91121602592443	45.64684752646042	42.815300091885454	42.815300091885454	608.6666666666666	-294.1086031142818	294.1086031142818	578.7213529280548	268.91121602592443	339.7554506407422	128.44590027565636	-268.91121602592443	294.1086031142818	294.1086031142818	-294.1086031142818	-268.91121602592443	21.632568953979217	-42.815300091885454	42.815300091885454	25.197387088357345	99.03349070555333	-608.666666666667	-25.197387088357345	578.7213529280548	-847.6325689539792	-755.1030625465564	410.59968525555996	177.6175209730036	-99.03349070555333	-978.3674310460208	-268.91121602592443	-268.91121602592443	-45.64684752646042	-294.1086031142818	8.39	294.1086031142818	268.91121602592443	268.91121602592443	608.6666666666666
17	254.342396388597	-248.94206176547684	254.342396388597	146.65666021773274	254.342396388597	-248.94206176547684	146.65666021773274	-254.342396388597	248.94206176547684	-254.342396388597	1000.0	616.3705289480582	362.02813255946126	73.78360103182942	-113.08607079398442	-248.94206176547684	-469.7138687303255	-469.7138687303255	248.94206176547684	849.1115868441748	-745.657603611403	616.3705289480582	72.87305918590332	-28.17025480062813	219.52971940363605	-254.342396388597	113.08607079398442	24.29101972863444	24.29101972863444	616.3705289480582	-248.94206176547684	248.94206176547684	745.657603611403	254.342396388597	362.02813255946126	72.87305918590332	-254.342396388597	248.94206176547684	248.94206176547684	-248.94206176547684	-254.342396388597	150.88841315582522	-24.29101972863444	24.29101972863444	-5.400334623120187	73.32833010886637	-616.3705289480582	5.400334623120187	745.657603611403	-1000.0	-707.8552612495623	469.7138687303255	28.17025480062813	-73.32833010886637	-849.1115868441748	-254.342396388597	-254.342396388597	-113.08607079398442	-248.94206176547684	8.39	248.94206176547684	254.342396388597	254.342396388597	616.3705289480582
18	290.51758341700514	-298.03695844688787	290.51758341700514	211.2552084827472	290.51758341700514	-298.03695844688787	211.2552084827472	-290.51758341700514	298.03695844688787	-290.51758341700514	1000.0	660.2975417682682	369.779958351263	63.44783330942727	-71.74299990437515	-298.03695844688787	-449.04233328552095	-449.04233328552095	298.03695844688787	980.8926253048043	-709.4824165829949	660.2975417682682	147.80737517331994	-147.03158360825478	359.06258365606715	-290.51758341700514	71.74299990437515	49.269125057773316	49.269125057773316	660.2975417682682	-298.03695844688787	298.03695844688787	709.4824165829949	290.51758341700514	369.779958351263	147.80737517331994	-290.51758341700514	298.03695844688787	298.03695844688787	-298.03695844688787	-290.51758341700514	19.107374695195745	-49.269125057773316	49.269125057773316	7.519375029882781	105.6276042413736	-660.2975417682682	-7.519375029882781	709.4824165829949	-1000.0	-762.1180417921739	449.04233328552095	147.03158360825478	-105.6276042413736	-980.8926253048043	-290.51758341700514	-290.51758341700514	-71.74299990437515	-298.03695844688787	8.39	298.03695844688787	290.51758341700514	290.5175834170051	660.297541768268
19	273.2695528833942	-273.2695528833942	273.2695528833942	183.17388220848545	273.2695528833942	-273.2695528833942	183.17388220848545	-273.2695528833942	273.2695528833942	-273.2695528833942	980.9689022496955	636.6347764416972	363.365223558303	65.65711378327228	-90.09567067490877	-273.2695528833942	-453.4608942332118	-453.4608942332118	273.2695528833942	928.9354270753958	-726.7304471166058	636.6347764416972	117.51676842521317	-93.07821153357668	300.6906506336986	-273.2695528833942	90.09567067490877	39.172256141737726	39.172256141737726	636.6347764416972	-273.2695528833942	273.2695528833942	726.7304471166058	273.2695528833942	363.365223558303	117.51676842521317	-273.2695528833942	273.2695528833942	273.2695528833942	-273.2695528833942	-273.2695528833942	71.06457292460425	-39.172256141737726	39.172256141737726	0.0	91.58694110424273	-636.6347764416972	0.0	726.7304471166058	-1000.0	-726.730447116606	453.4608942332118	93.07821153357668	-91.58694110424273	-909.9043293250912	-273.2695528833942	-273.2695528833942	-90.09567067490877	-273.2695528833942	8.39	273.2695528833942	273.2695528833942	273.2695528833942	636.634776441697
20	289.54192085353645	-304.2667029790766	289.54192085353645	217.0668119163065	289.54192085353645	-304.2667029790766	217.0668119163065	-289.54192085353645	304.2667029790766	-289.54192085353645	1000.0	651.5589506443029	362.0170297907664	63.726594041846624	-57.750326811689774	-304.2667029790766	-434.49213872799635	-434.49213872799635	304.2667029790766	954.6768519329084	-665.134931079372	651.5589506443029	153.34021787445988	-174.0412672301569	370.4070297907664	-289.54192085353645	57.750326811689774	51.113405958153294	51.113405958153294	651.5589506443029	-304.2667029790766	304.2667029790766	665.134931079372	289.54192085353645	362.0170297907664	153.34021787445988	-289.54192085353645	304.2667029790766	304.2667029790766	-304.2667029790766	-289.54192085353645	0.0	-51.113405958153294	51.113405958153294	14.724782125540173	108.53340595815325	-651.5589506443029	-14.724782125540173	665.134931079372	-954.6768519329084	-768.2084059581535	434.49213872799635	174.0412672301569	-108.53340595815325	-1000.0	-289.54192085353645	-289.54192085353645	-57.750326811689774	-304.2667029790766	8.39	304.2667029790766	289.54192085353645	289.54192085353645	651.5589506443026
