	rxn10125	rxn00083	rxn10158	rxn05312	rxn05318	rJB00240	rxn01639	rxn00615	rxn00148	rxn05466	rxn00250	rxn00134	rxn00102	rxn05559	rxn05298	rxn00374	rxn05581	rxn00251	rxn01642	rxn12604	rxn02085	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00023_e	EX_cpd00013_e	EX_cpd00009_e	EX_cpd00581_e	ATPM	EX_cpd00047_e	DM_cpd00002_c
10	-181.50531285660594	-181.50531285660594	-36.60562507924577	464.4375009509492	154.81250031698306	36.60562507924577	36.60562507924577	-318.0150006339661	154.81250031698306	-36.60562507924577	154.81250031698306	154.81250031698306	-154.81250031698306	-36.60562507924577	-36.60562507924577	36.60562507924577	318.0150006339661	154.81250031698306	36.60562507924577	36.60562507924577	-36.60562507924577	318.0150006339661	-154.81250031698306	318.0150006339661	-318.0150006339661	-146.42250031698305	36.60562507924577	36.60562507924577	-146.42250031698308	-36.60562507924577	8.39	36.60562507924577	154.81250031698306
11	-226.0365628558934	-226.0365628558934	-46.501458412420774	583.1875009490492	194.39583364968306	46.501458412420774	46.501458412420774	-397.18166729936615	194.39583364968306	-46.50145841242079	194.39583364968306	194.39583364968306	-194.39583364968306	-46.50145841242079	-46.501458412420774	46.50145841242079	397.18166729936615	194.39583364968306	46.501458412420774	46.501458412420774	-46.501458412420774	397.18166729936615	-194.39583364968306	397.18166729936615	-397.18166729936615	-186.00583364968304	46.501458412420774	46.50145841242079	-186.00583364968304	-46.501458412420774	8.39	46.50145841242079	194.39583364968308
12	-92.53240937464349	-92.53240937464349	-16.833868749920775	227.17642499904932	75.7254749996831	16.833868749920775	16.833868749920775	-159.84094999936622	75.7254749996831	-16.833868749920775	75.7254749996831	75.7254749996831	-75.7254749996831	-16.833868749920775	-16.833868749920775	16.833868749920775	159.84094999936622	75.7254749996831	16.833868749920775	16.833868749920775	-16.833868749920775	159.84094999936622	-75.7254749996831	159.84094999936622	-159.84094999936622	-67.33547499968309	16.833868749920775	16.833868749920775	-67.3354749996831	-16.833868749920775	8.39	16.833868749920775	75.72547499968312
13	-136.9744191058935	-136.9744191058935	-26.709870912420776	345.6884509490493	115.2294836496831	26.709870912420776	26.709870912420776	-238.84896729936622	115.2294836496831	-26.70987091242077	115.2294836496831	115.2294836496831	-115.2294836496831	-26.70987091242077	-26.709870912420776	26.70987091242077	238.84896729936622	115.2294836496831	26.709870912420776	26.709870912420776	-26.709870912420776	238.84896729936622	-115.2294836496831	238.84896729936622	-238.84896729936622	-106.83948364968307	26.709870912420776	26.70987091242077	-106.83948364968307	-26.709870912420776	8.39	26.70987091242077	115.22948364968312
14	-48.179283662855966	-48.179283662855966	-6.977618591745769	108.90142310094924	36.30047436698308	6.977618591745769	6.977618591745769	-80.99094873396616	36.30047436698308	-6.977618591745769	36.30047436698308	36.30047436698308	-36.30047436698308	-6.977618591745769	-6.977618591745769	6.977618591745769	80.99094873396616	36.30047436698308	6.977618591745769	6.977618591745769	-6.977618591745769	80.99094873396616	-36.30047436698308	80.99094873396616	-80.99094873396616	-27.910474366983085	6.977618591745769	6.977618591745769	-27.91047436698308	-6.977618591745769	8.39	6.977618591745769	36.30047436698308
15	-371.09666317098424	-371.09666317098424	-78.73703626021873	970.0144351226247	323.3381450408749	78.73703626021873	78.73703626021873	-655.0662900817498	323.3381450408749	-78.73703626021873	323.3381450408749	323.3381450408749	-323.3381450408749	-78.73703626021873	-78.73703626021873	78.73703626021873	655.0662900817498	323.3381450408749	78.73703626021873	78.73703626021873	-78.73703626021873	655.0662900817498	-323.3381450408749	655.0662900817498	-655.0662900817498	-314.94814504087503	78.73703626021873	78.73703626021873	-314.9481450408749	-78.73703626021873	8.39	78.73703626021873	323.3381450408749
16	-348.6972666533036	-348.6972666533036	-73.75939258962303	910.2827110754763	303.4275703584921	73.75939258962303	73.75939258962303	-615.2451407169842	303.4275703584921	-73.75939258962303	303.4275703584921	303.4275703584921	-303.4275703584921	-73.75939258962303	-73.75939258962303	73.75939258962303	615.2451407169842	303.4275703584921	73.75939258962303	73.75939258962303	-73.75939258962303	615.2451407169842	-303.4275703584921	615.2451407169842	-615.2451407169842	-295.03757035849213	73.75939258962303	73.75939258962303	-295.0375703584921	-73.75939258962303	8.39	73.75939258962303	303.4275703584921
17	-326.38728888419644	-326.38728888419644	-68.80161975204366	850.789437024524	283.59647900817464	68.80161975204366	68.80161975204366	-575.5829580163493	283.59647900817464	-68.80161975204366	283.59647900817464	283.59647900817464	-283.59647900817464	-68.80161975204366	-68.80161975204366	68.80161975204366	575.5829580163493	283.59647900817464	68.80161975204366	68.80161975204366	-68.80161975204366	575.5829580163493	-283.59647900817464	575.5829580163493	-575.5829580163493	-275.2064790081747	68.80161975204366	68.80161975204366	-275.20647900817465	-68.80161975204366	8.39	68.80161975204366	283.59647900817464
18	-281.7671548654464	-281.7671548654464	-58.88603441454364	731.8024129745237	243.93413765817456	58.88603441454364	58.88603441454364	-496.2582753163491	243.93413765817456	-58.88603441454364	243.93413765817456	243.93413765817456	-243.93413765817456	-58.88603441454364	-58.88603441454364	58.88603441454364	496.2582753163491	243.93413765817456	58.88603441454364	58.88603441454364	-58.88603441454364	496.2582753163491	-243.93413765817456	496.2582753163491	-496.2582753163491	-235.54413765817458	58.88603441454364	58.88603441454364	-235.54413765817458	-58.88603441454364	8.39	58.88603441454364	243.93413765817456
19	-192.7050111154462	-192.7050111154462	-39.09444691454361	494.3033629745233	164.76778765817443	39.09444691454361	39.09444691454361	-337.92557531634884	164.76778765817443	-39.09444691454361	164.76778765817443	164.76778765817443	-164.76778765817443	-39.09444691454361	-39.09444691454361	39.09444691454361	337.92557531634884	164.76778765817443	39.09444691454361	39.09444691454361	-39.09444691454361	337.92557531634884	-164.76778765817443	337.92557531634884	-337.92557531634884	-156.3777876581745	39.09444691454361	39.09444691454361	-156.37778765817444	-39.09444691454361	8.39	39.09444691454361	164.76778765817443
20	-304.0771326345533	-304.0771326345533	-63.84380725212297	791.2956870254757	263.7652290084919	63.84380725212297	63.84380725212297	-535.9204580169837	263.7652290084919	-63.843807252122986	263.7652290084919	263.7652290084919	-263.7652290084919	-63.843807252122986	-63.84380725212297	63.843807252122986	535.9204580169837	263.7652290084919	63.84380725212297	63.84380725212297	-63.84380725212297	535.9204580169837	-263.7652290084919	535.9204580169837	-535.9204580169837	-255.37522900849183	63.84380725212297	63.843807252122986	-255.37522900849194	-63.84380725212297	8.39	63.843807252122986	263.7652290084919
21	-259.4569986158031	-259.4569986158031	-53.928221914622924	672.308662975475	224.10288765849168	53.928221914622924	53.928221914622924	-456.59577531698335	224.10288765849168	-53.928221914622924	224.10288765849168	224.10288765849168	-224.10288765849168	-53.928221914622924	-53.928221914622924	53.928221914622924	456.59577531698335	224.10288765849168	53.928221914622924	53.928221914622924	-53.928221914622924	456.59577531698335	-224.10288765849168	456.59577531698335	-456.59577531698335	-215.7128876584917	53.928221914622924	53.928221914622924	-215.7128876584917	-53.928221914622924	8.39	53.928221914622924	224.10288765849168
22	-237.14702084669628	-237.14702084669628	-48.970449077043625	612.8153889245234	204.27179630817446	48.970449077043625	48.970449077043625	-416.93359261634896	204.27179630817446	-48.97044907704361	204.27179630817446	204.27179630817446	-204.27179630817446	-48.97044907704361	-48.970449077043625	48.97044907704361	416.93359261634896	204.27179630817446	48.970449077043625	48.970449077043625	-48.970449077043625	416.93359261634896	-204.27179630817446	416.93359261634896	-416.93359261634896	-195.88179630817442	48.970449077043625	48.97044907704361	-195.88179630817444	-48.970449077043625	8.39	48.97044907704361	204.2717963081745
23	-103.64286736544629	-103.64286736544629	-19.30285941454361	256.8043129745234	85.60143765817446	19.30285941454361	19.30285941454361	-179.5928753163489	85.60143765817446	-19.30285941454361	85.60143765817446	85.60143765817446	-85.60143765817446	-19.30285941454361	-19.30285941454361	19.30285941454361	179.5928753163489	85.60143765817446	19.30285941454361	19.30285941454361	-19.30285941454361	179.5928753163489	-85.60143765817446	179.5928753163489	-179.5928753163489	-77.21143765817443	19.30285941454361	19.30285941454361	-77.21143765817448	-19.30285941454361	8.39	19.30285941454361	85.60143765817445
24	-148.12940799044696	-148.12940799044696	-29.188757331210436	375.43508797452523	125.14502932484174	29.188757331210436	29.188757331210436	-258.6800586496835	125.14502932484174	-29.188757331210436	125.14502932484174	125.14502932484174	-125.14502932484174	-29.188757331210436	-29.188757331210436	29.188757331210436	258.6800586496835	125.14502932484174	29.188757331210436	29.188757331210436	-29.188757331210436	258.6800586496835	-125.14502932484174	258.6800586496835	-258.6800586496835	-116.75502932484176	29.188757331210436	29.188757331210436	-116.75502932484174	-29.188757331210436	8.39	29.188757331210436	125.14502932484174
25	-170.35032397205254	-170.35032397205254	-34.12673866045611	434.6908639254734	144.89695464182446	34.12673866045611	34.12673866045611	-298.183909283649	144.89695464182446	-34.12673866045611	144.89695464182446	144.89695464182446	-144.89695464182446	-34.12673866045611	-34.12673866045611	34.12673866045611	298.183909283649	144.89695464182446	34.12673866045611	34.12673866045611	-34.12673866045611	298.183909283649	-144.89695464182446	298.183909283649	-298.183909283649	-136.50695464182442	34.12673866045611	34.12673866045611	-136.50695464182445	-34.12673866045611	8.39	34.12673866045611	144.8969546418245
26	-214.92610486509074	-214.92610486509074	-44.03246774779794	553.5596129735753	184.51987099119177	44.03246774779794	44.03246774779794	-377.4297419823836	184.51987099119177	-44.03246774779794	184.51987099119177	184.51987099119177	-184.51987099119177	-44.03246774779794	-44.03246774779794	44.03246774779794	377.4297419823836	184.51987099119177	44.03246774779794	44.03246774779794	-44.03246774779794	377.4297419823836	-184.51987099119177	377.4297419823836	-377.4297419823836	-176.12987099119175	44.03246774779794	44.03246774779794	-176.12987099119175	-44.03246774779794	8.39	44.03246774779794	184.5198709911918
27	-81.4219513838407	-81.4219513838407	-14.364878085297935	197.54853702357522	65.84951234119174	14.364878085297935	14.364878085297935	-140.08902468238347	65.84951234119174	-14.364878085297935	65.84951234119174	65.84951234119174	-65.84951234119174	-14.364878085297935	-14.364878085297935	14.364878085297935	140.08902468238347	65.84951234119174	14.364878085297935	14.364878085297935	-14.364878085297935	140.08902468238347	-65.84951234119174	140.08902468238347	-140.08902468238347	-57.45951234119173	14.364878085297935	14.364878085297935	-57.459512341191754	-14.364878085297935	8.39	14.364878085297935	65.84951234119173
28	-125.9083142408025	-125.9083142408025	-24.25073649795611	316.17883797547336	105.39294599182445	24.25073649795611	24.25073649795611	-219.1758919836489	105.39294599182445	-24.25073649795611	105.39294599182445	105.39294599182445	-105.39294599182445	-24.25073649795611	-24.25073649795611	24.25073649795611	219.1758919836489	105.39294599182445	24.25073649795611	24.25073649795611	-24.25073649795611	219.1758919836489	-105.39294599182445	219.1758919836489	-219.1758919836489	-97.00294599182445	24.25073649795611	24.25073649795611	-97.00294599182445	-24.25073649795611	8.39	24.25073649795611	105.39294599182445
29	-59.28974165365875	-59.28974165365875	-9.44660925636861	138.52931107642334	46.17643702547445	9.44660925636861	9.44660925636861	-100.7428740509489	46.17643702547445	-9.44660925636861	46.17643702547445	46.17643702547445	-46.17643702547445	-9.44660925636861	-9.44660925636861	9.44660925636861	100.7428740509489	46.17643702547445	9.44660925636861	9.44660925636861	-9.44660925636861	100.7428740509489	-46.17643702547445	100.7428740509489	-100.7428740509489	-37.786437025474434	9.44660925636861	9.44660925636861	-37.78643702547444	-9.44660925636861	8.39	9.44660925636861	46.17643702547445
30	-37.11317879776499	-37.11317879776499	-4.518484177281107	79.3918101273733	26.463936709124436	4.518484177281107	4.518484177281107	-61.31787341824888	26.463936709124436	-4.518484177281107	26.463936709124436	26.463936709124436	-26.463936709124436	-4.518484177281107	-4.518484177281107	4.518484177281107	61.31787341824888	26.463936709124436	4.518484177281107	4.518484177281107	-4.518484177281107	61.31787341824888	-26.463936709124436	61.31787341824888	-61.31787341824888	-18.073936709124443	4.518484177281107	4.518484177281107	-18.073936709124425	-4.518484177281107	8.39	4.518484177281107	26.46393670912444
31	-376.70771199866334	-376.70771199866334	-79.98393599970295	984.9772319964355	328.32574399881184	79.98393599970295	79.98393599970295	-665.0414879976237	328.32574399881184	-79.98393599970295	328.32574399881184	328.32574399881184	-328.32574399881184	-79.98393599970295	-79.98393599970295	79.98393599970295	665.0414879976237	328.32574399881184	79.98393599970295	79.98393599970295	-79.98393599970295	665.0414879976237	-328.32574399881184	665.0414879976237	-665.0414879976237	-319.93574399881174	79.98393599970295	79.98393599970295	-319.93574399881186	-79.98393599970295	8.39	79.98393599970295	328.32574399881184
