	rxn05206	rxn05312	rxn05318	rxn00615	rxn13836	rxn00148	rxn05229	rxn00250	rxn00134	rxn05595	rxn05581	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00009_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
30	224.7509980019992	168.5632485014994	56.187749500499805	-120.76549900099961	47.797749500499805	56.187749500499805	-56.187749500499805	56.187749500499805	56.187749500499805	-224.7509980019992	120.76549900099961	56.187749500499805	120.76549900099961	56.187749500499805	-56.187749500499805	120.76549900099961	-120.76549900099961	-47.79774950049979	8.39	-47.797749500499805	47.797749500499805	56.18774950049981
31	987.3492479969977	740.5119359977484	246.8373119992495	-502.064623998499	238.4473119992495	246.8373119992495	-246.8373119992495	246.8373119992495	246.8373119992495	-987.3492479969977	502.064623998499	246.8373119992495	502.064623998499	246.8373119992495	-246.8373119992495	502.064623998499	-502.064623998499	-238.4473119992495	8.39	-238.4473119992495	238.4473119992495	246.8373119992495
32	786.5989500010022	589.9492125007516	196.64973750025055	-401.6894750005011	188.25973750025054	196.64973750025055	-196.64973750025055	196.64973750025055	196.64973750025055	-786.5989500010022	401.6894750005011	196.64973750025055	401.6894750005011	196.64973750025055	-196.64973750025055	401.6894750005011	-401.6894750005011	-188.25973750025057	8.39	-188.25973750025054	188.25973750025054	196.6497375002505
33	586.5997500010026	439.94981250075193	146.64993750025064	-301.6898750005013	138.25993750025066	146.64993750025064	-146.64993750025064	146.64993750025064	146.64993750025064	-586.5997500010026	301.6898750005013	146.64993750025064	301.6898750005013	146.64993750025064	-146.64993750025064	301.6898750005013	-301.6898750005013	-138.25993750025066	8.39	-138.25993750025066	138.25993750025066	146.64993750025064
34	936.9985484002023	702.7489113001517	234.24963710005056	-476.8892742001011	225.85963710005058	234.24963710005056	-234.24963710005056	234.24963710005056	234.24963710005056	-936.9985484002023	476.8892742001011	234.24963710005056	476.8892742001011	234.24963710005056	-234.24963710005056	476.8892742001011	-476.8892742001011	-225.85963710005058	8.39	-225.85963710005058	225.85963710005058	234.24963710005056
35	886.7985492010021	665.0989119007515	221.69963730025052	-451.789274600501	213.30963730025053	221.69963730025052	-221.69963730025052	221.69963730025052	221.69963730025052	-886.7985492010021	451.789274600501	221.69963730025052	451.789274600501	221.69963730025052	-221.69963730025052	451.789274600501	-451.789274600501	-213.30963730025053	8.39	-213.30963730025053	213.30963730025053	221.69963730025052
36	962.1487479990012	721.6115609992509	240.5371869997503	-489.4643739995006	232.14718699975032	240.5371869997503	-240.5371869997503	240.5371869997503	240.5371869997503	-962.1487479990012	489.4643739995006	240.5371869997503	489.4643739995006	240.5371869997503	-240.5371869997503	489.4643739995006	-489.4643739995006	-232.14718699975032	8.39	-232.14718699975032	232.14718699975032	240.5371869997503
37	911.8986492006005	683.9239869004504	227.97466230015013	-464.3393246003003	219.58466230015011	227.97466230015013	-227.97466230015013	227.97466230015013	227.97466230015013	-911.8986492006005	464.3393246003003	227.97466230015013	464.3393246003003	227.97466230015013	-227.97466230015013	464.3393246003003	-464.3393246003003	-219.58466230015006	8.39	-219.58466230015011	219.58466230015011	227.97466230015013
38	386.6508504001997	289.9881378001498	96.66271260004991	-201.71542520009984	88.27271260004991	96.66271260004991	-96.66271260004991	96.66271260004991	96.66271260004991	-386.6508504001997	201.71542520009984	96.66271260004991	201.71542520009984	96.66271260004991	-96.66271260004991	201.71542520009984	-201.71542520009984	-88.27271260004994	8.39	-88.27271260004991	88.27271260004991	96.66271260004993
39	536.4500512010002	402.3375384007501	134.11251280025002	-276.6150256005001	125.72251280025002	134.11251280025002	-134.11251280025002	134.11251280025002	134.11251280025002	-536.4500512010002	276.6150256005001	134.11251280025002	276.6150256005001	134.11251280025002	-134.11251280025002	276.6150256005001	-276.6150256005001	-125.72251280025	8.39	-125.72251280025002	125.72251280025002	134.11251280025004
