	rxn10158	rxn05312	rxn05318	rJB00240	rxn00615	rxn05209	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00097	rxn00251	rxn10165	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	ATPM	DM_cpd00002_c
35	-635.1659408667674	952.7489113001512	317.58297043338376	635.1659408667674	-952.7489113001512	-635.1659408667674	8.389999999999986	8.389999999999986	317.58297043338376	-8.389999999999986	952.7489113001512	309.1929704333838	8.389999999999986	952.7489113001512	-317.58297043338376	952.7489113001512	-952.7489113001512	8.39	317.58297043338376
36	-647.741040666167	971.6115609992506	323.87052033308356	647.741040666167	-971.6115609992506	-647.741040666167	8.389999999999986	8.389999999999986	323.87052033308356	-8.389999999999986	971.6115609992506	315.4805203330836	8.389999999999986	971.6115609992506	-323.87052033308356	971.6115609992506	-971.6115609992506	8.39	323.87052033308356
37	-547.4161920673668	821.1242881010502	273.7080960336834	547.4161920673668	-821.1242881010502	-547.4161920673668	8.389999999999986	8.389999999999986	273.7080960336834	-8.389999999999986	821.1242881010502	265.3180960336834	8.389999999999986	821.1242881010502	-273.7080960336834	821.1242881010502	-821.1242881010502	8.39	273.7080960336834
38	-622.6159912669667	933.9239869004501	311.30799563348336	622.6159912669667	-933.9239869004501	-622.6159912669667	8.389999999999986	8.389999999999986	311.30799563348336	-8.389999999999986	933.9239869004501	302.9179956334834	8.389999999999986	933.9239869004501	-311.30799563348336	933.9239869004501	-933.9239869004501	8.39	311.30799563348336
39	-434.89169226716626	652.3375384007494	217.44584613358313	434.89169226716626	-652.3375384007494	-434.89169226716626	8.389999999999986	8.389999999999986	217.44584613358313	-8.389999999999986	652.3375384007494	209.05584613358312	8.389999999999986	652.3375384007494	-217.44584613358313	652.3375384007494	-652.3375384007494	8.39	217.4458461335831
40	-409.8918922667662	614.8378384001493	204.9459461333831	409.8918922667662	-614.8378384001493	-409.8918922667662	8.389999999999986	8.389999999999986	204.9459461333831	-8.389999999999986	614.8378384001493	196.5559461333831	8.389999999999986	614.8378384001493	-204.9459461333831	614.8378384001493	-614.8378384001493	8.39	204.94594613338307
41	-447.4165920673666	671.1248881010499	223.7082960336833	447.4165920673666	-671.1248881010499	-447.4165920673666	8.389999999999986	8.389999999999986	223.7082960336833	-8.389999999999986	671.1248881010499	215.31829603368328	8.389999999999986	671.1248881010499	-223.7082960336833	671.1248881010499	-671.1248881010499	8.39	223.70829603368333
42	-509.89149226676625	764.8372384001494	254.94574613338312	509.89149226676625	-764.8372384001494	-509.89149226676625	8.389999999999986	8.389999999999986	254.94574613338312	-8.389999999999986	764.8372384001494	246.55574613338314	8.389999999999986	764.8372384001494	-254.94574613338312	764.8372384001494	-764.8372384001494	8.39	254.94574613338318
43	-534.8912922671664	802.3369384007495	267.4456461335832	534.8912922671664	-802.3369384007495	-534.8912922671664	8.389999999999986	8.389999999999986	267.4456461335832	-8.389999999999986	802.3369384007495	259.0556461335832	8.389999999999986	802.3369384007495	-267.4456461335832	802.3369384007495	-802.3369384007495	8.39	267.4456461335832
44	-584.9910918671665	877.4866378007497	292.49554593358323	584.9910918671665	-877.4866378007497	-584.9910918671665	8.389999999999986	8.389999999999986	292.49554593358323	-8.389999999999986	877.4866378007497	284.10554593358324	8.389999999999986	877.4866378007497	-292.49554593358323	877.4866378007497	-877.4866378007497	8.39	292.49554593358323
45	-359.99209186676626	539.9881378001494	179.99604593338313	359.99209186676626	-539.9881378001494	-359.99209186676626	8.389999999999986	8.389999999999986	179.99604593338313	-8.389999999999986	539.9881378001494	171.60604593338311	8.389999999999986	539.9881378001494	-179.99604593338313	539.9881378001494	-539.9881378001494	8.39	179.99604593338313
46	-597.5159916673667	896.2739875010501	298.75799583368337	597.5159916673667	-896.2739875010501	-597.5159916673667	8.389999999999986	8.389999999999986	298.75799583368337	-8.389999999999986	896.2739875010501	290.3679958336834	8.389999999999986	896.2739875010501	-298.75799583368337	896.2739875010501	-896.2739875010501	8.39	298.75799583368337
47	-422.3918422665663	633.5877633998495	211.19592113328312	422.3918422665663	-633.5877633998495	-422.3918422665663	8.389999999999986	8.389999999999986	211.19592113328312	-8.389999999999986	633.5877633998495	202.8059211332831	8.389999999999986	633.5877633998495	-211.19592113328312	633.5877633998495	-633.5877633998495	8.39	211.1959211332832
