	rxn10125	rxn00083	rxn05312	rxn05318	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
10	-386.53837537537504	-386.53837537537504	764.68675075075	254.89558358358335	-518.1811671671667	254.89558358358335	254.89558358358335	254.89558358358335	-254.89558358358335	518.1811671671667	254.89558358358335	518.1811671671667	-246.50558358358333	-254.89558358358335	518.1811671671667	-518.1811671671667	-246.5055835835833	246.50558358358333	-246.5055835835833	8.39	254.89558358358335
11	-199.13306249962486	-199.13306249962486	389.8761249992498	129.95870833308325	-268.30741666616655	129.95870833308325	129.95870833308325	129.95870833308325	-129.95870833308325	268.30741666616655	129.95870833308325	268.30741666616655	-121.56870833308326	-129.95870833308325	268.30741666616655	-268.30741666616655	-121.56870833308332	121.56870833308326	-121.56870833308324	8.39	129.95870833308328
12	-339.66375037462495	-339.66375037462495	670.9375007492499	223.6458335830833	-455.68166716616656	223.6458335830833	223.6458335830833	223.6458335830833	-223.6458335830833	455.68166716616656	223.6458335830833	455.68166716616656	-215.25583358308327	-223.6458335830833	455.68166716616656	-455.68166716616656	-215.25583358308324	215.25583358308327	-215.25583358308336	8.39	223.6458335830833
13	-245.91412537462492	-245.91412537462492	483.4382507492498	161.14608358308325	-330.6821671661665	161.14608358308325	161.14608358308325	161.14608358308325	-161.14608358308325	330.6821671661665	161.14608358308325	330.6821671661665	-152.7560835830832	-161.14608358308325	330.6821671661665	-330.6821671661665	-152.75608358308318	152.7560835830832	-152.7560835830833	8.39	161.1460835830832
14	-152.44556175037476	-152.44556175037476	296.50112350074954	98.83370783358318	-206.05741566716637	98.83370783358318	98.83370783358318	98.83370783358318	-98.83370783358318	206.05741566716637	98.83370783358318	206.05741566716637	-90.44370783358318	-98.83370783358318	206.05741566716637	-206.05741566716637	-90.44370783358318	90.44370783358318	-90.44370783358318	8.39	98.83370783358319
15	-492.35859281156223	-492.35859281156223	976.3271856231245	325.44239520770816	-659.2747904154163	325.44239520770816	325.44239520770816	325.44239520770816	-325.44239520770816	659.2747904154163	325.44239520770816	659.2747904154163	-317.0523952077082	-325.44239520770816	659.2747904154163	-659.2747904154163	-317.0523952077082	317.0523952077082	-317.0523952077082	8.39	325.44239520770816
16	-398.28046893806294	-398.28046893806294	788.1709378761259	262.72364595870863	-533.8372919174172	262.72364595870863	262.72364595870863	262.72364595870863	-262.72364595870863	533.8372919174172	262.72364595870863	533.8372919174172	-254.33364595870864	-262.72364595870863	533.8372919174172	-533.8372919174172	-254.33364595870862	254.33364595870864	-254.33364595870864	8.39	262.72364595870863
17	-304.5308439380628	-304.5308439380628	600.6716878761256	200.2238959587085	-408.837791917417	200.2238959587085	200.2238959587085	200.2238959587085	-200.2238959587085	408.837791917417	200.2238959587085	408.837791917417	-191.83389595870852	-200.2238959587085	408.837791917417	-408.837791917417	-191.83389595870847	191.83389595870852	-191.83389595870858	8.39	200.22389595870857
18	-468.7802806876879	-468.7802806876879	929.1705613753759	309.7235204584586	-627.8370409169172	309.7235204584586	309.7235204584586	309.7235204584586	-309.7235204584586	627.8370409169172	309.7235204584586	627.8370409169172	-301.3335204584586	-309.7235204584586	627.8370409169172	-627.8370409169172	-301.3335204584586	301.3335204584586	-301.3335204584587	8.39	309.7235204584586
19	-445.24903106306294	-445.24903106306294	882.1080621261259	294.03602070870863	-596.4620414174173	294.03602070870863	294.03602070870863	294.03602070870863	-294.03602070870863	596.4620414174173	294.03602070870863	596.4620414174173	-285.64602070870865	-294.03602070870863	596.4620414174173	-596.4620414174173	-285.64602070870865	285.64602070870865	-285.64602070870865	8.39	294.03602070870863
20	-257.60934431231203	-257.60934431231203	506.8286886246241	168.94289620820803	-346.27579241641604	168.94289620820803	168.94289620820803	168.94289620820803	-168.94289620820803	346.27579241641604	168.94289620820803	346.27579241641604	-160.55289620820804	-168.94289620820803	346.27579241641604	-346.27579241641604	-160.55289620820804	160.55289620820804	-160.55289620820804	8.39	168.942896208208
21	-421.76484393768715	-421.76484393768715	835.1396878753743	278.3798959584581	-565.1497919169162	278.3798959584581	278.3798959584581	278.3798959584581	-278.3798959584581	565.1497919169162	278.3798959584581	565.1497919169162	-269.98989595845813	-278.3798959584581	565.1497919169162	-565.1497919169162	-269.9898959584582	269.98989595845813	-269.98989595845813	8.39	278.3798959584581
22	-351.358969312312	-351.358969312312	694.327938624624	231.44264620820803	-471.27529241641605	231.44264620820803	231.44264620820803	231.44264620820803	-231.44264620820803	471.27529241641605	231.44264620820803	471.27529241641605	-223.05264620820805	-231.44264620820803	471.27529241641605	-471.27529241641605	-223.05264620820805	223.05264620820805	-223.052646208208	8.39	231.44264620820803
