term	genes_in_set	total_genes_in_set	genes_in_universe	total_genes_in_universe	pvalue	adj_pvalue
thiamine metabolism	0	275	13	5976	1.0	1.0
toluene degradation	0	275	3	5976	1.0	1.0
tryptophan metabolism	3	275	26	5976	0.11515052568378564	0.8128272401208398
two-component system	15	275	203	5976	0.04641689313282852	0.6962533969924278
tyrosine metabolism	4	275	27	5976	0.03340760890522599	0.6962533969924278
ubiquinone and other terpenoid-quinone biosynthesis	3	275	17	5976	0.04061365939888916	0.6962533969924278
valine, leucine and isoleucine biosynthesis	0	275	19	5976	1.0	1.0
valine, leucine and isoleucine degradation	1	275	47	5976	0.8917092135588705	1.0
vancomycin resistance	1	275	9	5976	0.3457590143279844	0.9727614481363802
vitamin b6 metabolism	0	275	9	5976	1.0	1.0
xylene degradation	0	275	5	5976	1.0	1.0
