	rxn13726	rxn08094	rxn10158	rxn05312	rxn05318	rxn00256	rJB00240	rJB00238	rxn00285	rxn00974	rxn05307	rxn00165	rxn13803	rxn00175	rxn05158	rxn00615	rxn05209	rxn13836	rxn00148	rxn13689	rxn05229	rxn10042	rxn12788	rxn09566	rxn00250	rxn00134	rxn13299	rxn13643	rxn05581	rxn00251	rxn00014	rxn10165	rxn10053	rxn05297	rxn00124	rxn01807	rxn05467	rxn05468	rxn05488	EX_cpd00029_e	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00023_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00036_e	rxn00695	EX_cpd00331_e	ATPM	rxn00182	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
20	307.2496122710618	76.81240306776544	-624.5779395934096	875.6948993223491	527.085786000001	76.81240306776544	624.5779395934096	-76.81240306776544	-76.81240306776544	-76.81240306776544	-76.81240306776544	-76.81240306776544	-153.6248061355309	-76.81240306776544	705.562458677653	-1000.0	-547.7655365256442	504.44495493223667	450.27338293223556	307.2496122710618	-373.4609798644701	614.4992245421236	76.81240306776544	153.6248061355309	373.4609798644701	527.085786000001	76.81240306776499	76.81240306776499	1000.0	450.27338293223556	307.2496122710618	294.437541322347	373.4609798644701	76.81240306776544	-153.6248061355309	153.6248061355309	-153.6248061355309	76.81240306776544	-76.81240306776544	76.81240306776544	-527.085786000001	153.6248061355309	1000.0	-1000.0	-76.81240306776544	76.81240306776544	-76.81240306776544	-581.2573580000021	76.81240306776544	76.81240306776544	-76.81240306776544	8.39	230.43720920329633	-504.44495493223667	504.44495493223667	527.0857860000002
21	425.0246288000001	106.25615720000002	-580.6686138877117	846.7637561754232	527.0857860000001	106.25615720000002	580.6686138877117	-106.25615720000002	-106.25615720000002	-106.25615720000002	-106.25615720000002	-106.25615720000002	-212.51231440000004	-106.25615720000002	734.4936018245771	-734.4936018245771	-474.4124566877117	740.5075989754233	420.8296288000001	425.0246288000001	-314.57347160000006	850.0492576000001	106.25615720000002	212.51231440000004	314.57347160000006	527.0857860000001	106.25615720000002	106.25615720000002	734.4936018245771	420.8296288000001	425.0246288000001	0.0	314.57347160000006	106.25615720000002	-212.51231440000004	212.51231440000004	-212.51231440000004	106.25615720000002	-106.25615720000002	106.25615720000002	-527.0857860000001	212.51231440000004	734.4936018245771	-734.4936018245771	-106.25615720000002	106.25615720000002	-106.25615720000002	-846.7637561754232	106.25615720000002	106.25615720000002	-106.25615720000002	8.39	318.76847160000005	-740.5075989754233	740.5075989754233	527.0857860000002
22	425.0246288	106.25615720000003	-542.6307523519995	770.6880331039987	527.0857860000001	106.25615719999996	542.6307523519995	-106.25615720000003	-106.25615720000003	-106.25615719999996	-106.25615719999996	-106.25615719999996	-212.5123144	-106.25615719999996	810.5693248960015	-810.5693248960015	-436.37459515199936	664.4318759039988	420.82962880000014	425.0246288	-314.5734716000002	850.0492576	106.25615719999996	212.5123144	314.5734716000002	527.0857860000001	106.25615719999996	106.25615719999996	810.5693248960015	420.82962880000014	425.0246288	0.0	314.5734716000002	106.25615719999999	-212.5123144	212.5123144	-212.51231439999998	106.2561572	-106.25615719999996	106.25615719999996	-527.0857860000001	212.51231439999998	810.5693248960015	-810.5693248960015	-106.25615719999999	106.25615719999996	-106.2561572	-770.6880331039987	106.25615720000003	106.25615719999996	-106.25615719999996	8.39	318.7684716	-664.4318759039988	664.4318759039988	527.0857860000002
23	425.0246288000001	106.25615720000003	-472.4212222232253	630.2689728464504	527.0857860000001	106.25615720000002	472.4212222232253	-106.25615720000003	-106.25615720000003	-106.25615720000002	-106.25615720000002	-106.25615720000002	-212.51231440000004	-106.25615720000002	950.9883851535499	-950.9883851535499	-366.1650650232252	524.0128156464503	420.8296288000001	425.0246288000001	-314.57347160000006	850.0492576000001	106.25615720000002	212.51231440000004	314.57347160000006	527.0857860000001	106.25615720000002	106.25615720000002	950.9883851535499	420.8296288000001	425.0246288000001	0.0	314.57347160000006	106.25615720000006	-212.51231440000004	212.51231440000004	-212.51231440000004	106.25615720000002	-106.25615720000002	106.25615720000002	-527.0857860000001	212.51231440000004	950.9883851535499	-950.9883851535499	-106.25615720000006	106.25615720000002	-106.25615720000002	-630.2689728464504	106.25615720000003	106.25615720000002	-106.25615720000002	8.39	318.7684716000001	-524.0128156464503	524.0128156464503	527.0857860000002
24	500.0	125.0	-667.8182386178455	947.7620643630758	637.8744128726154	125.0	667.8182386178455	-125.0	-125.0	-124.99999999999977	-125.0	-125.0	-250.0	-125.0	965.8611742547697	-1000.0	-542.8182386178455	788.6232386178457	512.8744128726154	500.0	-387.8744128726154	1000.0	125.0	250.0	387.8744128726154	637.8744128726154	124.99999999999987	124.99999999999987	1000.0	512.8744128726154	500.0	34.13882574523029	387.8744128726154	125.0	-250.0	250.0	-250.0	125.0	-125.0	125.0	-637.8744128726154	250.0	1000.0	-1000.0	-125.0	125.0	-125.0	-913.6232386178455	125.0	125.0	-125.0	8.39	375.0	-788.6232386178457	788.6232386178457	637.8744128726152
25	458.2629874950319	114.56574687375797	-699.161	1000.0	627.453493747516	114.56574687375797	699.161	-114.56574687375797	-114.56574687375797	-114.56574687375797	-114.56574687375797	-114.56574687375797	-229.13149374751595	-114.56574687375797	882.3604812425478	-1000.0	-584.595253126242	767.7947343687897	512.8877468737579	458.2629874950319	-398.3219999999999	916.5259749900638	114.56574687375797	229.13149374751595	398.3219999999999	627.453493747516	114.56574687375794	114.56574687375794	1000.0	512.8877468737579	458.2629874950319	117.63951875745215	398.3219999999999	114.56574687375797	-229.13149374751595	229.13149374751595	-229.13149374751595	114.56574687375797	-114.56574687375797	114.56574687375797	-627.453493747516	229.13149374751595	1000.0	-1000.0	-114.56574687375797	114.56574687375797	-114.56574687375797	-882.3604812425478	114.56574687375797	114.56574687375797	-114.56574687375797	8.39	343.6972406212739	-767.7947343687897	767.7947343687897	627.453493747516
26	481.8866828601624	120.4716707150406	-571.9936547097565	857.8448648495944	527.0857860000001	120.4716707150406	571.9936547097565	-120.4716707150406	-120.4716707150406	-120.4716707150406	-120.4716707150406	-120.4716707150406	-240.9433414300812	-120.4716707150406	723.4124931504061	-581.2573580000005	-451.5219839947159	879.5283292849593	406.61411528495944	481.8866828601624	-286.14244456991884	963.7733657203248	120.4716707150406	240.9433414300812	286.14244456991884	527.0857860000001	120.47167071504077	120.47167071504077	581.2573580000005	406.61411528495944	481.8866828601624	-142.1551351504056	286.14244456991884	120.4716707150406	-240.9433414300812	240.9433414300812	-240.9433414300812	120.4716707150406	-120.4716707150406	120.4716707150406	-527.0857860000001	240.9433414300812	581.2573580000005	-581.2573580000005	-120.4716707150406	120.4716707150406	-120.4716707150406	-1000.0	120.4716707150406	120.4716707150406	-120.4716707150406	8.39	361.4150121451218	-879.5283292849593	879.5283292849593	527.0857860000002
27	445.65975876625293	111.41493969156323	-626.3340408506202	948.4121750843675	527.0857859999995	111.41493969156323	626.3340408506202	-111.41493969156323	-111.41493969156323	-111.41493969156323	-111.41493969156323	-111.41493969156323	-222.82987938312647	-111.41493969156323	632.8451829156324	-581.257358	-514.919101159057	888.5850603084359	415.6708463084363	445.65975876625293	-304.25590661687306	891.3195175325059	111.41493969156323	222.82987938312647	304.25590661687306	527.0857859999995	111.41493969156386	111.41493969156386	581.257358	415.6708463084363	445.65975876625293	-51.587824915632496	304.25590661687306	111.41493969156323	-222.82987938312647	222.82987938312647	-222.82987938312647	111.41493969156323	-111.41493969156323	111.41493969156323	-527.0857860000001	222.82987938312647	581.257358	-581.257358	-111.41493969156323	111.41493969156323	-111.41493969156323	-1000.0	111.41493969156323	111.41493969156323	-111.41493969156323	8.39	334.2448190746897	-888.5850603084359	888.5850603084359	527.0857860000002
28	500.0	125.0	-662.804313698049	969.869084930732	605.739542465366	125.0	662.804313698049	-125.0	-125.0	-124.99999999999977	-125.0	-125.0	-250.0	-125.0	847.3495424653661	-817.2186273960981	-537.804313698049	875.0	480.73954246536596	500.0	-355.73954246536596	1000.0	125.0	250.0	355.73954246536596	605.739542465366	125.0	125.0	817.2186273960981	480.73954246536596	500.0	-30.130915069267985	355.73954246536596	125.0	-250.0	250.0	-250.0	125.0	-125.0	125.0	-605.739542465366	250.0	817.2186273960981	-817.2186273960981	-125.0	125.0	-125.0	-1000.0	125.0	125.0	-125.0	8.39	375.0	-875.0	875.0	605.7395424653661
29	500.0	125.0	-559.2043622182873	831.7358162910498	536.6729081455248	125.0	559.2043622182873	-125.0	-125.0	-124.99999999999977	-125.0	-125.0	-250.0	-125.0	778.282908145525	-610.0187244365748	-434.2043622182873	875.0	411.6729081455249	500.0	-286.6729081455249	1000.0	125.0	250.0	286.6729081455249	536.6729081455248	125.0	125.0	610.0187244365748	411.6729081455249	500.0	-168.2641837089502	286.6729081455249	125.0	-250.0	250.0	-250.0	125.0	-125.0	125.0	-536.6729081455248	250.0	610.0187244365748	-610.0187244365748	-125.0	125.0	-125.0	-1000.0	125.0	125.0	-125.0	8.39	375.0	-875.0	875.0	536.6729081455251
