	rxn10158	rxn05312	rxn05318	rJB00240	rxn05158	rxn00615	rxn05209	rxn13836	rxn00148	rxn05229	rxn00250	rxn00134	rxn05581	rxn00097	rxn00251	rxn10165	rxn10053	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00009_e	ATPM	EX_cpd00170_e	EX_cpd00222_e	DM_cpd00002_c
46	-358.0106581036074	506.9022662072149	209.11905000000047	358.0106581036074	120.45488379278493	-547.0829837927847	-358.0106581036074	80.27416620721499	209.1190499999999	-209.1190499999999	209.1190499999999	209.11905000000047	547.0829837927847	0.0	209.1190499999999	426.6281000000005	209.1190499999999	-209.11905000000013	547.0829837927847	-547.0829837927847	-80.2741662072151	8.39	-80.27416620721499	80.27416620721499	209.11904999999996
47	-381.12975607684587	553.1404621536917	209.11905000000047	381.12975607684587	74.21668784630816	-500.84478784630807	-381.12975607684587	126.51236215369175	209.11905000000002	-209.11904999999996	209.11904999999996	209.11905000000047	500.84478784630807	0.0	209.11904999999996	426.6281000000005	209.11904999999996	-209.11905000000013	500.84478784630807	-500.84478784630807	-126.51236215369181	8.39	-126.51236215369175	126.51236215369175	209.11904999999996
48	-685.8034024447261	977.7373374078768	393.86946748157527	685.8034024447261	203.87106503684936	-1000.0	-685.8034024447261	181.60840244472604	393.8694674815754	-393.8694674815754	393.8694674815754	393.86946748157527	1000.0	0.0	393.8694674815754	796.1289349631506	393.8694674815754	-393.86946748157527	1000.0	-1000.0	-181.60840244472615	8.39	-181.60840244472604	181.60840244472604	393.8694674815755
49	-334.93779832631594	460.75654665263176	209.11905000000047	334.93779832631594	166.6006033473684	-593.2287033473684	-334.9377983263159	34.128446652631624	209.11905000000002	-209.11905000000002	209.11905000000002	209.11905000000047	593.2287033473684	0.0	209.11905000000002	426.6281000000005	209.11905000000002	-209.11905000000013	593.2287033473684	-593.2287033473684	-34.12844665263174	8.39	-34.128446652631624	34.128446652631624	209.11904999999996
50	-329.15172792096905	441.66563722795865	216.63781861397933	329.15172792096905	208.24781861397935	-649.913455841938	-329.151727920969	0.0	216.63781861397933	-216.63781861397933	216.63781861397933	216.63781861397933	649.913455841938	0.0	216.63781861397933	441.66563722795865	216.63781861397933	-216.63781861397933	649.913455841938	-649.913455841938	0.0	8.39	0.0	0.0	216.63781861397928
51	-518.1627296949073	702.9921260564812	333.33333333333326	518.1627296949073	297.0078739435188	-1000.0	-518.1627296949073	0.0	305.3978739435188	-305.3978739435188	305.3978739435188	333.33333333333326	1000.0	27.935459389814557	305.3978739435188	702.9921260564812	305.3978739435188	-333.33333333333326	1000.0	-1000.0	0.0	8.39	0.0	0.0	333.33333333333337
52	-212.11979607255353	188.2646601209226	235.97493202418445	212.11979607255353	519.660135951631	-1000.0	-212.11979607255353	-292.07520392744675	235.97493202418445	-235.97493202418445	235.97493202418445	235.97493202418445	1000.0	0.0	235.97493202418445	480.339864048369	235.97493202418445	-235.97493202418445	1000.0	-1000.0	292.0752039274464	8.39	292.07520392744675	-292.07520392744675	235.97493202418468
53	-434.25269986873866	581.8002664916517	286.70513324582566	434.25269986873866	278.3151332458258	-860.1153997374772	-434.25269986873866	0.0	286.7051332458258	-286.7051332458258	286.7051332458258	286.7051332458257	860.1153997374772	0.0	286.7051332458258	581.8002664916514	286.7051332458258	-286.70513324582566	860.1153997374772	-860.1153997374772	0.0	8.39	0.0	0.0	286.7051332458259
54	-474.2939252540297	635.188567005373	313.39928350268644	474.2939252540298	305.00928350268646	-940.1978505080594	-474.2939252540297	0.0	313.39928350268644	-313.39928350268644	313.39928350268644	313.39928350268644	940.1978505080594	0.0	313.39928350268644	635.188567005373	313.39928350268644	-313.39928350268644	940.1978505080594	-940.1978505080594	0.0	8.39	0.0	0.0	313.39928350268644
55	-454.29331317346475	608.5210842312863	300.0655421156432	454.29331317346475	291.67554211564317	-900.1966263469295	-454.29331317346475	0.0	300.0655421156432	-300.0655421156432	300.0655421156432	300.0655421156432	900.1966263469295	0.0	300.0655421156432	608.5210842312863	300.0655421156432	-300.0655421156432	900.1966263469295	-900.1966263469294	0.0	8.39	0.0	0.0	300.0655421156432
56	-494.2545361104336	661.8027148139115	326.7063574069557	494.2545361104336	318.3163574069558	-980.1190722208672	-494.2545361104336	0.0	326.7063574069557	-326.7063574069557	326.7063574069557	326.7063574069557	980.1190722208672	0.0	326.7063574069557	661.8027148139115	326.7063574069557	-326.7063574069557	980.1190722208672	-980.1190722208673	0.0	8.39	0.0	0.0	326.7063574069557
57	-601.5488798456354	869.7644263579375	333.33333333333337	601.5488798456354	130.2355736420625	-1000.0	-601.5488798456354	0.0	138.62557364206248	-138.62557364206248	138.62557364206248	333.33333333333337	1000.0	194.70775969127078	138.62557364206248	869.7644263579375	138.62557364206248	-333.33333333333337	1000.0	-1000.0	0.0	8.39	0.0	0.0	333.33333333333337
58	-381.1966397787144	511.058853038286	251.33442651914297	381.1966397787145	242.944426519143	-754.003279557429	-381.1966397787145	0.0	251.334426519143	-251.334426519143	251.334426519143	251.33442651914297	754.003279557429	0.0	251.334426519143	511.058853038286	251.334426519143	-251.33442651914297	754.003279557429	-754.003279557429	0.0	8.39	0.0	0.0	251.334426519143
59	-679.8023425058095	1000.0	359.60468501161904	679.8023425058095	78.814055034857	-806.413425058095	-679.8023425058095	272.40062997676205	359.60468501161904	-359.6046850116189	359.6046850116189	359.60468501161904	806.413425058095	0.0	359.6046850116189	727.599370023238	359.6046850116189	-359.60468501161904	806.413425058095	-806.413425058095	-272.400629976762	8.39	-272.40062997676205	272.40062997676205	359.60468501161904
60	-666.6666666666666	1000.0	333.33333333333326	666.6666666666665	0.0	-969.6710612062327	-666.6666666666665	30.32893879376728	38.71893879376728	-38.71893879376728	38.71893879376728	333.3333333333333	969.6710612062327	294.6143945395661	38.71893879376728	969.6710612062327	38.71893879376728	-333.33333333333326	969.6710612062327	-969.6710612062327	-30.328938793767293	8.39	-30.32893879376728	30.32893879376728	333.33333333333326
61	-666.6666666666667	1000.0	333.3333333333335	666.6666666666667	0.0	-995.160355793665	-666.6666666666667	4.839644206335265	13.229644206335252	-13.229644206335252	13.229644206335252	333.3333333333335	995.160355793665	320.1036891269983	13.229644206335252	995.160355793665	13.229644206335252	-333.3333333333335	995.160355793665	-995.160355793665	-4.839644206335038	8.39	-4.839644206335265	4.839644206335265	333.33333333333314
62	-666.6666666666666	1000.0	333.33333333333326	666.6666666666666	0.0	-953.6365224377279	-666.6666666666666	46.363477562272124	54.75347756227211	-54.75347756227211	54.75347756227211	333.33333333333326	953.6365224377279	278.57985577106115	54.75347756227211	953.6365224377279	54.75347756227211	-333.33333333333326	953.6365224377279	-953.6365224377279	-46.363477562272124	8.39	-46.363477562272124	46.363477562272124	333.3333333333335
63	-666.6666666666666	1000.0	333.33333333333326	666.6666666666666	0.0	-829.6031344065979	-666.6666666666666	170.39686559340214	178.78686559340213	-178.78686559340213	178.78686559340213	333.33333333333326	829.6031344065979	154.5464677399311	178.78686559340213	829.6031344065979	178.78686559340213	-333.33333333333326	829.6031344065979	-829.6031344065979	-170.39686559340214	8.39	-170.39686559340214	170.39686559340214	333.3333333333335
64	-666.6666666666666	1000.0	333.33333333333326	666.6666666666666	0.0	-912.2369705365978	-666.6666666666666	87.76302946340218	96.15302946340216	-96.15302946340216	96.15302946340216	333.33333333333326	912.2369705365978	237.18030386993112	96.15302946340216	912.2369705365978	96.15302946340216	-333.33333333333326	912.2369705365978	-912.2369705365978	-87.76302946340218	8.39	-87.76302946340218	87.76302946340218	333.3333333333335
65	-666.6666666666667	1000.0	333.3333333333335	666.6666666666667	0.0	-808.9034412551367	-666.6666666666667	191.0965587448635	199.4865587448635	-199.4865587448635	199.4865587448635	333.3333333333335	808.9034412551367	133.84677458846994	199.4865587448635	808.9034412551367	199.4865587448635	-333.3333333333335	808.9034412551367	-808.9034412551367	-191.09655874486327	8.39	-191.0965587448635	191.0965587448635	333.3333333333335
66	-666.6666666666667	1000.0	333.3333333333335	666.6666666666667	0.0	-891.5372773851367	-666.6666666666667	108.46272261486354	116.85272261486352	-116.85272261486352	116.85272261486352	333.3333333333335	891.5372773851367	216.4806107184699	116.85272261486352	891.5372773851367	116.85272261486352	-333.3333333333335	891.5372773851367	-891.5372773851367	-108.46272261486331	8.39	-108.46272261486354	108.46272261486354	333.3333333333335
67	-666.6666666666667	1000.0	333.3333333333335	666.6666666666667	0.0	-932.9368292862667	-666.6666666666667	67.06317071373348	75.45317071373347	-75.45317071373347	75.45317071373347	333.3333333333335	932.9368292862667	257.8801626195999	75.45317071373347	932.9368292862667	75.45317071373347	-333.3333333333335	932.9368292862667	-932.9368292862667	-67.06317071373326	8.39	-67.06317071373348	67.06317071373348	333.3333333333335
