	rJB00264	rxn00781	rxn05312	rxn05318	rxn10113	rJB00267	rxn08556	rxn05158	rxn00615	rxn00148	rxn10042	rxn01100	rxn00134	rxn05581	rxn00459	rxn00097	rxn00747	rxn01106	rxn10165	rxn05319	rxn05468	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00007_e	EX_cpd00009_e	EX_cpd00020_e	rxn05469	ATPM	DM_cpd00002_c
30	139.57348958333336	139.57348958333336	569.7339774051409	277.04947916666674	139.57348958333336	139.57348958333336	139.57348958333336	261.4144600948594	-542.658939261526	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	542.658939261526	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-428.0629878218074	139.5734895833334	-277.0494791666671	542.658939261526	-682.2324288448594	-9.342519071807374	428.0629878218074	-139.5734895833334	-148.91600865514073	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
31	187.23957123298948	187.23957123298948	1000.0	372.3816424659789	187.23957123298948	187.23957123298948	187.23957123298948	117.1449273979368	-493.7215698639156	187.23957123298948	187.23957123298948	-187.23957123298948	372.3816424659789	493.7215698639156	187.23957123298948	185.14207123298945	-187.23957123298948	-187.23957123298948	563.8162136989683	-810.6629287670105	187.23957123298948	-372.3816424659789	493.7215698639156	-680.9611410969051	-248.94421506804218	810.6629287670105	-187.23957123298948	-436.1837863010316	187.23957123298948	-187.23957123298948	8.39	372.3816424659788
32	200.47601019926364	200.47601019926364	1000.0	398.8545203985273	200.47601019926364	200.47601019926364	200.47601019926364	196.56356119558183	-599.6130815941091	200.47601019926364	200.47601019926364	-200.47601019926364	398.8545203985273	599.6130815941091	200.47601019926364	198.37851019926367	-200.47601019926364	-200.47601019926364	603.5255305977909	-797.4264898007364	200.47601019926364	-398.8545203985273	599.6130815941091	-800.0890917933726	-195.9984592029454	797.4264898007364	-200.47601019926364	-396.47446940220914	200.47601019926364	-200.47601019926364	8.39	398.85452039852726
33	187.4668166580871	187.4668166580871	751.9647666323484	372.83613331617426	187.4668166580871	187.4668166580871	187.4668166580871	366.54363331617435	-743.5747666323489	187.4668166580871	187.4668166580871	-187.4668166580871	372.83613331617426	743.5747666323489	187.4668166580871	185.36931665808714	-187.4668166580871	-187.4668166580871	564.4979499742615	-562.4004499742612	187.4668166580871	-372.83613331617426	743.5747666323489	-931.0415832904357	0.0	562.4004499742612	-187.4668166580871	-187.466816658087	187.4668166580871	-187.4668166580871	8.39	372.83613331617454
34	139.5734895833333	139.5734895833333	284.7411295524431	277.04947916666663	139.5734895833333	139.5734895833333	139.5734895833333	546.4073079475567	-827.6517871142232	139.5734895833333	139.5734895833333	-139.57348958333353	277.0494791666671	827.6517871142232	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-143.07013996910985	139.5734895833334	-277.0494791666671	827.6517871142232	-967.2252766975565	275.65032878089005	143.07013996910985	-139.5734895833334	136.07683919755686	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
35	143.2151255058271	143.2151255058271	284.74112955244425	284.33275101165424	143.2151255058271	143.2151255058271	143.2151255058271	568.2571234825186	-856.7848744941729	143.2151255058271	143.2151255058271	-143.2151255058271	284.33275101165424	856.7848744941729	143.2151255058271	141.11762550582714	-143.2151255058271	-143.2151255058271	431.74287651748136	-139.42850404661695	143.2151255058271	-284.33275101165424	856.7848744941729	-1000.0	290.2168724708642	139.42850404661695	-143.2151255058271	147.0017469650371	143.2151255058271	-143.2151255058271	8.39	284.3327510116543
36	150.46932241330978	150.46932241330978	350.02890171978817	298.84114482661965	150.46932241330978	150.46932241330978	150.46932241330978	546.4945327600706	-849.5306775866902	150.46932241330978	150.46932241330978	-150.46932241330978	298.84114482661965	849.5306775866902	150.46932241330978	148.37182241330987	-150.46932241330978	-150.46932241330978	453.50546723992943	-197.46207930647836	150.46932241330978	-298.84114482661965	849.5306775866902	-1000.0	253.94588793345093	197.46207930647836	-150.46932241330978	103.47656552014132	150.46932241330978	-150.46932241330978	8.39	298.8411448266195
37	176.4088248763565	176.4088248763565	583.4844238872085	350.72014975271304	176.4088248763565	176.4088248763565	176.4088248763565	468.6760253709305	-823.5911751236436	176.40882487635653	176.4088248763565	-176.4088248763565	350.72014975271304	823.5911751236436	176.40882487635653	174.3113248763565	-176.4088248763565	-176.40882487635653	531.3239746290694	-404.978099010852	176.4088248763565	-350.72014975271304	823.5911751236436	-1000.0	124.24837561821744	404.978099010852	-176.4088248763565	-52.160449258139046	176.40882487635653	-176.40882487635653	8.39	350.72014975271304
38	215.68042335389896	215.68042335389893	936.9288101850909	429.2633467077979	215.68042335389893	215.68042335389896	215.68042335389893	350.8612299383029	-784.319576646101	215.68042335389893	215.68042335389896	-215.68042335389893	429.2633467077979	784.319576646101	215.68042335389893	213.58292335389896	-215.68042335389893	-215.68042335389893	649.1387700616971	-719.1508868311918	215.68042335389896	-429.2633467077979	784.319576646101	-1000.0	-72.10961676949518	719.1508868311918	-215.68042335389896	-287.79004012339385	215.68042335389893	-215.68042335389893	8.39	429.2633467077982
39	157.1817423393764	157.1817423393764	936.7979540362583	312.26598467875283	157.1817423393764	157.1817423393764	157.1817423393764	0.0	-316.46098467875265	157.1817423393764	157.1817423393764	-157.1817423393764	312.2659846787528	316.46098467875265	157.1817423393764	155.08424233937637	-157.1817423393764	-157.1817423393764	473.642727018129	-777.5187116968821	157.1817423393764	-312.26598467875283	316.46098467875265	-473.642727018129	-305.9734846787527	777.5187116968821	-157.1817423393764	-463.1552270181292	157.1817423393764	-157.1817423393764	8.39	312.2659846787528
40	192.91104185882426	192.91104185882438	1000.0	383.7245837176487	192.91104185882438	192.91104185882426	192.91104185882438	151.1737511529461	-539.0933348705948	192.91104185882438	192.91104185882426	-192.91104185882438	383.7245837176487	539.0933348705948	192.91104185882432	190.81354185882435	-192.91104185882438	-192.91104185882438	580.830625576473	-804.9914581411754	192.91104185882432	-383.7245837176487	539.0933348705948	-732.0043767294192	-226.25833256470276	804.9914581411754	-192.91104185882432	-419.16937442352696	192.91104185882438	-192.91104185882438	8.39	383.72458371764867
41	197.58134818182964	197.5813481818297	1000.0	393.06519636365937	197.5813481818297	197.58134818182964	197.5813481818297	179.195589090978	-576.4557854546372	197.5813481818297	197.58134818182964	-197.5813481818297	393.06519636365937	576.4557854546372	197.58134818182975	195.48384818182967	-197.5813481818297	-197.58134818182975	594.8415445454889	-800.3211518181704	197.58134818182967	-393.06519636365937	576.4557854546372	-774.0371336364669	-207.57710727268136	800.3211518181704	-197.58134818182967	-405.15845545451106	197.5813481818297	-197.5813481818297	8.39	393.0651963636592
42	222.25092012453894	222.25092012453894	1000.0	442.4043402490779	222.25092012453894	222.25092012453894	222.25092012453894	327.2130207472337	-773.8123609963118	222.25092012453894	222.2509201245389	-222.25092012453894	442.4043402490779	773.8123609963118	222.25092012453888	220.15342012453897	-222.25092012453894	-222.25092012453894	668.850260373617	-775.6515798754608	222.25092012453894	-442.4043402490779	773.8123609963118	-996.0632811208507	-108.8988195018444	775.6515798754608	-222.25092012453894	-331.14973962638305	222.25092012453894	-222.25092012453894	8.39	442.40434024907796
43	173.25064771285193	173.25064771285193	1000.0	344.4037954257039	173.25064771285193	173.25064771285193	173.25064771285193	33.21138627711163	-381.8101817028155	173.25064771285193	173.25064771285193	-173.25064771285193	344.4037954257039	381.8101817028155	173.2506477128519	171.15314771285196	-173.25064771285193	-173.25064771285193	521.8494431385558	-824.651852287148	173.25064771285193	-344.4037954257039	381.8101817028155	-555.0608294156674	-304.89990914859237	824.651852287148	-173.25064771285193	-478.1505568614442	173.25064771285193	-173.25064771285193	8.39	344.40379542570383
44	179.19107089037547	179.19107089037547	1000.0	356.2846417807509	179.19107089037547	179.19107089037547	179.19107089037547	68.85392534225282	-429.3335671230037	179.19107089037547	179.19107089037547	-179.19107089037547	356.2846417807509	429.3335671230037	179.1910708903755	177.09357089037545	-179.19107089037547	-179.19107089037547	539.6707126711265	-818.7114291096244	179.19107089037547	-356.2846417807509	429.3335671230037	-608.5246380133792	-281.13821643849803	818.7114291096244	-179.19107089037547	-460.32928732887353	179.19107089037547	-179.19107089037547	8.39	356.2846417807509
45	209.44610796284041	209.44610796284047	880.8199716655636	416.7947159256808	209.44610796284047	209.44610796284041	209.44610796284047	369.5641761114789	-790.5538920371596	209.44610796284047	209.44610796284041	-209.44610796284047	416.7947159256808	790.5538920371596	209.44610796284041	207.34860796284033	-209.44610796284047	-209.44610796284041	630.4358238885211	-669.2763637027234	209.44610796284044	-416.7947159256808	790.5538920371596	-1000.0	-40.938039814201716	669.2763637027234	-209.44610796284044	-250.38414777704247	209.44610796284047	-209.44610796284047	8.39	416.79471592568086
46	157.70696240634268	157.70696240634268	415.1676616570843	313.3164248126854	157.70696240634268	157.70696240634268	157.70696240634268	524.7816127809718	-842.2930375936573	157.7069624063427	157.70696240634268	-157.70696240634268	313.3164248126854	842.2930375936573	157.70696240634265	155.6094624063427	-157.70696240634268	-157.7069624063427	475.21838721902816	-255.36319925074162	157.70696240634268	-313.3164248126854	842.2930375936573	-1000.0	217.7576879682864	255.36319925074162	-157.70696240634268	60.050725561943814	157.7069624063427	-157.7069624063427	8.39	313.31642481268557
47	139.57348958333336	139.57348958333336	421.27753282431354	277.0494791666667	139.57348958333336	139.57348958333336	139.57348958333336	409.8709046756867	-691.1153838423535	139.57348958333336	139.57348958333336	-139.57348958333353	277.0494791666671	691.1153838423535	139.57348958333364	137.4759895833337	-139.57348958333353	-139.57348958333364	420.8179687500001	-279.60654324098016	139.5734895833334	-277.0494791666671	691.1153838423535	-830.6888734256868	139.11392550901996	279.60654324098016	-139.5734895833334	-0.45956407431344815	139.57348958333353	-139.57348958333353	8.39	277.0494791666667
48	168.0443922532712	168.0443922532712	508.204530279441	333.9912845065424	168.0443922532712	168.0443922532712	168.0443922532712	493.76932324018634	-831.9556077467288	168.0443922532712	168.0443922532712	-168.0443922532712	333.9912845065424	831.9556077467288	168.0443922532712	165.9468922532712	-168.0443922532712	-168.0443922532712	506.23067675981366	-338.06263802616974	168.0443922532712	-333.9912845065424	831.9556077467288	-1000.0	166.07053873364396	338.06263802616974	-168.0443922532712	-1.973853519627312	168.0443922532712	-168.0443922532712	8.39	333.99128450654257
