	rxn10158	rxn05312	rxn05318	rxn05561	rxn05158	rxn00615	rxn00148	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn10165	rxn05319	EX_cpd00182_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00001_e	EX_cpd00009_e	ATPM	DM_cpd00002_c
26	-466.87923402001275	925.3684680400256	308.4561560133418	466.87923402001275	0.0	-625.3023120266837	308.45615601334185	308.45615601334185	308.45615601334185	-308.45615601334185	625.3023120266837	308.45615601334185	625.3023120266837	-300.06615601334187	-308.4561560133418	625.3023120266837	-625.3023120266837	-300.0661560133419	300.06615601334187	-300.06615601334187	8.39	308.45615601334197
27	-381.5052935143411	754.620587028682	251.5401956762273	381.5052935143411	0.0	-511.47039135245467	251.54019567622734	251.54019567622734	251.54019567622734	-251.54019567622734	511.47039135245467	251.54019567622734	511.47039135245467	-243.1501956762273	-251.5401956762273	511.47039135245467	-511.47039135245467	-243.15019567622699	243.1501956762273	-243.15019567622736	8.39	251.5401956762274
28	-395.9732761374067	314.3175871246891	261.18551742493776	395.9732761374067	469.2389651501244	-1000.0	261.18551742493787	261.18551742493787	261.18551742493776	-261.18551742493787	1000.0	261.18551742493787	530.7610348498756	216.4434477251865	-261.18551742493776	1000.0	-1000.0	216.44344772518662	-216.4434477251865	216.4434477251865	8.39	261.18551742493776
29	-354.99451252409176	177.72170841363922	233.8663416827278	354.99451252409176	523.8773166345443	-1000.0	233.86634168272786	233.86634168272786	233.86634168272786	-233.86634168272786	1000.0	233.86634168272786	476.1226833654556	298.4009749518164	-233.8663416827278	1000.0	-999.9999999999999	298.4009749518166	-298.4009749518164	298.40097495181635	8.39	233.86634168272792
30	-320.5153199212971	62.791066404323374	210.8802132808646	320.5153199212971	569.8495734382707	-1000.0	210.88021328086467	210.88021328086467	210.8802132808646	-210.88021328086467	1000.0	210.88021328086467	430.1504265617293	367.359360157406	-210.8802132808646	1000.0	-1000.0	367.3593601574063	-367.359360157406	367.35936015740594	8.39	210.88021328086478
31	-544.1551568799762	808.2571895999203	359.973437919984	544.1551568799762	271.6631241600319	-1000.0	359.973437919984	359.973437919984	359.973437919984	-359.973437919984	1000.0	359.973437919984	728.3368758399681	-79.92031375995214	-359.973437919984	1000.0	-1000.0	-79.92031375995194	79.92031375995214	-79.92031375995214	8.39	359.9734379199841
32	-487.7803447168286	620.341149056095	322.390229811219	487.7803447168286	346.829540377562	-1000.0	322.390229811219	322.390229811219	322.390229811219	-322.390229811219	1000.0	322.390229811219	653.170459622438	32.829310566343	-322.390229811219	1000.0	-999.9999999999999	32.829310566343075	-32.829310566343	32.829310566343	8.39	322.390229811219
33	-435.65391795027955	446.5863931675982	287.63927863351967	435.65391795027955	416.33144273296074	-1000.0	287.63927863351967	287.63927863351967	287.63927863351967	-287.63927863351967	1000.0	287.63927863351967	583.6685572670392	137.08216409944114	-287.63927863351967	1000.0	-1000.0	137.08216409944146	-137.08216409944114	137.08216409944106	8.39	287.63927863351967
34	-302.9365	470.49142711028435	199.16100000000006	302.9365	126.99157288971566	-533.7035728897156	199.161	199.161	199.161	-199.161	533.7035728897156	199.161	406.712	-63.77942711028436	-199.16100000000006	533.7035728897156	-533.7035728897156	-63.77942711028436	63.77942711028436	-63.77942711028436	8.39	199.16099999999997
35	-366.8741581969914	491.96221092932177	241.78610546466098	366.8741581969914	233.39610546466093	-725.3583163939827	241.78610546466092	241.78610546466092	241.78610546466092	-241.78610546466092	725.3583163939827	241.78610546466092	491.96221092932177	0.0	-241.78610546466098	725.3583163939827	-725.3583163939827	0.0	0.0	0.0	8.39	241.7861054646609
