	rxn10125	rJB00264	rxn00248	rxn08094	rxn02465	rxn00184	rxn05156	rxn05312	rxn05318	rxn00799	rJB00240	rJB00238	rxn05561	rJB00267	rxn00285	rxn05307	rxn00165	rxn05158	rxn00615	rxn00148	rxn10042	rxn01637	rxn00250	rxn00134	rxn00102	rxn05581	rxn00251	rxn01636	rxn10165	rxn01917	rxn05467	rxn05468	EX_cpd00182_e	EX_cpd00011_e	EX_cpd00106_e	EX_cpd00100_e	EX_cpd00080_e	EX_cpd00067_e	EX_cpd00054_e	EX_cpd00007_e	EX_cpd00064_e	EX_cpd00036_e	ATPM	DM_cpd00002_c
10	-82.24834680930935	164.49669361861868	54.83223120620623	27.41611560310312	27.41611560310312	54.83223120620624	27.41611560310312	340.92875910493854	289.64189976643326	-54.83223120620623	27.416115603103123	-27.416115603103123	27.41611560310311	164.49669361861868	-27.41611560310312	-54.83223120620624	-54.83223120620624	527.9969401943613	-868.9256992992998	289.64189976643326	164.49669361861868	27.41611560310312	234.80966856022704	289.64189976643326	-234.80966856022704	868.9256992992998	289.64189976643326	-27.41611560310312	340.92875910493854	-27.41611560310312	-82.24834680930934	82.24834680930934	-289.64189976643326	82.24834680930934	-54.83223120620623	868.9256992992998	-868.9256992992998	-27.416115603103243	54.83223120620624	-82.24834680930934	-27.41611560310312	27.416115603103123	8.39	289.64189976643326
11	-49.41927656256465	98.83855312512927	32.94618437504309	16.473092187521548	16.473092187521548	32.946184375043096	16.473092187521548	205.96480364609909	172.91631666689648	-32.94618437504309	16.47309218752155	-16.47309218752155	16.473092187521537	98.83855312512927	-16.473092187521548	-32.946184375043096	-32.946184375043096	312.78414635459035	-518.7489500006893	172.91631666689648	98.83855312512927	16.473092187521548	139.97013229185342	172.91631666689648	-139.97013229185342	518.7489500006893	172.91631666689648	-16.473092187521548	205.96480364609897	-16.473092187521548	-49.419276562564605	49.41927656256463	-172.91631666689648	49.419276562564605	-32.94618437504309	518.7489500006893	-518.7489500006893	-16.47309218752155	32.946184375043096	-49.41927656256463	-16.473092187521548	16.47309218752155	8.39	172.91631666689642
12	-41.2325905594392	82.46518111887839	27.48839370629279	13.7441968531464	13.7441968531464	27.4883937062928	13.7441968531464	172.30842785547225	143.8080997668949	-27.48839370629279	13.744196853146398	-13.744196853146398	13.744196853146391	82.46518111887839	-13.7441968531464	-27.4883937062928	-27.4883937062928	259.1158714452125	-431.42429930068477	143.8080997668949	82.46518111887839	13.7441968531464	116.31970606060212	143.8080997668949	-116.31970606060212	431.42429930068477	143.8080997668949	-13.7441968531464	172.30842785547225	-13.7441968531464	-41.232590559439195	41.232590559439195	-143.8080997668949	41.232590559439195	-27.48839370629279	431.42429930068477	-431.42429930068477	-13.74419685314636	27.4883937062928	-41.232590559439195	-13.7441968531464	13.744196853146398	8.39	143.80809976689488
13	-90.45140618444069	180.90281236888137	60.30093745629379	30.150468728146894	30.150468728146894	60.30093745629379	30.150468728146894	374.6524476471449	318.80833310023354	-60.30093745629379	30.150468728146894	-30.150468728146894	30.150468728146894	180.90281236888137	-30.150468728146894	-60.30093745629379	-60.30093745629379	581.7725516535556	-956.4249993007006	318.80833310023354	180.90281236888137	30.150468728146894	258.50739564393973	318.80833310023354	-258.50739564393973	956.4249993007006	318.80833310023354	-30.150468728146894	374.652447647145	-30.150468728146894	-90.4514061844407	90.45140618444069	-318.80833310023354	90.4514061844407	-60.30093745629379	956.4249993007006	-956.4249993007006	-30.15046872814679	60.30093745629379	-90.45140618444069	-30.150468728146894	30.150468728146894	8.39	318.80833310023354
14	-57.58958919368384	115.1791783873677	38.3930594624559	19.196529731227947	19.196529731227947	38.393059462455895	19.196529731227947	239.55386668514478	201.96631713309813	-38.3930594624559	19.196529731227947	-19.196529731227947	19.196529731227955	115.1791783873677	-19.196529731227947	-38.393059462455895	-38.393059462455895	366.34508471414966	-605.8989513992944	201.96631713309813	115.1791783873677	19.196529731227947	163.57325767064225	201.96631713309813	-163.57325767064225	605.8989513992944	201.9663171330982	-19.196529731227947	239.55386668514473	-19.196529731227947	-57.58958919368388	57.58958919368385	-201.96631713309813	57.58958919368388	-38.3930594624559	605.8989513992944	-605.8989513992944	-19.19652973122801	38.393059462455895	-57.58958919368385	-19.196529731227947	19.196529731227947	8.39	201.9663171330982
15	-63.721539810838664	127.44307962167731	42.48102654055911	21.240513270279553	21.240513270279553	42.48102654055911	21.240513270279553	264.7629970001145	223.76880821631522	-42.48102654055911	21.240513270279553	-21.240513270279553	21.240513270279553	127.44307962167731	-21.240513270279553	-42.48102654055911	-42.48102654055911	406.5434276488312	-671.3064246489457	223.76880821631522	127.44307962167731	21.240513270279553	181.28778167575612	223.76880821631522	-181.28778167575612	671.3064246489457	223.76880821631522	-21.240513270279553	264.76299700011447	-21.240513270279553	-63.72153981083865	63.72153981083866	-223.76880821631522	63.72153981083865	-42.48102654055911	671.3064246489457	-671.3064246489457	-21.240513270279592	42.48102654055911	-63.72153981083866	-21.240513270279553	21.240513270279553	8.39	223.76880821631528
16	-30.97466481083696	61.949329621673925	20.64977654055798	10.324888270278986	10.324888270278986	20.649776540557973	10.324888270278986	130.13695533344085	107.33547488297586	-20.64977654055798	10.324888270278986	-10.324888270278986	10.324888270278993	61.949329621673925	-10.324888270278986	-20.649776540557973	-20.649776540557973	191.86946931548673	-322.0064246489276	107.33547488297586	61.949329621673925	10.324888270278986	86.68569834241788	107.33547488297586	-86.68569834241788	322.0064246489276	107.33547488297586	-10.324888270278986	130.13695533344082	-10.324888270278986	-30.97466481083697	30.974664810836963	-107.33547488297586	30.97466481083697	-20.64977654055798	322.0064246489276	-322.0064246489276	-10.324888270278986	20.649776540557973	-30.974664810836963	-10.324888270278986	10.324888270278986	8.39	107.33547488297589
17	-80.19348043583958	160.38696087167918	53.462320290559745	26.73116014527986	26.73116014527986	53.46232029055972	26.73116014527986	332.4809751251182	282.33570821631844	-53.462320290559745	26.73116014527986	-26.73116014527986	26.731160145279887	160.38696087167918	-26.73116014527986	-53.46232029055972	-53.46232029055972	514.5261495238371	-847.0071246489553	282.33570821631844	160.38696087167918	26.73116014527986	228.8733879257587	282.33570821631844	-228.8733879257587	847.0071246489553	282.33570821631844	-26.73116014527986	332.4809751251181	-26.73116014527986	-80.19348043583958	80.19348043583959	-282.33570821631844	80.19348043583958	-53.462320290559745	847.0071246489553	-847.0071246489553	-26.73116014527971	53.46232029055972	-80.19348043583959	-26.73116014527986	26.73116014527986	8.39	282.33570821631844
18	-71.97398206396431	143.94796412792863	47.98265470930954	23.99132735465477	23.99132735465477	47.98265470930954	23.99132735465477	298.6897040407421	253.1108251163175	-47.98265470930954	23.99132735465477	-23.99132735465477	23.99132735465477	143.94796412792863	-23.99132735465477	-47.98265470930954	-47.98265470930954	460.6427713082104	-759.3324753489525	253.1108251163175	143.94796412792863	23.99132735465477	205.12817040700796	253.1108251163175	-205.12817040700796	759.3324753489525	253.1108251163175	-23.99132735465477	298.6897040407421	-23.99132735465477	-71.97398206396431	71.97398206396431	-253.1108251163175	71.97398206396431	-47.98265470930954	759.3324753489525	-759.3324753489525	-23.991327354654636	47.98265470930954	-71.97398206396431	-23.99132735465477	23.99132735465477	8.39	253.11082511631756
19	-67.85601337965436	135.7120267593087	45.2373422531029	22.61867112655145	22.61867112655145	45.2373422531029	22.61867112655145	281.7602772274678	238.46915868321545	-45.2373422531029	22.61867112655145	-22.61867112655145	22.61867112655145	135.7120267593087	-22.61867112655145	-45.2373422531029	-45.2373422531029	433.64719882217855	-715.4074760496463	238.46915868321545	135.7120267593087	22.61867112655145	193.23181643011256	238.46915868321545	-193.23181643011256	715.4074760496463	238.46915868321545	-22.61867112655145	281.7602772274678	-22.61867112655145	-67.85601337965434	67.85601337965436	-238.46915868321545	67.85601337965434	-45.2373422531029	715.4074760496463	-715.4074760496463	-22.618671126551305	45.2373422531029	-67.85601337965436	-22.61867112655145	22.61867112655145	8.39	238.46915868321537
